# z uu uv uw vv vw ww TKE
4.000000000000000000e+01 1.064922495724344609e+00 -3.204969787640267742e-01 1.257871959812872746e-02 1.193851569881524410e+00 9.815383450687661243e-03 4.214101295987681545e-02 1.280558678890815649e+00
1.200000000000000000e+02 3.301910118673932359e+00 -1.487305609070497248e+00 5.512727572592440034e-02 1.761035608778693584e+00 2.762023087410398533e-03 1.414046691103947040e-01 7.011926063817033317e+00
2.000000000000000000e+02 4.371265717774379667e+00 -9.639528511163736324e-01 -2.381582697095216417e-02 6.738925263174310176e-01 -1.792880764806475610e-02 1.988634384273124112e-01 9.800820889779593870e+00
2.800000000000000000e+02 3.068584544166623296e+00 -5.231291001836478882e-01 -3.263255418433229360e-02 5.134182177442951911e-01 9.361150024521805533e-04 2.460149678627636394e-01 4.870166367711263433e+00
3.600000000000000000e+02 1.414271862536127022e+00 1.483549290209723592e-01 -1.263130158631849687e-01 8.615206598523846848e-01 -1.253157553087498599e-01 2.739200169302696830e-01 1.408707462094486607e+00
4.400000000000000000e+02 1.313428846621074841e+00 -2.515087946493962945e-01 -4.964619121929605278e-02 7.732910730186521864e-01 -8.142425409161664629e-02 3.053830213310336217e-01 1.208166604231987851e+00
5.200000000000000000e+02 1.149640800250399941e+00 -2.977669314066127421e-02 -2.144915425672928519e-02 9.396986207337221231e-01 -8.336116334916719717e-02 3.522750634354493426e-01 1.164402593863844704e+00
6.000000000000000000e+02 1.059434137264157361e+00 3.513084817331367515e-02 2.289914649372714814e-02 7.872048733729082315e-01 -8.037386717115077572e-02 3.628735312926682499e-01 9.368847017877584005e-01
6.800000000000000000e+02 1.203158390292831781e+00 -4.555767551338779642e-01 -5.072760073065449987e-02 1.136947569561744587e+00 3.729562114853694071e-02 3.658748900891369837e-01 1.437052161631067193e+00
7.600000000000000000e+02 1.303658919623766010e+00 -1.788873447400702033e-01 -1.097533766490691592e-01 7.954025791331628126e-01 5.584137081772017064e-02 3.439682244992887106e-01 1.225252990535742548e+00
8.400000000000000000e+02 8.149232172832580057e-01 -2.660081836076908998e-02 -8.626705388446760658e-02 8.101161438212207688e-01 2.904835116335195699e-02 3.258981828079434151e-01 7.132988210522903660e-01
9.200000000000000000e+02 8.588352310024505165e-01 -1.132058437800330941e-01 -9.980623551160465456e-02 7.093351625427128937e-01 7.441345536586858878e-02 3.204568691612109110e-01 6.717234659115673967e-01
1.000000000000000000e+03 9.740404357141110303e-01 -2.504526207736271215e-01 -1.319456315721778683e-01 8.019891924948412409e-01 8.051605132547928756e-02 3.251995603042437954e-01 8.488480946533681903e-01
1.080000000000000000e+03 1.054956698573007667e+00 -2.660303997317475799e-01 -1.429109709435257836e-01 7.803682000562097709e-01 7.815916276897366677e-02 3.303258480066346703e-01 9.155116646921653834e-01
1.160000000000000000e+03 9.658221173604106813e-01 -6.641384862075666584e-02 -7.756757925579942092e-02 4.585879608014167830e-01 4.448640656945498928e-02 3.369581285991966602e-01 6.283280303018107249e-01
1.240000000000000000e+03 7.532245827903478741e-01 5.329356034831214672e-02 -6.298692522997825782e-02 3.709844094992999497e-01 5.403112849183090011e-02 3.505822879230388045e-01 4.139423224082951491e-01
1.320000000000000000e+03 6.321945603448164697e-01 1.070758705789351117e-01 -7.325428731968240681e-02 3.717400143270564450e-01 6.407763271986299802e-02 3.675673630761551736e-01 3.364831833901069658e-01
1.400000000000000000e+03 6.072967400374255087e-01 7.908776267272463190e-02 -5.615346777337255207e-02 4.022790313292585185e-01 7.808540385821478857e-02 3.744976336932175909e-01 3.354431135745551407e-01
1.480000000000000000e+03 6.093049801128982423e-01 4.550661941455637349e-02 -6.415685241880983956e-03 3.688056788420717158e-01 6.787155174961301274e-02 3.743384084406576884e-01 3.236997157852126161e-01
1.560000000000000000e+03 6.087498672300194480e-01 2.519467558005360208e-02 4.851072894108083428e-02 2.928837841501769623e-01 1.717175778205202660e-02 3.695849874614984265e-01 2.964751874138048526e-01
1.640000000000000000e+03 5.804905349145731419e-01 1.646222537118514559e-02 6.470609724389696227e-02 2.511052775796611680e-01 -1.681980014947701343e-02 3.508166678599261568e-01 2.615477280010538585e-01
1.720000000000000000e+03 5.248078497674065757e-01 1.617657333426803304e-02 4.454400188778945280e-02 2.848271099473888013e-01 -6.192483498913616512e-03 3.215070843841376647e-01 2.299582835238298539e-01
1.800000000000000000e+03 4.618487293432392837e-01 3.328227925008370863e-02 2.082197539841323594e-02 2.878431733443883034e-01 2.496212277288099163e-02 2.971252750551645061e-01 1.922206851567697106e-01
1.880000000000000000e+03 3.715250397263710758e-01 4.708740429779102038e-02 -7.726386984807712827e-03 3.034777200534034547e-01 5.051976486424424734e-02 2.801651022645966771e-01 1.543110331197127261e-01
1.960000000000000000e+03 3.651712057613007434e-01 3.040955350304410873e-02 -2.660094141280352001e-02 3.336486481033012486e-01 7.312586915228995454e-02 2.663664700460501300e-01 1.578112631315580772e-01
2.040000000000000000e+03 3.498074429442808997e-01 -1.701557012027387142e-02 -1.409356894481600744e-02 3.688200002863399884e-01 9.108287510634838213e-02 2.545768640547089179e-01 1.616014097311809505e-01
2.120000000000000000e+03 3.841263594304122342e-01 -6.362874331988159493e-02 3.115686058237671779e-02 4.518965321723983908e-01 9.441959320084918061e-02 2.431162891811842197e-01 2.054345329319654523e-01
2.200000000000000000e+03 4.044479986370677627e-01 -8.373329396954233561e-02 3.806125530137846602e-02 6.256548784986328826e-01 9.294595895497347049e-02 2.300081988052286586e-01 3.039629910541470914e-01
2.280000000000000000e+03 3.428484333868251355e-01 -1.267350282471288447e-01 5.857958304601625088e-03 1.034029864999161719e+00 7.245018533784469694e-02 2.052008126258812459e-01 6.144350917441534499e-01
2.360000000000000000e+03 3.402458961528785353e-01 -1.519738518368020375e-01 -3.678813631892794995e-03 1.572959951661964118e+00 2.266235957943587773e-02 1.552154275892148605e-01 1.307031054171493123e+00
2.440000000000000000e+03 4.429730137640899845e-01 -8.942655060862951533e-02 1.323444851397817361e-02 2.130999852530633731e+00 3.440757899329308089e-03 8.334030487387958375e-02 2.372165534412646881e+00
2.520000000000000000e+03 6.340696988531687728e-01 -5.170388236325797193e-02 9.229396046262296248e-04 2.048101402578160535e+00 3.637175612202822594e-03 1.457757418294883082e-02 2.298488121957717567e+00
