# z u v w uhoriz
4.000000000000000000e+01 1.193258346341647069e+00 -7.272716816348736124e+00 3.073080575259329164e-10 7.369957623481677267e+00
1.200000000000000000e+02 -1.649773852310139344e-02 -9.179490145730481387e+00 -1.355803279077255928e-10 9.179504970908801909e+00
2.000000000000000000e+02 -6.402992846972946905e-01 -8.826598061604935097e+00 1.032385336818286260e-10 8.849791891062290361e+00
2.800000000000000000e+02 -4.087414834504667915e-01 -8.440752132910478878e+00 3.705589146416589043e-12 8.450642944150823510e+00
3.600000000000000000e+02 5.115086119477633281e-02 -8.551049639291347759e+00 3.718342404111715804e-11 8.551202625609198194e+00
4.400000000000000000e+02 3.828095334108005954e-01 -8.894981047965199394e+00 1.984198617524831874e-11 8.903214643179747867e+00
5.200000000000000000e+02 5.182829448069392608e-01 -8.960630180540997358e+00 2.776717902325759319e-11 8.975606410895029086e+00
6.000000000000000000e+02 5.423698844875869396e-01 -8.702450257965814728e+00 2.052574384308776168e-11 8.719335157222042554e+00
6.800000000000000000e+02 5.623557487754399231e-01 -8.242820450025968526e+00 2.103696908557168655e-11 8.261981176421736350e+00
7.600000000000000000e+02 6.489465653263466471e-01 -7.708467742448632087e+00 1.506339706098431768e-11 7.735735684537054624e+00
8.400000000000000000e+02 8.499335865625946562e-01 -7.181837553887657322e+00 1.765208711700092166e-11 7.231955320105220686e+00
9.200000000000000000e+02 1.296720279010980414e+00 -6.729857142528217651e+00 1.627576140114689896e-11 6.853645791900569328e+00
1.000000000000000000e+03 1.681450326426620068e+00 -6.351046748913541151e+00 1.614087733770255410e-11 6.569860729659757759e+00
1.080000000000000000e+03 1.854986490536497223e+00 -6.101611676873932133e+00 1.436243903163940657e-11 6.377353678089151323e+00
1.160000000000000000e+03 2.008084044346072350e+00 -5.855126217592424354e+00 1.785138932193128104e-11 6.189903436491998256e+00
1.240000000000000000e+03 2.079999794985517791e+00 -5.659713774351707194e+00 1.265404305084093796e-11 6.029822481195133754e+00
1.320000000000000000e+03 2.150825323666980982e+00 -5.461473509526950210e+00 2.093452529734092510e-11 5.869731038828934544e+00
1.400000000000000000e+03 2.200652734576428404e+00 -5.279554327697631777e+00 1.372351145461799102e-11 5.719839714302272782e+00
1.480000000000000000e+03 2.063005531019415528e+00 -5.214476225578104085e+00 1.775193579395654694e-11 5.607740554638380281e+00
1.560000000000000000e+03 1.924662102039394140e+00 -5.147838306264911346e+00 1.505130959541601282e-11 5.495867850892621753e+00
1.640000000000000000e+03 1.788423125751530840e+00 -5.086617733898174620e+00 1.634026408849931296e-11 5.391858422430088282e+00
1.720000000000000000e+03 1.624627102059725825e+00 -5.000318948666318875e+00 1.608052243550980589e-11 5.257623304225819361e+00
1.800000000000000000e+03 1.365968318582742258e+00 -4.840828394848433192e+00 1.273269494889655961e-11 5.029859739171920197e+00
1.880000000000000000e+03 1.092665132348626722e+00 -4.663051510169364811e+00 1.672452986987127336e-11 4.789359714820263569e+00
1.960000000000000000e+03 8.204735351351784001e-01 -4.489070949690534995e+00 1.299843730827127758e-11 4.563434541352894058e+00
2.040000000000000000e+03 5.478370599862064649e-01 -4.312782155645838778e+00 1.250399583958292525e-11 4.347437793269905093e+00
2.120000000000000000e+03 2.587146870046750924e-01 -4.126536082592608068e+00 1.132285434044174793e-11 4.134638234502587828e+00
2.200000000000000000e+03 -9.115353581924527659e-02 -3.888803763257145274e+00 9.643215851962260031e-12 3.889871935708846262e+00
2.280000000000000000e+03 -4.452661903377084784e-01 -3.632905316111388672e+00 7.566816509093038411e-12 3.660090574847601363e+00
2.360000000000000000e+03 -8.005020201191835882e-01 -3.387196119715129239e+00 7.089202786812001126e-12 3.480502986297831391e+00
2.440000000000000000e+03 -1.154874058813812887e+00 -3.138610360264814769e+00 4.377770934410998986e-12 3.344339857921548198e+00
2.520000000000000000e+03 -1.511187408143349176e+00 -2.894527950478882783e+00 8.456798498011939268e-13 3.265268662550524947e+00
