# z uu uv uw vv vw ww TKE
5.000000000000000000e+00 9.395123306010455533e-02 4.572707094043816645e-03 4.211446912994495743e-04 1.282470273653883441e-01 3.619118907541617972e-03 1.120526507740918394e-02 1.269984609351387794e-02
1.500000000000000000e+01 1.508157346259437204e-01 4.914197842107045043e-03 2.404890459761397595e-03 3.754978240765957653e-01 7.886189728371587049e-02 4.484205238857549153e-02 8.287740567972044781e-02
2.500000000000000000e+01 9.128326490178978458e-02 -1.846090164351209609e-03 6.784149818063312898e-05 2.767114675582512673e-01 3.859297758735847489e-02 5.124834672465621022e-02 4.376413188569102525e-02
3.500000000000000000e+01 5.676766645347787466e-02 2.499838809973874750e-03 -1.075222671086032474e-03 1.674195744763376792e-01 5.276817595688692436e-03 3.781905628754738541e-02 1.634108144544598601e-02
4.500000000000000000e+01 4.293586954107017628e-02 1.936967598458203682e-02 1.044197072176499116e-03 1.032739229446868745e-01 6.109293141164906168e-03 2.392984665209352269e-02 6.540814807212815517e-03
5.500000000000000000e+01 3.263220792751345134e-02 2.108161707926025502e-02 1.516194885130914966e-03 6.051097191852865265e-02 5.005973003281592379e-03 1.541119644776398068e-02 2.481971846350504354e-03
6.500000000000000000e+01 1.655343076724463333e-02 9.752549140514909717e-03 3.665111519201735184e-04 2.843960257822656518e-02 1.570363059175833255e-03 1.029389095823147159e-02 5.943956280166958882e-04
7.500000000000000000e+01 9.770933822486836326e-03 4.846382375032908148e-03 2.496701523599120808e-04 1.426140646577301815e-02 9.633237733387811207e-04 6.824506862589922382e-03 1.727163780314733168e-04
8.500000000000000000e+01 7.305111477602066819e-03 4.296071370904788050e-03 -4.045404347766085951e-05 1.069468254217979461e-02 5.134967561717642065e-04 4.709249388882635716e-03 9.495895909244510594e-05
9.500000000000000000e+01 4.596268779039083818e-03 2.898750046772870584e-03 -1.429644854159223375e-04 7.275382892313592316e-03 1.716609389143725940e-04 3.465886566136736936e-03 4.303462630413291317e-05
1.050000000000000000e+02 2.395666345006623819e-03 9.056876442589281793e-04 -1.520912029844828238e-04 3.160351858864531190e-03 6.007938000123337965e-05 2.615469710934482765e-03 1.128386145862080085e-05
1.150000000000000000e+02 1.688289786931751902e-03 3.814113289939613711e-04 -6.324613010536000871e-05 1.869481327999453647e-03 2.785241044659079819e-05 1.946497718990774410e-03 5.067068105216474488e-06
1.250000000000000000e+02 1.274246648643483472e-03 4.278302183184382805e-04 -6.459289087250522240e-05 1.615446648969877819e-03 -1.399185182205419123e-05 1.474132950247491330e-03 3.203220176126265099e-06
