# z uu uv uw vv vw ww TKE
5.000000000000000000e+00 9.584849290973533609e-02 -2.190332999003371476e-03 -2.285691782263472274e-04 1.230631787727777121e-01 3.729462123163043361e-03 9.888468952175488713e-03 1.144000703173442685e-01
1.500000000000000000e+01 1.347547101962954519e-01 -1.614886357992327895e-02 -3.669031612752244025e-03 3.597852879059660891e-01 7.396058776519522093e-02 4.017332944455431765e-02 2.673566637734079432e-01
2.500000000000000000e+01 8.666160021287440396e-02 -1.620348154608269864e-02 -3.207780885445055304e-03 2.776307691915848030e-01 4.607822834171157456e-02 4.716048763842474456e-02 2.057264285214419619e-01
3.500000000000000000e+01 4.935697757145373482e-02 -6.612228368229033579e-03 -1.388992808703183330e-03 1.647123022041266927e-01 9.716211412837535630e-03 3.612125222658253698e-02 1.250952660010814788e-01
4.500000000000000000e+01 2.835318014397059799e-02 1.547150036389266341e-03 -1.160363315886928136e-03 8.586274903496995958e-02 2.262126637921730785e-03 2.309218830063563405e-02 6.865405873978809581e-02
5.500000000000000000e+01 1.875035676520539485e-02 5.745154514358437499e-03 -1.149680909936844769e-03 4.182328430591960439e-02 1.806309997791677056e-03 1.418842664545952835e-02 3.738103385829226466e-02
6.500000000000000000e+01 1.523061984925531097e-02 8.949789288923879274e-03 -7.837414697715573914e-04 2.695471692839540925e-02 1.843327999418041888e-03 8.800648065349451002e-03 2.549299242150008388e-02
7.500000000000000000e+01 1.098966978890935330e-02 6.704799761558485546e-03 -8.168456467728440118e-04 1.440363194360451057e-02 1.083943801066852798e-03 6.076288588691892978e-03 1.573479516060287756e-02
8.500000000000000000e+01 6.296420769289768661e-03 2.039540447331789942e-03 -7.400572397869738250e-04 5.287197812162428012e-03 7.217031904524558606e-04 4.563443087403022680e-03 8.073530834427609243e-03
9.500000000000000000e+01 4.499147040812691116e-03 7.082139973153024626e-04 -5.466859878227179259e-04 3.085170980211002570e-03 7.022286450309911301e-04 3.498003363254074353e-03 5.541160692138884236e-03
1.050000000000000000e+02 4.005093282468995611e-03 3.571650698952071349e-04 -4.261878098840295409e-04 2.315647240999107494e-03 6.407894075291164712e-04 2.795576367304134727e-03 4.558158445386119133e-03
1.150000000000000000e+02 4.111026417542220680e-03 1.105963567642952468e-05 -3.249119426280885339e-04 1.778635714582234295e-03 5.581798206200398130e-04 2.306544512430933839e-03 4.098103322277694624e-03
1.250000000000000000e+02 5.302612348934361390e-03 -5.404864050092099415e-04 -1.677038610149352699e-04 1.630611002714244537e-03 4.709248801590253130e-04 1.875630400789941475e-03 4.404426876219273701e-03
1.350000000000000000e+02 6.053074830856263432e-03 -1.166410093855608067e-03 -1.052788339078014924e-05 1.807288177797339345e-03 3.702653483852869206e-04 1.489056018661193788e-03 4.674709513657397848e-03
1.450000000000000000e+02 4.467379565030966948e-03 -1.303373717009355566e-03 -4.255026115065103519e-05 1.653111868102038898e-03 3.196978407040782107e-04 1.217522145507173763e-03 3.669006789320089588e-03
1.550000000000000000e+02 2.868615990372014139e-03 -1.060270563231434458e-03 -4.717628205533196144e-05 1.350810546925208496e-03 2.826569867635333501e-04 1.001319960644672397e-03 2.610373248970947191e-03
1.650000000000000000e+02 2.070618522583951571e-03 -8.656883303461286898e-04 -4.331187855653838433e-05 1.132677457614592606e-03 2.599670128559002091e-04 8.198158575380717992e-04 2.011555918868307771e-03
1.750000000000000000e+02 1.572064678327953239e-03 -7.694457549796233095e-04 -3.097929494619963475e-05 1.081181960131330630e-03 2.373213997168471866e-04 6.756728292191358388e-04 1.664459733839209962e-03
1.850000000000000000e+02 1.193748187774361499e-03 -6.452152492880589268e-04 -1.735048939541901779e-05 1.013180177899898615e-03 2.112403687265282501e-04 5.624792308704920554e-04 1.384703798272376302e-03
