# z uT vT wT
5.000000000000000000e+00 4.532406846692325951e-04 -6.523856926517879531e-03 -1.421181427500873553e-03
1.500000000000000000e+01 2.849245864817021631e-03 -5.599177084754558553e-02 -1.812787209178364986e-02
2.500000000000000000e+01 2.436560499593590397e-03 -4.900888369710727777e-02 -1.266333133113507411e-02
3.500000000000000000e+01 6.852695635680416952e-04 -3.255706679476733090e-02 -3.159239846666395731e-03
4.500000000000000000e+01 -2.107244796969134654e-03 -2.448043791569145047e-02 -3.419812250041487128e-04
5.500000000000000000e+01 -3.651898361989447308e-03 -1.319535902822953355e-02 -7.501957066397764371e-06
6.500000000000000000e+01 -3.873087823548746009e-03 -7.843825200343153975e-03 1.720633720753068466e-05
7.500000000000000000e+01 -2.827333187876932778e-03 -3.960194121142829489e-03 1.292588175904216762e-04
8.500000000000000000e+01 -1.725808870857856213e-03 -1.597267978975103978e-03 2.405853351584854390e-05
9.500000000000000000e+01 -1.317414904602685552e-03 -8.562694245342006511e-04 -1.154708303364617488e-05
1.050000000000000000e+02 -1.112522041018622863e-03 -6.258453197030685797e-04 -8.639743718428225162e-06
1.150000000000000000e+02 -8.047902650337461408e-04 -2.904324441205292256e-04 -3.939721807882564373e-05
1.250000000000000000e+02 -6.031254613240321803e-04 -7.711152615906211456e-06 2.630894042581901840e-05
1.350000000000000000e+02 -4.772496477411324978e-04 1.615443629624027113e-04 1.115090200596484740e-05
1.450000000000000000e+02 -4.131262899004341585e-04 2.382852486235421366e-04 -6.038350889829858201e-06
1.550000000000000000e+02 -2.869818900780438304e-04 2.136564317004660399e-04 3.238728935319054486e-06
1.650000000000000000e+02 -2.581309565171798848e-04 2.061692600307658515e-04 3.767747756943974895e-05
1.750000000000000000e+02 -2.145315475671629812e-04 1.900199118886902478e-04 3.559104649352409680e-05
1.850000000000000000e+02 -1.157546628256489170e-04 1.943572747219539083e-04 1.238718776939251651e-05
1.950000000000000000e+02 -6.238776186308258773e-05 1.798882913156512990e-04 -5.496581531618827075e-06
2.050000000000000000e+02 -4.848817320699547271e-05 1.231580220226886880e-04 8.688515006849897108e-06
2.150000000000000000e+02 -4.181542676075534077e-05 9.786189859488698029e-05 1.580453781705945865e-05
2.250000000000000000e+02 3.039153004520052651e-06 1.019898587308970485e-04 1.429514369300482950e-05
2.350000000000000000e+02 2.719923701987899585e-05 6.676841799923122461e-05 3.055290660099098404e-05
2.450000000000000000e+02 4.001335806539245860e-05 5.428227940776583115e-05 4.485272432028889768e-05
2.550000000000000000e+02 7.942746842734251184e-05 4.693136271438480133e-05 4.364686112100384422e-05
2.650000000000000000e+02 1.366902048156365857e-04 -3.883352196169234404e-07 2.524699732262400672e-05
2.750000000000000000e+02 1.916189809812252954e-04 -7.674484276921533148e-05 2.324210041495191237e-05
2.850000000000000000e+02 2.280477348941887096e-04 -5.391544884466023871e-05 2.922246175710995104e-05
2.950000000000000000e+02 2.403985100650418098e-04 2.489815013178097068e-05 2.705293211051200305e-05
3.050000000000000000e+02 2.379787365208380426e-04 -3.305076039275173146e-05 9.385261461635812172e-06
3.150000000000000000e+02 1.978580343474144816e-04 -3.916551650599304081e-05 -1.999176478552777799e-06
3.250000000000000000e+02 1.645879617970019064e-04 -2.356129242232151579e-05 -1.285213982722329641e-05
3.350000000000000000e+02 1.519795320285665502e-04 -3.270970186345811446e-05 -1.714955187007217757e-05
3.450000000000000000e+02 1.152536715767410794e-04 -1.208747434872470912e-05 -1.711758616803315459e-05
3.550000000000000000e+02 6.129224232487298575e-05 -2.778869623795464533e-06 -1.168775998544396823e-05
3.650000000000000000e+02 4.110212125731806365e-05 -2.754858281706585660e-05 -6.879610537659447928e-06
3.750000000000000000e+02 4.374444369729860155e-05 -4.655656377878968419e-05 -7.607022404298363681e-06
3.850000000000000000e+02 4.552750484780741151e-05 -4.602721006126251789e-05 -7.576198559482629155e-06
3.950000000000000000e+02 4.268063066252571327e-05 -2.052385860407325257e-05 -4.572788324867634557e-06
4.050000000000000000e+02 3.930443378576172761e-05 1.349331172596136643e-05 2.383188000828844601e-06
4.150000000000000000e+02 3.833762351886372660e-05 1.078213888654617393e-05 4.341122176882601353e-06
4.250000000000000000e+02 3.845714309062025262e-05 1.837603556168353065e-06 2.120843442740413439e-06
4.350000000000000000e+02 3.226884987632421307e-05 -1.119117758955748195e-06 4.098054462906270168e-06
4.450000000000000000e+02 3.580995950775387197e-05 1.945761190101902831e-06 1.923726029860871536e-06
4.550000000000000000e+02 4.332064416968400318e-05 1.757398935585914576e-05 6.184972816617762237e-07
4.650000000000000000e+02 4.604674054751951894e-05 1.892369148456084910e-05 1.123250274267411839e-06
4.750000000000000000e+02 4.405214656771604402e-05 1.767746935483429204e-05 -1.324260513810546986e-06
4.850000000000000000e+02 3.770024999190544018e-05 1.462011810767172988e-05 -2.942642318028436149e-06
4.950000000000000000e+02 4.102545552311560748e-05 1.368460151856990327e-05 2.650777141186119478e-06
5.050000000000000000e+02 5.062346958698254584e-05 3.248908742236111878e-05 9.485843247008952030e-06
5.150000000000000000e+02 5.077559529140255121e-05 4.525652914339496874e-05 4.908201795129395000e-06
5.250000000000000000e+02 4.378090186103987265e-05 3.350018873547428529e-05 3.443810630763927773e-06
5.350000000000000000e+02 4.772931692929229544e-05 2.543098843665700883e-05 5.065144832790767093e-06
5.450000000000000000e+02 4.560881894757948371e-05 2.526310128421980293e-05 2.931221495747833672e-06
5.550000000000000000e+02 4.038355668888910795e-05 3.651775395053393869e-05 -1.247175248207568860e-07
5.650000000000000000e+02 4.077236687303957921e-05 3.523199447593886269e-05 -1.289328990645698305e-06
5.750000000000000000e+02 3.506547534035819061e-05 3.411343810078394586e-05 7.390156134481011059e-07
5.850000000000000000e+02 3.611176274454374089e-05 3.740899090008991854e-05 -8.561212445636516478e-07
5.950000000000000000e+02 4.403661407838645788e-05 4.122680477299339144e-05 -1.726974917059750029e-06
6.050000000000000000e+02 3.701142566542350425e-05 4.153236636365385256e-05 -2.918401896952509913e-07
6.150000000000000000e+02 3.658613743530915073e-05 4.046116901852974020e-05 3.674063793291537259e-06
6.250000000000000000e+02 3.273277294012517783e-05 4.872979773325496270e-05 3.364059940821597881e-06
6.350000000000000000e+02 4.673636838464042718e-05 4.875812966304798152e-05 7.022625065325120975e-06
6.450000000000000000e+02 4.235069532435629220e-05 5.523985647966276312e-05 8.938220353104500002e-06
6.550000000000000000e+02 2.016001671307477867e-05 6.214934165322618146e-05 3.110222948024345117e-06
6.650000000000000000e+02 7.140935509598718097e-06 4.646962951633032472e-05 2.109894102311663979e-06
6.750000000000000000e+02 1.726632422386736604e-06 4.480428912070185332e-05 6.084158427524113692e-06
6.850000000000000000e+02 9.059557121561976966e-06 5.403452153513356589e-05 -6.923577941817110454e-07
6.950000000000000000e+02 8.351437945420269897e-06 3.747696175385483764e-05 1.502686635326711342e-06
7.050000000000000000e+02 4.932144005327333376e-06 3.570830810978553967e-05 3.281914340302247407e-06
7.150000000000000000e+02 1.206452889524164639e-06 3.137670004854890696e-05 2.355198354633468073e-06
7.250000000000000000e+02 1.912551174309337524e-06 4.321883457902507520e-05 3.410554099946319658e-06
7.350000000000000000e+02 7.501330209604199051e-07 3.213460134054131417e-05 2.493951014527838891e-06
