# z uT vT wT
5.000000000000000000e+00 3.358573440786109874e-04 -1.040363018361848899e-02 -1.665290712232506522e-03
1.500000000000000000e+01 1.894123424212020490e-03 -5.941640742799887687e-02 -1.884380090266411095e-02
2.500000000000000000e+01 2.500567032446200221e-03 -5.305483746974260645e-02 -1.433247962833150181e-02
3.500000000000000000e+01 1.136636309398165404e-03 -3.760998206197214977e-02 -4.634585711883869655e-03
4.500000000000000000e+01 -2.491033205370701917e-03 -3.268064694718791213e-02 -1.274950013629950639e-03
5.500000000000000000e+01 -4.041590050782807066e-03 -2.143084794361093184e-02 -4.334711686064799578e-04
6.500000000000000000e+01 -3.130010802458380471e-03 -9.488223255922155486e-03 -1.027420783605884850e-04
7.500000000000000000e+01 -2.405530137633393305e-03 -3.906169709197460007e-03 -2.490472548836385644e-05
8.500000000000000000e+01 -2.138880006961064225e-03 -2.141370255591924440e-03 -1.035257898364865475e-05
9.500000000000000000e+01 -1.661270675438416417e-03 -1.175869763495218830e-03 -2.727171310080887814e-05
1.050000000000000000e+02 -1.114028703651496425e-03 -4.185438303572719355e-04 -1.821007976670068431e-05
1.150000000000000000e+02 -7.837500826511384789e-04 -4.504456182222833853e-05 -1.764109296855965867e-05
1.250000000000000000e+02 -6.057941283780722726e-04 1.843077462671594870e-04 -1.270206528321856358e-05
1.350000000000000000e+02 -4.267816350441414508e-04 2.368148655664896441e-04 -1.028111192586004981e-05
1.450000000000000000e+02 -2.706227936172393472e-04 1.927644856480236401e-04 -4.963596343329022510e-06
1.550000000000000000e+02 -1.842920014310446715e-04 1.627072234789506491e-04 -1.898653353850168886e-06
1.650000000000000000e+02 -1.458462763524243013e-04 1.468407105661385860e-04 -9.193868368280010035e-07
1.750000000000000000e+02 -9.805974013180561964e-05 1.293723982158889686e-04 -1.627638375460844438e-06
1.850000000000000000e+02 -2.370940776326888622e-05 1.125265522061669144e-04 -1.236813110243910205e-06
1.950000000000000000e+02 1.249869739031794772e-06 1.156516844037542722e-04 -9.459243344640125772e-07
2.050000000000000000e+02 -4.671722083825122163e-06 1.286066128658189885e-04 -1.173092286616794581e-06
2.150000000000000000e+02 2.796118914781677245e-05 1.340681293809203834e-04 2.167859941343063361e-07
2.250000000000000000e+02 9.425327061607591478e-05 1.425041723631436177e-04 2.007586649356620577e-06
2.350000000000000000e+02 1.273768468030747993e-04 1.468316417290135606e-04 3.062586363014688284e-06
2.450000000000000000e+02 1.368972651141461046e-04 1.374927864872665527e-04 3.519589654078081292e-06
