# z u v w uhoriz
5.000000000000000000e+00 1.234871661897238848e+00 -4.414280788569827862e+00 3.373122042867171805e-08 4.583752054997467518e+00
1.500000000000000000e+01 1.288719196324742855e+00 -5.357783459495250256e+00 5.427833645124273325e-08 5.510593503953706396e+00
2.500000000000000000e+01 1.339645834088628806e+00 -6.476024731240537236e+00 6.732284109962311073e-08 6.613134452015177800e+00
3.500000000000000000e+01 1.335483249728847799e+00 -6.856584197910427392e+00 7.517244162165817078e-08 6.985432153656730314e+00
4.500000000000000000e+01 1.275238035253364544e+00 -7.239330663449386805e+00 7.980708559522918821e-08 7.350791828185274213e+00
5.500000000000000000e+01 1.158844369575335209e+00 -7.628439009868513310e+00 8.220184582962655655e-08 7.715957620424062746e+00
6.500000000000000000e+01 1.007454393398506953e+00 -7.992143229135860061e+00 8.321788128146068680e-08 8.055390601938563933e+00
7.500000000000000000e+01 8.212876018836741121e-01 -8.330090765748579429e+00 8.334898051901646820e-08 8.370479406259692112e+00
8.500000000000000000e+01 6.382844060688995791e-01 -8.584927238197066046e+00 8.294140163880284102e-08 8.608622576705789342e+00
9.500000000000000000e+01 4.585139675030694417e-01 -8.756654574747603448e+00 8.232218359564938718e-08 8.768650660155389076e+00
1.050000000000000000e+02 2.712230876526436352e-01 -8.886898648540974222e+00 8.172675753072235648e-08 8.891036472353222919e+00
1.150000000000000000e+02 7.646249493853360391e-02 -8.975678342612102512e+00 8.126518544753098547e-08 8.976004023125668141e+00
1.250000000000000000e+02 -1.005267999142466229e-01 -9.010949589544365423e+00 8.099141856648570366e-08 9.011510314193218463e+00
1.350000000000000000e+02 -2.597322824656875251e-01 -8.992733996973514721e+00 8.081482444427052405e-08 8.996484068728076267e+00
1.450000000000000000e+02 -4.025948505725656656e-01 -8.947726017771508111e+00 8.083795529181439896e-08 8.956778634241928216e+00
1.550000000000000000e+02 -5.290997635817153988e-01 -8.875972634391089855e+00 8.092212119665829011e-08 8.891728558963196249e+00
1.650000000000000000e+02 -6.447107711080652948e-01 -8.793280837136762784e+00 8.083846517435722404e-08 8.816883795261189150e+00
1.750000000000000000e+02 -7.494241141634012671e-01 -8.699653904056969367e+00 8.057497756248498820e-08 8.731873484726131451e+00
1.850000000000000000e+02 -8.253533478406878121e-01 -8.605248792598672480e+00 8.006744611446006653e-08 8.644739147673151436e+00
1.950000000000000000e+02 -8.724892866645314049e-01 -8.510098280031318296e+00 7.936333032439977509e-08 8.554706908546684474e+00
2.050000000000000000e+02 -9.099595642117211947e-01 -8.420747903231770692e+00 7.856768955151100285e-08 8.469771051113641036e+00
2.150000000000000000e+02 -9.377736721138706377e-01 -8.337197213222134806e+00 7.773012769433948847e-08 8.389772156159478911e+00
2.250000000000000000e+02 -9.475560649606677988e-01 -8.265698027776428702e+00 7.691399272941496514e-08 8.319833314594163198e+00
2.350000000000000000e+02 -9.393066372373157780e-01 -8.206249722422054305e+00 7.618282677256677902e-08 8.259832411466355495e+00
2.450000000000000000e+02 -9.238127702827008125e-01 -8.155160021002235027e+00 7.550205098144739410e-08 8.207317771518937377e+00
2.550000000000000000e+02 -9.010742505162847582e-01 -8.112429827455464704e+00 7.491225776947451631e-08 8.162319064477484787e+00
2.650000000000000000e+02 -8.630902802026356735e-01 -8.088788413619592887e+00 7.440786051551590702e-08 8.134704839887360706e+00
2.750000000000000000e+02 -8.098639318441318569e-01 -8.084239121902713876e+00 7.398294253335170856e-08 8.124703180313998629e+00
2.850000000000000000e+02 -7.569409763293044602e-01 -8.081834547317885864e+00 7.363010818037225109e-08 8.117204524457127590e+00
2.950000000000000000e+02 -7.043268435982810161e-01 -8.081574279970430652e+00 7.334624478962384548e-08 8.112208031435873323e+00
3.050000000000000000e+02 -6.529346224944022614e-01 -8.109187753295490353e+00 7.293860583220675916e-08 8.135431742658127519e+00
3.150000000000000000e+02 -6.027647564242946121e-01 -8.164684540651423461e+00 7.258266485248673525e-08 8.186904115716732377e+00
3.250000000000000000e+02 -5.525972498631219754e-01 -8.220187408054176359e+00 7.181470083789153790e-08 8.238740482870468895e+00
3.350000000000000000e+02 -5.024301670659504504e-01 -8.275683889591380904e+00 7.129888757621350758e-08 8.290921535825813038e+00
3.450000000000000000e+02 -4.522634231870357735e-01 -8.331186271260268228e+00 7.075784942159823407e-08 8.343452935708837614e+00
3.550000000000000000e+02 -4.092311455223670569e-01 -8.390686256338749871e+00 7.012718735826802348e-08 8.400659854010131156e+00
3.650000000000000000e+02 -3.733339551649080823e-01 -8.454182122477265082e+00 6.948720025122480030e-08 8.462421261204932321e+00
3.750000000000000000e+02 -3.374380284264831276e-01 -8.517678656928143965e+00 6.882703373636915025e-08 8.524360042004184734e+00
3.850000000000000000e+02 -3.015433200367388933e-01 -8.581176461611644157e+00 6.822025101421507437e-08 8.586472956876793461e+00
3.950000000000000000e+02 -2.656459854883984617e-01 -8.644671345351291336e+00 6.766802433962440010e-08 8.648751959603409034e+00
4.050000000000000000e+02 -2.223950182450788460e-01 -8.692765728506026690e+00 6.723693549262653793e-08 8.695610131257561548e+00
4.150000000000000000e+02 -1.717919898428590109e-01 -8.725454675837656993e+00 6.685110596860399084e-08 8.727145683891807337e+00
4.250000000000000000e+02 -1.211865451244164421e-01 -8.758139584448013437e+00 6.647345713402166151e-08 8.758977974592378146e+00
4.350000000000000000e+02 -7.058041283035937363e-02 -8.790830132295257116e+00 6.605637569229773918e-08 8.791113468130504316e+00
4.450000000000000000e+02 -1.997439527208986002e-02 -8.823516975985199906e+00 6.567937600498373286e-08 8.823539584654533030e+00
4.550000000000000000e+02 3.594451991155976633e-02 -8.837311366076432861e+00 6.558837704668761810e-08 8.837384465411435741e+00
4.650000000000000000e+02 9.717990223895955904e-02 -8.832218307547167413e+00 6.499297636388416035e-08 8.832752921120940570e+00
4.750000000000000000e+02 1.584165154025123645e-01 -8.827121221704601339e+00 6.429627728975639998e-08 8.828542623503610187e+00
4.850000000000000000e+02 2.196509368517756966e-01 -8.822026370468430301e+00 6.295936169630260124e-08 8.824760382882939069e+00
4.950000000000000000e+02 2.808863220599099875e-01 -8.816930299108976854e+00 6.261022825102715676e-08 8.821403347839064324e+00
5.050000000000000000e+02 3.459412059545327600e-01 -8.794442337869202930e+00 6.227541017481228601e-08 8.801243738931653127e+00
5.150000000000000000e+02 4.148135474049182148e-01 -8.754551597702455723e+00 6.210210233257055460e-08 8.764373563235723807e+00
5.250000000000000000e+02 4.836857210822942399e-01 -8.714659427882001097e+00 6.199840382503616644e-08 8.728071999058643726e+00
5.350000000000000000e+02 5.525587538214005168e-01 -8.674772796859739898e+00 6.199151230149320515e-08 8.692353205752882062e+00
5.450000000000000000e+02 6.214305703156485228e-01 -8.634882762959106728e+00 6.198860601869347472e-08 8.657215273040813841e+00
5.550000000000000000e+02 6.853246242920567610e-01 -8.576967051382977658e+00 6.203886378174412069e-08 8.604303204860359600e+00
5.650000000000000000e+02 7.442398635643753257e-01 -8.501028127762909392e+00 6.199292414118675399e-08 8.533543941618539463e+00
5.750000000000000000e+02 8.031535369157986048e-01 -8.425085433388634470e+00 6.203594142415301705e-08 8.463280697445743073e+00
5.850000000000000000e+02 8.620692513554317760e-01 -8.349141073824540626e+00 6.221260968612870287e-08 8.393528463331527689e+00
