# z u v w uhoriz
5.000000000000000000e+00 1.928471007592279962e+00 -5.552059663413137613e+00 3.411890331663241168e-08 5.877445612953231979e+00
1.500000000000000000e+01 2.027959774806801896e+00 -6.472829600125304061e+00 5.493192200704788332e-08 6.783077758694261661e+00
2.500000000000000000e+01 2.125056693998386592e+00 -7.569721662895005920e+00 6.819181279963012385e-08 7.862350285150699669e+00
3.500000000000000000e+01 2.126125104350328421e+00 -7.956251691216818855e+00 7.622569581828027075e-08 8.235432528613126024e+00
4.500000000000000000e+01 2.055173172622772437e+00 -8.294985110132355288e+00 8.101623609825578030e-08 8.545789299227182667e+00
5.500000000000000000e+01 1.912366328350646461e+00 -8.589780301278533869e+00 8.354538204987089847e-08 8.800083556310250188e+00
6.500000000000000000e+01 1.666908586603094600e+00 -8.883605989363822175e+00 8.466758941545095199e-08 9.038641469289059316e+00
7.500000000000000000e+01 1.318997917808645948e+00 -9.176535169836176564e+00 8.488322122473637052e-08 9.270844256615673018e+00
8.500000000000000000e+01 9.863293655189588893e-01 -9.380457688847924302e+00 8.452270059841924038e-08 9.432170061526200300e+00
9.500000000000000000e+01 6.691523052706692676e-01 -9.495235534506235808e+00 8.394065546907072898e-08 9.518784726182170530e+00
1.050000000000000000e+02 3.758812375033691033e-01 -9.563530932348145441e+00 8.338727289592346218e-08 9.570914825589394326e+00
1.150000000000000000e+02 1.064638470447076546e-01 -9.585408436807137278e+00 8.298629691066236779e-08 9.585999658415444102e+00
1.250000000000000000e+02 -1.923988833162841028e-01 -9.577282496467180550e+00 8.277068734969834302e-08 9.579214860699073242e+00
1.350000000000000000e+02 -5.206062543435825418e-01 -9.539217902900958279e+00 8.258840253007949226e-08 9.553413477448142288e+00
1.450000000000000000e+02 -8.321741688410675408e-01 -9.489716371323140720e+00 8.271437902447444171e-08 9.526134087626772384e+00
1.550000000000000000e+02 -1.127141188627766022e+00 -9.428788397420895251e+00 8.293046275164231737e-08 9.495920066135777660e+00
1.650000000000000000e+02 -1.412598496942177206e+00 -9.363447097272867836e+00 8.308203284210725151e-08 9.469402096066625418e+00
1.750000000000000000e+02 -1.688532561939537047e+00 -9.293705919740695265e+00 8.284877333661275938e-08 9.445851572799211837e+00
1.850000000000000000e+02 -1.944316957315136429e+00 -9.226307833034287142e+00 8.236799377936795968e-08 9.428951408317525207e+00
1.950000000000000000e+02 -2.179952209673292618e+00 -9.161256627449802181e+00 8.166276128194798066e-08 9.417049146651640612e+00
2.050000000000000000e+02 -2.406671170991341757e+00 -9.100237510531920648e+00 8.084942606855240965e-08 9.413096667588888522e+00
2.150000000000000000e+02 -2.624475839315261183e+00 -9.043251890635129797e+00 7.999316893239096633e-08 9.416383498383304129e+00
2.250000000000000000e+02 -2.824063409951576009e+00 -8.993559125379384511e+00 7.915383853974177182e-08 9.426528517175457367e+00
2.350000000000000000e+02 -3.005432325854940689e+00 -8.951159076387916969e+00 7.840616581161622045e-08 9.442238732212590691e+00
2.450000000000000000e+02 -3.177243811963510911e+00 -8.912151862121323376e+00 7.769673030305088949e-08 9.461571172599876789e+00
2.550000000000000000e+02 -3.339496915910413311e+00 -8.876538547672229384e+00 7.709176221615254775e-08 9.483943074464658451e+00
2.650000000000000000e+02 -3.478881581899171849e+00 -8.849612285886914620e+00 7.659259527280800707e-08 9.508851385493302999e+00
2.750000000000000000e+02 -3.595400168629671711e+00 -8.831371453361885671e+00 7.620386669402213859e-08 9.535199217627154056e+00
2.850000000000000000e+02 -3.711612103339228419e+00 -8.812219070131510179e+00 7.589314798549631860e-08 9.561969951094999587e+00
2.950000000000000000e+02 -3.827514763737259518e+00 -8.792153792987329908e+00 7.559421537411268887e-08 9.589152078581722805e+00
3.050000000000000000e+02 -3.906509210422391298e+00 -8.771323436585033662e+00 7.528295958334301129e-08 9.601923194876162526e+00
3.150000000000000000e+02 -3.948595998726506906e+00 -8.749726557692870443e+00 7.505492541235182366e-08 9.599433587225597364e+00
3.250000000000000000e+02 -3.990677775472646349e+00 -8.728129986122514339e+00 7.452256087411129724e-08 9.597174696873153721e+00
3.350000000000000000e+02 -4.032764198636926700e+00 -8.706534739206658102e+00 7.404108972386180970e-08 9.595151601033727218e+00
3.450000000000000000e+02 -4.074847302659871495e+00 -8.684936656773485808e+00 7.353620294812587527e-08 9.593357351426154978e+00
3.550000000000000000e+02 -4.092167332289845305e+00 -8.643006558898051139e+00 7.290706404301852651e-08 9.562813176707726015e+00
3.650000000000000000e+02 -4.084730456413001143e+00 -8.580743310275924074e+00 7.224947178341080892e-08 9.503377223829062359e+00
3.750000000000000000e+02 -4.077290196781505394e+00 -8.518477412947417449e+00 7.155906943315186836e-08 9.443979711099865781e+00
3.850000000000000000e+02 -4.069850963201992577e+00 -8.456214444505675942e+00 7.091323562386192077e-08 9.384628367396473436e+00
