# z uu uv uw vv vw ww TKE
5.000000000000000000e+00 2.932812186370671870e-01 2.517782505325641667e-03 6.015901910272837723e-04 2.163262979037672284e-01 6.000266668446918236e-03 1.017195633953795787e-02 2.598897364401862031e-01
1.500000000000000000e+01 2.914925567832138409e-01 1.250483965980552295e-02 3.594132794032674130e-03 3.758587486389660115e-01 4.911394036041098060e-02 6.191306924735658773e-02 3.646321873347682097e-01
2.500000000000000000e+01 2.827106753673129247e-01 1.695020745731161058e-02 6.527639424969519655e-03 4.336347124105200956e-01 8.673023011738779930e-02 1.103286466501458007e-01 4.133370172139894105e-01
3.500000000000000000e+01 2.797366239745568972e-01 2.059601777692349547e-02 9.153049225849524753e-03 4.646902013502756112e-01 1.093160189863901510e-01 1.442647012028395459e-01 4.443457632638360133e-01
4.500000000000000000e+01 2.768699247969816368e-01 2.362003120209422297e-02 1.178142668739685581e-02 4.719832213895003292e-01 1.221431996602418135e-01 1.663293537812919887e-01 4.575912499838870051e-01
5.500000000000000000e+01 2.732439979394730711e-01 2.638313370365074836e-02 1.399315029250256838e-02 4.731606791134167489e-01 1.303027180783869199e-01 1.801076564874912467e-01 4.632561667701905472e-01
6.500000000000000000e+01 2.679137789315430007e-01 2.924388484300775859e-02 1.588149059449049313e-02 4.732034491819368527e-01 1.361809969243020779e-01 1.883845519108232613e-01 4.647508900121515851e-01
7.500000000000000000e+01 2.615147243523760490e-01 3.173043410227477379e-02 1.725961300174063545e-02 4.697193553880030237e-01 1.385919869153107720e-01 1.928733162682274016e-01 4.620536980043032926e-01
8.500000000000000000e+01 2.547740725667191897e-01 3.382337511137191444e-02 1.816048532796911419e-02 4.632397996474959534e-01 1.382335039553984068e-01 1.945872530078328055e-01 4.563005626110239188e-01
9.500000000000000000e+01 2.482394988635184818e-01 3.579134474653613424e-02 1.889599102546288614e-02 4.550935310303570458e-01 1.358386499281790671e-01 1.942058743870435922e-01 4.487694521404596015e-01
1.050000000000000000e+02 2.422042808875316255e-01 3.734267152700126297e-02 1.947753488620500989e-02 4.462256871598477281e-01 1.320358473805755273e-01 1.922441447619918364e-01 4.403370564046855673e-01
1.150000000000000000e+02 2.367889594728596336e-01 3.876649873463338530e-02 1.994103430086400716e-02 4.385391823771045416e-01 1.280135503773379146e-01 1.891024359074933714e-01 4.322152888787287317e-01
1.250000000000000000e+02 2.314449519549929002e-01 4.008467088649983467e-02 2.033558192378193130e-02 4.325217161280296430e-01 1.242261177231415853e-01 1.850744285738331607e-01 4.245205483284278380e-01
1.350000000000000000e+02 2.260521061750862815e-01 4.134727880868441230e-02 2.071261304194722819e-02 4.271173483455685815e-01 1.202876413322346988e-01 1.803019318661232551e-01 4.167356931933891007e-01
1.450000000000000000e+02 2.210477201565610728e-01 4.269577831309530336e-02 2.107538185487202800e-02 4.222520863345599063e-01 1.162263447550846568e-01 1.748914776742892807e-01 4.090956420827051021e-01
