# z uT vT wT
5.000000000000000000e+00 1.464165896866183010e-03 -5.916989394387303300e-03 3.500270003760399314e-03
1.500000000000000000e+01 3.003343411471745897e-03 -4.351733956301836862e-04 1.304880797202105473e-02
2.500000000000000000e+01 3.307883587458708158e-03 3.156779908161317597e-03 2.010300362781058947e-02
3.500000000000000000e+01 3.291449089101147144e-03 5.657571264278130757e-03 2.355742211337681635e-02
4.500000000000000000e+01 3.376805174977362978e-03 6.198848144242425154e-03 2.513833148495588435e-02
5.500000000000000000e+01 3.800285602702586658e-03 6.155958859806073130e-03 2.644031237211029797e-02
6.500000000000000000e+01 4.412810161307650914e-03 5.996826796423981691e-03 2.812524939932621593e-02
7.500000000000000000e+01 5.152053343107278020e-03 5.984888559707463376e-03 2.964914350409422403e-02
8.500000000000000000e+01 5.776147054747379946e-03 6.085010238017088749e-03 3.081206134209303615e-02
9.500000000000000000e+01 5.988854050049893969e-03 6.168842613175851142e-03 3.101363104258727035e-02
1.050000000000000000e+02 5.925078024353365100e-03 5.987192330940587989e-03 3.041325177978498537e-02
1.150000000000000000e+02 6.131074291623583167e-03 5.657611429626775018e-03 3.076281137656343076e-02
1.250000000000000000e+02 6.561477420859202977e-03 5.290796566797489539e-03 3.231821065484621197e-02
1.350000000000000000e+02 6.783499622284021313e-03 4.999697607693767698e-03 3.270021674524976191e-02
1.450000000000000000e+02 6.739339180426756441e-03 4.812087812193686052e-03 3.142899750342906251e-02
1.550000000000000000e+02 6.777179319411373581e-03 4.606050376599257409e-03 3.046488965482752401e-02
1.650000000000000000e+02 7.022587241282794365e-03 4.409071781471049847e-03 3.041714124798972074e-02
1.750000000000000000e+02 7.282115873554324825e-03 4.273772545607444975e-03 3.131225234330164281e-02
1.850000000000000000e+02 7.548828137183107370e-03 4.261133765430138824e-03 3.295584259890267653e-02
1.950000000000000000e+02 7.488251053167829970e-03 4.253165202312870173e-03 3.314674183773151650e-02
2.050000000000000000e+02 7.181260832273962495e-03 4.219794710709653257e-03 3.152583266751006474e-02
2.150000000000000000e+02 7.002477077665971751e-03 4.223991154906027966e-03 3.016048696691198822e-02
2.250000000000000000e+02 6.824118738124235022e-03 4.151390786611856842e-03 2.953672740100286159e-02
2.350000000000000000e+02 6.615347625646832673e-03 3.988363198270243951e-03 2.916820198394096467e-02
2.450000000000000000e+02 6.426203349814274893e-03 3.761580115754219189e-03 2.901037206695825793e-02
2.550000000000000000e+02 6.466022194938211495e-03 3.511485973155230832e-03 2.960887401586790799e-02
2.650000000000000000e+02 6.815976965106680836e-03 3.265897429842421450e-03 3.095946787011315954e-02
2.750000000000000000e+02 7.021993904890967524e-03 3.029814093257470788e-03 3.087704003015255896e-02
2.850000000000000000e+02 6.935493191045271656e-03 2.767790964384852798e-03 2.881709232581581778e-02
2.950000000000000000e+02 6.862100314896804262e-03 2.495487985156926315e-03 2.670211772807952813e-02
3.050000000000000000e+02 6.928944560660591119e-03 2.148588461759676823e-03 2.510360469823416305e-02
3.150000000000000000e+02 6.830585909243448023e-03 1.823740160089696400e-03 2.356206382259813659e-02
3.250000000000000000e+02 6.589890510657436633e-03 1.565425915767711508e-03 2.197956286448055421e-02
3.350000000000000000e+02 6.300743136220719742e-03 1.493013085835205112e-03 2.028167198280484904e-02
3.450000000000000000e+02 5.877010646681977285e-03 1.539447989339050131e-03 1.804503183676611777e-02
3.550000000000000000e+02 5.363162501111552738e-03 1.561948490476419748e-03 1.515004068466946179e-02
3.650000000000000000e+02 4.869545229418613744e-03 1.681030740707164465e-03 1.251146054577015679e-02
3.750000000000000000e+02 4.128030795130952814e-03 1.936938323733138848e-03 1.030325934111775595e-02
3.850000000000000000e+02 2.930048389957242913e-03 2.305438112072258523e-03 8.239612618569688851e-03
3.950000000000000000e+02 1.126487879812151753e-03 2.792789536613706110e-03 5.213026162084896664e-03
4.050000000000000000e+02 -1.566579156612948540e-03 3.080772796404989983e-03 8.086826842915647304e-04
4.150000000000000000e+02 -4.339955799825998342e-03 3.342682320275659758e-03 -2.459090755672153038e-03
4.250000000000000000e+02 -6.754608673416284161e-03 4.037793590352858203e-03 -4.162139620735169458e-03
4.350000000000000000e+02 -8.791564365616561308e-03 4.945596861272119615e-03 -5.470807236294573592e-03
4.450000000000000000e+02 -1.167450619908718366e-02 6.321030453509480021e-03 -8.553781637725842504e-03
4.550000000000000000e+02 -1.700758840960301527e-02 8.348323199832943103e-03 -1.405866963807857715e-02
4.650000000000000000e+02 -2.271765025136306473e-02 1.260586115842120269e-02 -1.645909441834811360e-02
4.750000000000000000e+02 -2.746958797678690500e-02 1.983260822367532289e-02 -1.500542413465987684e-02
4.850000000000000000e+02 -3.276545629090293205e-02 3.128301622165862578e-02 -1.303425856824489380e-02
4.950000000000000000e+02 -4.088171334108273852e-02 5.024169957296489158e-02 -1.625433668755808109e-02
