# z uT vT wT
5.000000000000000000e+00 9.018329175191158406e-05 -2.516118808191935164e-04 5.335057364030731594e-04
1.500000000000000000e+01 6.672198497879116251e-04 1.891165369359567227e-03 2.082489123694191476e-03
2.500000000000000000e+01 6.222590867493390555e-04 2.384019691684384924e-03 2.442655479796844789e-03
3.500000000000000000e+01 3.157474222621211137e-04 1.841821235289911683e-03 1.846094206407017727e-03
4.500000000000000000e+01 1.275000028924392643e-05 1.078718046296227914e-03 1.192980926020428259e-03
5.500000000000000000e+01 -4.152356797066148494e-04 2.214794776047707668e-04 4.945399360447013878e-04
6.500000000000000000e+01 -9.699130713017959380e-04 -6.171715020886053013e-04 -1.173967515435265748e-04
7.500000000000000000e+01 -1.718241173386525966e-03 -1.465882675310803971e-03 -6.426131483684893644e-04
8.500000000000000000e+01 -2.721483305595220371e-03 -2.321156757382022116e-03 -1.027756723385394449e-03
9.500000000000000000e+01 -3.853736815593027977e-03 -3.044723945485907062e-03 -1.279566794112633283e-03
1.050000000000000000e+02 -5.022677179383519888e-03 -3.522707454578685813e-03 -1.438248866676792009e-03
1.150000000000000000e+02 -6.006689082539525514e-03 -3.425081265152684490e-03 -1.301099615717727243e-03
1.250000000000000000e+02 -6.568229591624452635e-03 -2.632792498019378459e-03 -1.077259195746756593e-03
1.350000000000000000e+02 -6.858972887292212432e-03 -1.649448967840619253e-03 -7.643610891590712619e-04
1.450000000000000000e+02 -6.939744050287586022e-03 -9.679526424762362798e-04 -3.255001080242408084e-04
1.550000000000000000e+02 -6.941395729119210697e-03 -5.228710124017659768e-04 -3.119172886737743263e-04
1.650000000000000000e+02 -6.446916946271467885e-03 -4.831073954921935273e-05 -4.979652995376086452e-04
1.750000000000000000e+02 -4.816110387008916416e-03 5.465883946245443919e-04 -1.276074449477833568e-04
1.850000000000000000e+02 -3.028459874783874517e-03 1.095010522338487561e-03 1.313270191793211204e-04
1.950000000000000000e+02 -2.907437554773415703e-03 1.569503070552727159e-03 7.280781100186502544e-05
2.050000000000000000e+02 -4.169880705546778928e-03 1.787182426934716319e-03 5.026163543762215643e-05
2.150000000000000000e+02 -4.336820714522867867e-03 1.665163013332999955e-03 -1.028274566425553150e-05
2.250000000000000000e+02 -3.737314232677414923e-03 1.497344929457142823e-03 -1.176922779697042992e-05
2.350000000000000000e+02 -3.227831621932932254e-03 1.493526739280443731e-03 5.638807213372659690e-06
2.450000000000000000e+02 -2.969572661199198008e-03 1.637521272819549793e-03 -1.059252775614444549e-06
2.550000000000000000e+02 -2.821944954913798050e-03 1.634198967395448588e-03 -2.627628726558881936e-06
2.650000000000000000e+02 -2.702356547555511725e-03 1.475133865168219835e-03 -7.072646816292632993e-07
2.750000000000000000e+02 -2.680970135718759983e-03 1.492105389036965267e-03 -1.210979252438573167e-06
2.850000000000000000e+02 -2.722763680280213244e-03 1.710834180594452423e-03 8.860929719692942052e-07
2.950000000000000000e+02 -2.675808856835321450e-03 1.831072855470606674e-03 3.916653270216230802e-06
3.050000000000000000e+02 -2.602648800106952855e-03 1.833188635537636325e-03 1.071175444111487831e-06
3.150000000000000000e+02 -2.587763063938815916e-03 1.797963783063410200e-03 -2.044235999630133735e-06
3.250000000000000000e+02 -2.591841641211884047e-03 1.726589837201020260e-03 -3.811922590992556889e-06
3.350000000000000000e+02 -2.562711482636099557e-03 1.663226900760573189e-03 -4.786081422567693720e-06
3.450000000000000000e+02 -2.475867896130995449e-03 1.708977799007193503e-03 -4.277336344915154114e-06
3.550000000000000000e+02 -2.395352256194466147e-03 1.858914094380071606e-03 -4.380513386011980317e-06
3.650000000000000000e+02 -2.311477380853473474e-03 1.833553000448825791e-03 -2.659863759144750387e-06
3.750000000000000000e+02 -2.237326340915364933e-03 1.696811313831807005e-03 -1.113290137486979126e-07
3.850000000000000000e+02 -2.272861423747539380e-03 1.657578608182308164e-03 1.155862497662909247e-07
3.950000000000000000e+02 -2.299929199303004258e-03 1.708935162136734562e-03 -2.228642981719324139e-07
4.050000000000000000e+02 -2.230557711718329436e-03 1.808369409123694333e-03 6.130176404683760613e-08
4.150000000000000000e+02 -2.215112549945719156e-03 1.855614364353305344e-03 -7.942564402435369243e-07
4.250000000000000000e+02 -2.301316255963907053e-03 1.852586290519486105e-03 -2.209153291328999064e-06
4.350000000000000000e+02 -2.383015865933507237e-03 1.840311837602349098e-03 -2.861827150467630885e-07
4.450000000000000000e+02 -2.314419361256009333e-03 1.814175255604644991e-03 3.002170007199682480e-06
4.550000000000000000e+02 -2.150270953223569655e-03 1.823681476955307237e-03 2.342604266417259695e-06
4.650000000000000000e+02 -2.052826346485200990e-03 1.885912558254618319e-03 -2.212073909089096722e-07
4.750000000000000000e+02 -2.076802448288947618e-03 2.005894833889201433e-03 -8.708896053283077285e-07
4.850000000000000000e+02 -2.235001358332937890e-03 2.115596457527198389e-03 3.614399939817014586e-07
4.950000000000000000e+02 -2.299141912330282707e-03 2.145063613363478068e-03 4.734278750352247046e-06
5.050000000000000000e+02 -2.153667546065609131e-03 2.091759888432811153e-03 1.239169013693673637e-05
5.150000000000000000e+02 -2.001132073379284070e-03 1.982886641708289915e-03 1.661441829742341261e-05
5.250000000000000000e+02 -1.853781597628346425e-03 1.858953300939858097e-03 1.591378802041159719e-05
5.350000000000000000e+02 -1.713436911247421743e-03 1.748344258259576685e-03 1.379835896953842626e-05
5.450000000000000000e+02 -1.662617690470199376e-03 1.731839369808332385e-03 1.336954080343477477e-05
5.550000000000000000e+02 -1.652619501261483846e-03 1.777224148787971518e-03 1.389558841848982445e-05
