# z u v w uhoriz
5.000000000000000000e+00 5.472297242784800453e-01 -6.691405066679174674e+00 -2.374898164827411549e-08 6.713744271084030046e+00
1.500000000000000000e+01 5.204954084282189530e-01 -6.730403113800751846e+00 -3.706746243422206880e-08 6.750499355192451922e+00
2.500000000000000000e+01 4.801652062180203906e-01 -6.805821719777168433e+00 -4.495175358596489434e-08 6.822739032577242568e+00
3.500000000000000000e+01 4.531047342228250452e-01 -6.892388744561531944e+00 -4.883728499460937382e-08 6.907266210761941139e+00
4.500000000000000000e+01 4.177259745374958255e-01 -6.964397950173749408e+00 -5.038297129665776121e-08 6.976914346484957896e+00
5.500000000000000000e+01 3.739901747892525052e-01 -7.021853281699421245e+00 -5.025614414602203777e-08 7.031805753897915068e+00
6.500000000000000000e+01 3.268903306613302751e-01 -7.069174475916333300e+00 -4.933732533685174313e-08 7.076728414968800784e+00
7.500000000000000000e+01 2.764592229344957630e-01 -7.106378761323171922e+00 -4.784128099646016820e-08 7.111754270314083470e+00
8.500000000000000000e+01 2.233999646758740298e-01 -7.135849585623177838e+00 -4.622294597131490403e-08 7.139345688006406121e+00
9.500000000000000000e+01 1.676972090964949369e-01 -7.157578223588803468e+00 -4.447365147675883023e-08 7.159542470069676590e+00
1.050000000000000000e+02 1.028711511566628711e-01 -7.176339077251123300e+00 -4.283769959217882835e-08 7.177076356387871670e+00
1.150000000000000000e+02 2.890704114541421330e-02 -7.192108938726128109e+00 -4.121223862683514065e-08 7.192167031120179743e+00
1.250000000000000000e+02 -6.855215092951208455e-02 -7.203915734645121915e+00 -3.975545421009763544e-08 7.204241896914943766e+00
1.350000000000000000e+02 -1.895628769898430321e-01 -7.211780141728878490e+00 -3.835316527771814399e-08 7.214271057907907014e+00
1.450000000000000000e+02 -3.604201056275529447e-01 -7.213515709332433801e+00 -3.711092375429211638e-08 7.222514211915846971e+00
1.550000000000000000e+02 -5.810682546208298938e-01 -7.209110867168151415e+00 -3.592679785735368589e-08 7.232490567684829230e+00
1.650000000000000000e+02 -7.571608993322486159e-01 -7.199420890923685867e+00 -3.484994135237912171e-08 7.239126590421389729e+00
1.750000000000000000e+02 -8.884199118435515130e-01 -7.184446181069461979e+00 -3.382109792606553843e-08 7.239168244242129902e+00
1.850000000000000000e+02 -1.014038925667643420e+00 -7.162879684359940491e+00 -3.288222472159671970e-08 7.234301646695798560e+00
1.950000000000000000e+02 -1.134244031223185845e+00 -7.134718970498743928e+00 -3.199238379756100779e-08 7.224314798675378846e+00
2.050000000000000000e+02 -1.320285177757863915e+00 -7.084607522589505102e+00 -3.124028472539205946e-08 7.206581484985715491e+00
2.150000000000000000e+02 -1.572185854210528255e+00 -7.012535607133980164e+00 -3.054248623454778981e-08 7.186614223784495437e+00
2.250000000000000000e+02 -1.820542030309421966e+00 -6.936821964372045457e+00 -3.003038309545841408e-08 7.171741228566294701e+00
2.350000000000000000e+02 -2.065264160770309498e+00 -6.857490452580807805e+00 -2.958833371928982093e-08 7.161738012591582603e+00
2.450000000000000000e+02 -2.298419709821784007e+00 -6.772858614179614989e+00 -2.943866168160026010e-08 7.152226714119475304e+00
2.550000000000000000e+02 -2.520000424183909349e+00 -6.682920933025631172e+00 -2.921751373282068984e-08 7.142256949659487653e+00
2.650000000000000000e+02 -2.741224892658506551e+00 -6.592571074849065127e+00 -2.880891365389512057e-08 7.139769414278530846e+00
2.750000000000000000e+02 -2.962111685523091342e+00 -6.501813266998899721e+00 -2.805039435463071475e-08 7.144766014113782759e+00
2.850000000000000000e+02 -3.179212610841673836e+00 -6.401234485658178208e+00 -2.728140970329436042e-08 7.147250923628906349e+00
2.950000000000000000e+02 -3.392522860758637293e+00 -6.290826057376520453e+00 -2.726413096858709218e-08 7.147286467250167696e+00
3.050000000000000000e+02 -3.604159751944226109e+00 -6.176636681605531365e+00 -2.576947652007955660e-08 7.151280180085916705e+00
3.150000000000000000e+02 -3.814122557170547712e+00 -6.058668766771380554e+00 -2.395051414660187620e-08 7.159259606032472689e+00
3.250000000000000000e+02 -4.024077828146017666e+00 -5.940693928026640869e+00 -2.057497893075615559e-08 7.175308126726612556e+00
3.350000000000000000e+02 -4.234031410418285013e+00 -5.822723022245678060e+00 -1.994758321983123547e-08 7.199383680440881506e+00
3.450000000000000000e+02 -4.443982764732387736e+00 -5.704761054031227019e+00 -1.931759211973852657e-08 7.231409371404027731e+00
3.550000000000000000e+02 -4.648426153493851132e+00 -5.578978686010923838e+00 -1.903165566701420014e-08 7.261740072699504722e+00
3.650000000000000000e+02 -4.847360633910312799e+00 -5.445350714560056815e+00 -1.893907907795998975e-08 7.290318890127036155e+00
3.750000000000000000e+02 -5.046290508954875520e+00 -5.311707934948842080e+00 -1.893476939698418527e-08 7.326615117976824187e+00
3.850000000000000000e+02 -5.245227028386834967e+00 -5.178077034150635249e+00 -1.897706053682613999e-08 7.370541930612567683e+00
3.950000000000000000e+02 -5.444155574343157333e+00 -5.044449355865458173e+00 -1.902063501662529618e-08 7.421947131416600563e+00
4.050000000000000000e+02 -5.636269856613226104e+00 -4.904751485102244679e+00 -1.907251060413690325e-08 7.471554391636290759e+00
4.150000000000000000e+02 -5.821593624148864166e+00 -4.758973049215939888e+00 -1.910629358308754472e-08 7.519227141661193770e+00
4.250000000000000000e+02 -6.006917990103699090e+00 -4.613184758305396649e+00 -1.915418318598820181e-08 7.573938034740757885e+00
4.350000000000000000e+02 -6.192237978195334946e+00 -4.467398489326748212e+00 -1.917472634335980690e-08 7.635539302566883180e+00
4.450000000000000000e+02 -6.377558960653360032e+00 -4.321613359743404104e+00 -1.921802725241499683e-08 7.703869179037416970e+00
4.550000000000000000e+02 -6.553921572951690422e+00 -4.171155003974890363e+00 -1.922935437448272564e-08 7.768682130939991382e+00
4.650000000000000000e+02 -6.721312694844285396e+00 -4.016031600882791430e+00 -1.925657340540593763e-08 7.829722483023529911e+00
4.750000000000000000e+02 -6.888702453204994747e+00 -3.860910757583265962e+00 -1.922940004230473112e-08 7.896888840981282520e+00
4.850000000000000000e+02 -7.056097494005754811e+00 -3.705789538276052841e+00 -1.917431779320619579e-08 7.970030611416152766e+00
4.950000000000000000e+02 -7.223480227992369329e+00 -3.550668130272880862e+00 -1.903856020169745209e-08 8.048969547434765559e+00
5.050000000000000000e+02 -7.382381813512078672e+00 -3.392992839716304054e+00 -1.886461532649055041e-08 8.124774560001034374e+00
5.150000000000000000e+02 -7.532809446857294589e+00 -3.232762248759051271e+00 -1.860656653696003606e-08 8.197192807276413973e+00
5.250000000000000000e+02 -7.683233013425596170e+00 -3.072536512872968917e+00 -1.836054644218797720e-08 8.274814207070184224e+00
5.350000000000000000e+02 -7.833652156683458934e+00 -2.912311943033623951e+00 -1.804627913370196153e-08 8.357491667088138954e+00
5.450000000000000000e+02 -7.984067161471392282e+00 -2.752079722121943739e+00 -1.780583297649520344e-08 8.445073785101030239e+00
5.550000000000000000e+02 -8.128923634119862740e+00 -2.590597240540892798e+00 -1.754031485491687622e-08 8.531740356577348194e+00
5.650000000000000000e+02 -8.268219222746422403e+00 -2.427873229434710733e+00 -1.747263239777606766e-08 8.617309181734121637e+00
5.750000000000000000e+02 -8.407503046776685807e+00 -2.265151601720200247e+00 -1.728113809437535419e-08 8.707296897449566586e+00
5.850000000000000000e+02 -8.546778808604731381e+00 -2.102433462195433478e+00 -1.687816711583249433e-08 8.801571136233235393e+00
5.950000000000000000e+02 -8.686050827727504142e+00 -1.939721082155174692e+00 -1.612690991437528283e-08 8.899999823506902885e+00
6.050000000000000000e+02 -8.806802994973823573e+00 -1.781598874620268003e+00 -1.536152658326972632e-08 8.985203032894032660e+00
6.150000000000000000e+02 -8.909034385001955769e+00 -1.628060148470604096e+00 -1.531742896544116350e-08 9.056570737325762011e+00
6.250000000000000000e+02 -9.011260181619483944e+00 -1.474521969523514997e+00 -1.385354216091531487e-08 9.131102074746964448e+00
6.350000000000000000e+02 -9.113487897128486281e+00 -1.320987099908053519e+00 -1.208589151950904481e-08 9.208727847495053354e+00
6.450000000000000000e+02 -9.215710621841720851e+00 -1.167459889903102122e+00 -8.772201249968828059e-09 9.289364071886669905e+00
6.550000000000000000e+02 -9.313755724459602092e+00 -1.011938217174846111e+00 -8.102336113125462036e-09 9.368567908185488236e+00
6.650000000000000000e+02 -9.407632925852801975e+00 -8.544073235760524243e-01 -7.412165976643497051e-09 9.446352160605179904e+00
6.750000000000000000e+02 -9.501510445049863307e+00 -6.968669258943341882e-01 -7.043360582460354499e-09 9.527031240097675990e+00
6.850000000000000000e+02 -9.595381741059851421e+00 -5.393455045852560970e-01 -6.831510473851234999e-09 9.610527786234277059e+00
6.950000000000000000e+02 -9.689246156781367247e+00 -3.818413995445896769e-01 -6.722240130318211110e-09 9.696767190208738896e+00
7.050000000000000000e+02 -9.772143534265202547e+00 -2.174551372964083351e-01 -6.634534006006505714e-09 9.774562700756376898e+00
7.150000000000000000e+02 -9.844077035101028272e+00 -4.618267534446388045e-02 -6.601607933886513482e-09 9.844185365610778504e+00
7.250000000000000000e+02 -9.915997440455527112e+00 1.250634861401134501e-01 -6.594299264666282460e-09 9.916786077892680851e+00
7.350000000000000000e+02 -9.987910815021056266e+00 2.962967013564447027e-01 -6.662105943171551473e-09 9.992304748357572208e+00
7.450000000000000000e+02 -1.005982451898809060e+01 4.675461496132592432e-01 -6.800192496688622131e-09 1.007068362897237179e+01
7.550000000000000000e+02 -1.012925478474380370e+01 6.430606268487687460e-01 -6.998272763527968284e-09 1.014964676548195754e+01
7.650000000000000000e+02 -1.019618373656838628e+01 8.228319074715673143e-01 -7.250267086593903182e-09 1.022933111878850809e+01
7.750000000000000000e+02 -1.026310166634325505e+01 1.002591353272353381e+00 -7.517353779149275536e-09 1.031195642132734136e+01
7.850000000000000000e+02 -1.033003382114156210e+01 1.182346130539895235e+00 -7.785086639645035676e-09 1.039747763249968315e+01
