# z u v w uhoriz
5.000000000000000000e+00 1.959722373642404647e-01 -6.399800098173971108e+00 -2.532692766150775654e-08 6.402799888674103990e+00
1.500000000000000000e+01 1.882879782121219814e-01 -6.457552573288497300e+00 -3.959613911218641753e-08 6.460297020998654993e+00
2.500000000000000000e+01 1.762721059596573658e-01 -6.558106962955261743e+00 -4.812546751669195314e-08 6.560475500518368364e+00
3.500000000000000000e+01 1.675776986660623136e-01 -6.657995185895637213e+00 -5.246567790569407608e-08 6.660103766496411559e+00
4.500000000000000000e+01 1.584807009327866278e-01 -6.740029027449167209e+00 -5.432949198965297736e-08 6.741891976546755316e+00
5.500000000000000000e+01 1.489607056690434306e-01 -6.804278353436924220e+00 -5.444587676660865467e-08 6.805908697806907881e+00
6.500000000000000000e+01 1.370272411292915160e-01 -6.869337163927529133e+00 -5.371128090944477689e-08 6.870703714797153694e+00
7.500000000000000000e+01 1.226647597678610230e-01 -6.935296014099022521e+00 -5.237147816236038019e-08 6.936380716661009416e+00
8.500000000000000000e+01 1.030155336178007475e-01 -7.009954619643012919e+00 -5.088097685310280166e-08 7.010711516645153019e+00
9.500000000000000000e+01 7.806289329369095475e-02 -7.093305286745466454e+00 -4.924392429127043357e-08 7.093734820690760223e+00
1.050000000000000000e+02 4.812036726913503093e-02 -7.179810612188187058e+00 -4.769876598308075578e-08 7.179971866005898207e+00
1.150000000000000000e+02 1.318904750582188673e-02 -7.269435974950237522e+00 -4.614809372312633124e-08 7.269447939484456889e+00
1.250000000000000000e+02 -2.514149631536548302e-02 -7.358113634438532280e+00 -4.474418695674126991e-08 7.358156586547149658e+00
1.350000000000000000e+02 -6.686009022403600899e-02 -7.445816472004413988e+00 -4.337471458473724182e-08 7.446116652755113918e+00
1.450000000000000000e+02 -1.109265345644061679e-01 -7.530085704201438190e+00 -4.214506151186347988e-08 7.530902695473454145e+00
1.550000000000000000e+02 -1.573155514258148258e-01 -7.610903890836286045e+00 -4.095569477280214422e-08 7.612529554508627783e+00
1.650000000000000000e+02 -1.986661285480145478e-01 -7.682445818662571035e+00 -3.986457834497609577e-08 7.685014117574429093e+00
1.750000000000000000e+02 -2.349464292930177889e-01 -7.744662432347099390e+00 -3.881105297410890564e-08 7.748225346209674846e+00
1.850000000000000000e+02 -2.716393321454591003e-01 -7.804151710711778378e+00 -3.784249233203660461e-08 7.808877758716294082e+00
1.950000000000000000e+02 -3.087846996404003397e-01 -7.860916960846809687e+00 -3.691873116909313253e-08 7.866979309497454942e+00
2.050000000000000000e+02 -3.601531659840063182e-01 -7.916993496999693569e+00 -3.611835205425497417e-08 7.925181154680550399e+00
2.150000000000000000e+02 -4.257668816266357292e-01 -7.972400225263911899e+00 -3.537606750858022400e-08 7.983761193151893032e+00
2.250000000000000000e+02 -4.961867442533182126e-01 -8.028673308101282657e+00 -3.480263330342037324e-08 8.043991321066345179e+00
2.350000000000000000e+02 -5.714070406173923367e-01 -8.085828592481684396e+00 -3.431334254352688830e-08 8.105993463670042587e+00
2.450000000000000000e+02 -6.619913922664598660e-01 -8.143783506760810198e+00 -3.407342648681500118e-08 8.170645164760507839e+00
2.550000000000000000e+02 -7.679446292599545476e-01 -8.202538390902201826e+00 -3.379968102173229038e-08 8.238408523970736752e+00
2.650000000000000000e+02 -8.761779885667759782e-01 -8.260483250294077706e+00 -3.339577466178420546e-08 8.306820775485524777e+00
2.750000000000000000e+02 -9.867005100876093948e-01 -8.317618294196119422e+00 -3.273145534098429626e-08 8.375938871825242771e+00
2.850000000000000000e+02 -1.117567519169723855e+00 -8.370416045552097728e+00 -3.207124997634950015e-08 8.444691938462835168e+00
2.950000000000000000e+02 -1.268804737367322577e+00 -8.418853664344695176e+00 -3.201262327673950007e-08 8.513927559194749861e+00
3.050000000000000000e+02 -1.427456823534406949e+00 -8.457594887599780620e+00 -3.078072273784083834e-08 8.577210750926484550e+00
3.150000000000000000e+02 -1.593469674893684518e+00 -8.486635022425897290e+00 -2.930406466250961170e-08 8.634935993316428693e+00
3.250000000000000000e+02 -1.759507537165872604e+00 -8.515657443089072132e+00 -2.656034327717589273e-08 8.695532672664846530e+00
3.350000000000000000e+02 -1.925554230852705606e+00 -8.544666949465131722e+00 -2.600601150116188445e-08 8.758943564907614387e+00
3.450000000000000000e+02 -2.091624476203835847e+00 -8.573628741160719713e+00 -2.545372164310544192e-08 8.825078058618638366e+00
3.550000000000000000e+02 -2.272106993191099544e+00 -8.582340343411203776e+00 -2.514756343515570316e-08 8.878008558153762664e+00
3.650000000000000000e+02 -2.467018410812223728e+00 -8.570783643314793920e+00 -2.498764494720414306e-08 8.918773015375986546e+00
3.750000000000000000e+02 -2.661975491423983264e+00 -8.559188723808270893e+00 -2.487935258383284480e-08 8.963583274935789547e+00
3.850000000000000000e+02 -2.856930937103991486e+00 -8.547602191603113297e+00 -2.480116318911587539e-08 9.012411309149191752e+00
3.950000000000000000e+02 -3.051894350730809169e+00 -8.535988550488903925e+00 -2.471382510019540419e-08 9.065161866293413695e+00
4.050000000000000000e+02 -3.257776278251392821e+00 -8.504821590948210996e+00 -2.463571740473761636e-08 9.107419863660418002e+00
4.150000000000000000e+02 -3.474581651268676907e+00 -8.454095242754426920e+00 -2.455104579507292249e-08 9.140264986579765605e+00
4.250000000000000000e+02 -3.691406235587850304e+00 -8.403346500917269424e+00 -2.450271494409423688e-08 9.178382886468366308e+00
4.350000000000000000e+02 -3.908225194913137912e+00 -8.352614209745480522e+00 -2.444865566638270875e-08 9.221734560861960972e+00
4.450000000000000000e+02 -4.125049982103099033e+00 -8.301858303677731143e+00 -2.445300639626466681e-08 9.270215135000464457e+00
