# z uu uv uw vv vw ww TKE
5.000000000000000000e+00 2.254336943162292550e-01 -6.915143764942935714e-03 2.710588967390800382e-04 2.068811439268179453e-01 3.990949754463376901e-03 9.796106961145092940e-03 2.210554726020961258e-01
1.500000000000000000e+01 2.100115957067132944e-01 5.708428572946721950e-03 1.905097093079185979e-03 2.929813428634487904e-01 2.838895255823589703e-02 5.478256971941752873e-02 2.788877541447898345e-01
2.500000000000000000e+01 2.004419182892397122e-01 8.138866544376682430e-03 3.297137337809871119e-03 3.056899136996095723e-01 5.153543223975720622e-02 9.366062639423404501e-02 2.998962291915416301e-01
3.500000000000000000e+01 1.911022791319005598e-01 1.778053074322696533e-02 4.090347681315006402e-03 3.472307134504751258e-01 7.098802761174830001e-02 1.195356950613284813e-01 3.289343438218520488e-01
4.500000000000000000e+01 1.899498795546959162e-01 1.546280144489043350e-02 3.016738807479125376e-03 3.387846005430966145e-01 7.888855204318824532e-02 1.358318296824582161e-01 3.322831548901253873e-01
5.500000000000000000e+01 1.868103761909979954e-01 1.297421903004322349e-02 2.458165480237162973e-03 3.398586127435577753e-01 8.776496429016057699e-02 1.466444814310240152e-01 3.366567351827898791e-01
6.500000000000000000e+01 1.863801870983990971e-01 8.487989365328215199e-03 3.049108242817398159e-03 3.266905509148844144e-01 9.058655959737078878e-02 1.515004917133183082e-01 3.322856148633008821e-01
7.500000000000000000e+01 1.909634816737494356e-01 5.466269947550234619e-03 4.326974313598673863e-03 3.247149522835753865e-01 9.366977789448083236e-02 1.531499168010256318e-01 3.344141753791752270e-01
8.500000000000000000e+01 1.912582297917632679e-01 2.941376346119885243e-03 4.945422590204070178e-03 3.054125719926131244e-01 9.173445898130822007e-02 1.529578094961569767e-01 3.248143056402666984e-01
9.500000000000000000e+01 1.902538426385800840e-01 9.851116852095261577e-04 5.619312260144409057e-03 2.955816041598323674e-01 8.785940892834616378e-02 1.509572890380605215e-01 3.183963679182365003e-01
1.050000000000000000e+02 1.956326399355765855e-01 4.196614006647380116e-03 4.176796135294330407e-03 2.929859580923066531e-01 8.596344747054886215e-02 1.473208811120916284e-01 3.179697395699874196e-01
1.150000000000000000e+02 1.911442726302283179e-01 5.884444812917733088e-03 4.066525454583407896e-03 2.910241763373321300e-01 8.503834182743368053e-02 1.439810049660589786e-01 3.130747269668097132e-01
1.250000000000000000e+02 1.897286650330112512e-01 7.944879055558866712e-03 5.610567601617337877e-03 2.897433788461322157e-01 8.518338062407171396e-02 1.411384994211822841e-01 3.103052716501628616e-01
1.350000000000000000e+02 1.853589706710954688e-01 1.328081217440684261e-02 6.751188130385834055e-03 2.901455056895864137e-01 8.365069194407145914e-02 1.385311016661431860e-01 3.070177890134125342e-01
1.450000000000000000e+02 1.846965101208046245e-01 1.525457559590597326e-02 8.573566273761306505e-03 2.793680844589206957e-01 8.244386795051782124e-02 1.352120423309466635e-01 2.996383184553360057e-01
1.550000000000000000e+02 1.778274817223001458e-01 1.757058548579269741e-02 1.038976801032158795e-02 2.753794147856812868e-01 8.149684382587332743e-02 1.317392283271140996e-01 2.924730624175477800e-01
1.650000000000000000e+02 1.701880916465625115e-01 2.050514272012468261e-02 1.027677051039135696e-02 2.788522142317976793e-01 8.137405487130619508e-02 1.296677261662338154e-01 2.893540160222969893e-01
1.750000000000000000e+02 1.632607138429831573e-01 2.033929231848107672e-02 9.333268913593817384e-03 2.713885554432752256e-01 7.868945934576518364e-02 1.267956784140116255e-01 2.807224738501349903e-01
1.850000000000000000e+02 1.555409626687975222e-01 2.294314430404383737e-02 8.501056101500844078e-03 2.639994223150748942e-01 7.519172423366686508e-02 1.232247095361033440e-01 2.713825472599878941e-01
1.950000000000000000e+02 1.486187562021969444e-01 2.376915062396028205e-02 7.788925848293573768e-03 2.546274849827411813e-01 7.049523252072412149e-02 1.188181580357795808e-01 2.610321996103588393e-01
2.050000000000000000e+02 1.416780261250326078e-01 2.402848079267137088e-02 5.424321658898239099e-03 2.556481826489156450e-01 6.726415713840100397e-02 1.140026417888659604e-01 2.556644252814070928e-01
2.150000000000000000e+02 1.379752619455731355e-01 2.013895972394635220e-02 2.358304074078537010e-03 2.479790674292682850e-01 6.121654229011186388e-02 1.060762240711767557e-01 2.460152767230091020e-01
2.250000000000000000e+02 1.329654191987983403e-01 1.391905609151552169e-02 2.242510460067682920e-04 2.307295056749159579e-01 5.367301075083148743e-02 9.703786645895419449e-02 2.303663956663342394e-01
2.350000000000000000e+02 1.205937877882603537e-01 7.059309238144591443e-03 -1.680634936533348779e-03 2.040640740502221162e-01 4.189364052062418547e-02 8.921411740981263772e-02 2.069359896241475538e-01
