# z uu uv uw vv vw ww TKE
5.000000000000000000e+00 4.695603537917936859e-02 -2.092891029026232742e-03 6.797795605450661317e-04 3.347748177809821424e-02 1.431407456996590518e-03 3.694079741471791804e-03 4.206379844937468970e-02
1.500000000000000000e+01 4.653505452947507420e-02 4.915794844768004053e-03 4.566704257932072825e-03 5.858657430723673842e-02 1.226272802047055459e-02 2.041194784981950269e-02 6.276678834326565593e-02
2.500000000000000000e+01 4.667598410189309488e-02 8.250116978056366845e-03 7.043752929023807015e-03 6.982288773684483529e-02 2.141700816991009768e-02 3.257328874811100949e-02 7.453608029342446983e-02
3.500000000000000000e+01 4.886700515108676618e-02 1.127237436514882431e-02 8.440460391329469153e-03 7.711366873925519505e-02 2.500364456712391228e-02 3.774420601114103491e-02 8.186243995074149460e-02
4.500000000000000000e+01 5.157582757952737518e-02 1.282512263460979830e-02 9.998177653908186732e-03 7.546706657084020775e-02 2.420643212194426713e-02 3.854459895901563016e-02 8.279374655469159960e-02
5.500000000000000000e+01 5.470379736004368776e-02 1.432514487037776785e-02 1.057456678888171568e-02 7.352080204148389586e-02 2.184709679367760615e-02 3.665633882856365877e-02 8.244046911504562813e-02
6.500000000000000000e+01 5.673569065370062670e-02 1.497294806646038909e-02 1.050359319657584098e-02 7.037445696485887525e-02 1.888589865044549426e-02 3.341750969145385747e-02 8.026382865500666930e-02
7.500000000000000000e+01 5.812217164993147694e-02 1.586344994482328727e-02 1.043358609737637596e-02 6.734473367484720974e-02 1.583889105044408718e-02 2.974799906590178816e-02 7.760745219534023742e-02
8.500000000000000000e+01 5.897616599690253675e-02 1.724843772241882456e-02 1.067834725990327374e-02 6.447694643663039182e-02 1.322738843599949310e-02 2.632392893098872352e-02 7.488852068226083125e-02
9.500000000000000000e+01 5.893231682105571495e-02 1.820382792438333258e-02 9.769635163817730686e-03 6.022951107611806271e-02 1.015669774410710158e-02 2.342756436784835389e-02 7.129469613251106230e-02
1.050000000000000000e+02 5.556844739061570643e-02 1.672476349850753746e-02 7.457646148049741804e-03 5.267729251697026577e-02 6.942737183669864948e-03 2.122991275628756738e-02 6.473782633193676805e-02
1.150000000000000000e+02 5.162121568949108730e-02 1.338556524811814266e-02 5.487367884274072308e-03 4.378131001837585329e-02 4.471258937511581044e-03 1.967987848223368141e-02 5.754120209505031447e-02
1.250000000000000000e+02 4.766205125044029739e-02 9.894665332053067738e-03 3.805225495021139284e-03 3.652317057016326446e-02 2.561201169567515774e-03 1.841940237848918235e-02 5.130231209954637384e-02
1.350000000000000000e+02 4.657939547261987639e-02 6.674886308891828449e-03 3.792660717591993854e-03 3.027726850926742985e-02 1.490837890056952034e-03 1.737405930615830429e-02 4.711536164402280874e-02
1.450000000000000000e+02 4.553346850189526895e-02 4.455148610949313630e-03 5.041088809865988500e-03 2.654637341567500641e-02 1.209163301296514725e-03 1.658411551820215823e-02 4.433197871788621680e-02
1.550000000000000000e+02 4.254199342448395510e-02 2.386204463036543846e-03 4.138045024194459721e-03 2.315490154836658335e-02 8.733982015434282702e-04 1.575593951446865870e-02 4.072641724365960031e-02
1.650000000000000000e+02 3.449254168964158845e-02 1.247137326262293382e-03 1.540260558754822469e-03 2.000466536198056491e-02 5.118874421660747371e-04 1.476022906257246949e-02 3.462871805709731576e-02
1.750000000000000000e+02 2.733652280969027515e-02 3.103222963580233823e-04 7.909061563522999964e-04 1.747434685694717466e-02 4.471302959738259158e-04 1.351717006871458807e-02 2.916401986767602067e-02
1.850000000000000000e+02 2.226456907690429338e-02 -2.163525853122559702e-04 7.305904737373979801e-04 1.544010398106256468e-02 4.263198126090096316e-04 1.195527739875807717e-02 2.482997522836246848e-02
1.950000000000000000e+02 1.992690070023502708e-02 -1.616975792547122428e-03 9.363202050985276054e-04 1.491778934784247085e-02 4.034627108780058685e-04 1.025732810406435741e-02 2.255100907607092767e-02
2.050000000000000000e+02 2.309829779263946822e-02 -3.808032217567559278e-03 1.816132857866513102e-03 1.569841130919963010e-02 6.367753956285681694e-05 8.851046476785978320e-03 2.382387778931253919e-02
2.150000000000000000e+02 2.504464934911934323e-02 -5.165544602036622156e-03 2.309792452610005212e-03 1.608130750035838968e-02 -1.634769140810553322e-04 7.893708088873642101e-03 2.450983246917568664e-02
2.250000000000000000e+02 2.298226213676376334e-02 -4.904251641786436591e-03 1.852724315418279640e-03 1.475907471384202592e-02 -9.552200461422536793e-05 7.153636406441857276e-03 2.244748662852382240e-02
2.350000000000000000e+02 2.027269204179071860e-02 -4.547782194026224120e-03 1.455874829672555281e-03 1.368645644957526553e-02 -3.916395165351545558e-05 6.419285661807729547e-03 2.018921707658685727e-02
2.450000000000000000e+02 1.752242059615640585e-02 -4.244554576284396280e-03 1.086298335024630732e-03 1.215739223165980890e-02 4.171283216047354521e-06 5.622043834089423577e-03 1.765092833095282046e-02
2.550000000000000000e+02 1.560374861625680835e-02 -3.984012853741905613e-03 8.158357718692671760e-04 1.047013562911258341e-02 4.479213358507164828e-05 4.886542723144407865e-03 1.548021348425689808e-02
2.650000000000000000e+02 1.398593622679988185e-02 -3.429977473280687930e-03 6.334230838928139569e-04 9.159254893225379432e-03 1.067325354388838307e-04 4.280546122424880653e-03 1.371286862122507097e-02
2.750000000000000000e+02 1.237236866208275832e-02 -3.188230703268332255e-03 5.020393800664175966e-04 8.366361199520798431e-03 1.189439652994451839e-04 3.792489134538566935e-03 1.226560949807106206e-02
2.850000000000000000e+02 1.135550251954228936e-02 -3.136619974990968382e-03 3.827907153932358472e-04 7.870094056039857872e-03 1.286584138235680782e-04 3.431776570402666170e-03 1.132868657299240800e-02
2.950000000000000000e+02 1.040112210231931150e-02 -2.967646435936316992e-03 3.325010251292569315e-04 7.549367073588841154e-03 1.233591922674395953e-04 3.142850150641218667e-03 1.054666966327468501e-02
3.050000000000000000e+02 9.851651519617848213e-03 -2.993405017427792913e-03 2.878121839288929782e-04 7.339110069236015610e-03 1.120364205185481069e-04 2.919205999506403228e-03 1.005498379418013309e-02
3.150000000000000000e+02 9.713103523303179276e-03 -3.065935779426597584e-03 2.838600620996117852e-04 7.043106483980896525e-03 9.242252762539311434e-05 2.729564235481172184e-03 9.742887121382624860e-03
3.250000000000000000e+02 9.983332637562777889e-03 -2.991004768273636347e-03 2.701071659676868670e-04 6.699218174826774425e-03 9.336924761625048157e-05 2.579810779577666399e-03 9.631180795983608489e-03
3.350000000000000000e+02 1.011327202599302151e-02 -2.614950122712768766e-03 2.683536470462742369e-04 6.415315589504528952e-03 1.017371033942872100e-04 2.470315914212126412e-03 9.499451764854838220e-03
3.450000000000000000e+02 9.476721851228825724e-03 -2.388774028942302740e-03 2.520341209656979547e-04 6.357780007552158927e-03 9.692383800433933543e-05 2.382403847948869492e-03 9.108452853364926854e-03
3.550000000000000000e+02 8.799737293319081013e-03 -2.432236521367760976e-03 2.064457589402134694e-04 6.483629860804432377e-03 9.137223538714820076e-05 2.311453756737142772e-03 8.797410455430327431e-03
3.650000000000000000e+02 8.504641507148009635e-03 -2.784183337292978674e-03 2.155262723077616357e-04 6.756084199060770346e-03 7.392623011851379980e-05 2.221656496328728789e-03 8.741191101268754385e-03
3.750000000000000000e+02 8.579310839951405018e-03 -2.683627298895717266e-03 2.057189847426246809e-04 6.274884070537590196e-03 6.198140038596146122e-05 2.166208385368338131e-03 8.510201647928665805e-03
3.850000000000000000e+02 8.958823511380074878e-03 -2.792176821558308743e-03 2.055114060699995298e-04 6.294129060349071964e-03 4.889641030920727232e-05 2.125349726351826243e-03 8.689151149040487410e-03
3.950000000000000000e+02 9.106001761345381557e-03 -2.906276767566302356e-03 2.157853050634194261e-04 6.562629409833272733e-03 2.117923300018473691e-05 2.088458395426165837e-03 8.878544783302409413e-03
4.050000000000000000e+02 9.247087186367304590e-03 -2.995126669685452790e-03 2.074006698950625442e-04 6.597357542678559082e-03 3.954869401363539230e-06 2.043992418978607135e-03 8.944218574012235620e-03
4.150000000000000000e+02 8.234335020387652249e-03 -2.951762157370137023e-03 1.784507981553519517e-04 6.748734302489064335e-03 3.664272946491884780e-05 1.991068424159952738e-03 8.487068873518334444e-03
