# z uT vT wT
5.000000000000000000e+00 1.832776106435279797e-03 -7.436764893779609573e-03 3.967210102910127129e-03
1.500000000000000000e+01 3.509188491772769532e-03 -3.875676045770352126e-03 1.363744531817716321e-02
2.500000000000000000e+01 3.559024419870971366e-03 -4.524330050366652816e-04 2.017177968348609490e-02
3.500000000000000000e+01 3.686937848327340173e-03 2.309871632066349580e-03 2.347329179112915901e-02
4.500000000000000000e+01 2.770804205526958709e-03 2.493326946536544592e-03 2.498069902567568584e-02
5.500000000000000000e+01 1.880156392490209185e-03 2.648538534180359429e-03 2.604102396484876333e-02
6.500000000000000000e+01 3.797446949250832997e-04 2.171052488893794076e-03 2.751856911434526903e-02
7.500000000000000000e+01 -9.299559720283286730e-05 1.722629856020688622e-03 2.874502098626802865e-02
8.500000000000000000e+01 -3.381518902145890242e-04 1.563398347598015607e-03 2.964938284782322325e-02
9.500000000000000000e+01 1.094979737843751829e-04 1.205516392231335745e-03 2.976695230214622748e-02
1.050000000000000000e+02 9.443091783139388653e-04 3.892293929093896447e-04 2.869682191035339766e-02
1.150000000000000000e+02 2.155124008697841508e-03 -2.793626262771365006e-04 2.869391388968047657e-02
1.250000000000000000e+02 3.455855557964912419e-03 -2.976308903019270246e-04 3.066446043731473406e-02
1.350000000000000000e+02 3.238480198285734798e-03 -1.048592741547141284e-04 3.122996088337441287e-02
1.450000000000000000e+02 2.970894751473590351e-03 4.025238568465042935e-04 3.025960311697284411e-02
1.550000000000000000e+02 3.455053052347842237e-03 6.052324946998454682e-04 2.971000910280939197e-02
1.650000000000000000e+02 4.024308611853313553e-03 1.055395073783237537e-03 3.000196428897373632e-02
1.750000000000000000e+02 4.396999915456446285e-03 1.006479537026900824e-03 3.117452126217377245e-02
1.850000000000000000e+02 4.635189943674765563e-03 6.295400629734291447e-04 3.354899302952900342e-02
1.950000000000000000e+02 4.316088242150020564e-03 6.418781041454849024e-04 3.413364327446767599e-02
2.050000000000000000e+02 4.096005162881489331e-03 8.303337925159774788e-04 3.226708474345817146e-02
2.150000000000000000e+02 4.464703244451537559e-03 1.421632894338942894e-03 3.079643076766521229e-02
2.250000000000000000e+02 4.451721412815692717e-03 1.715652465666392401e-03 3.048864144019015204e-02
2.350000000000000000e+02 4.166868330757453331e-03 1.426410833666270266e-03 3.046318691287626043e-02
2.450000000000000000e+02 4.422033379511202539e-03 2.016543872917524703e-03 3.049417635047579900e-02
2.550000000000000000e+02 5.098712022360330637e-03 2.602461419626769887e-03 3.129047970166956572e-02
2.650000000000000000e+02 5.443085212553711895e-03 2.982826498921544757e-03 3.326181154676441376e-02
2.750000000000000000e+02 6.119378587911072226e-03 3.391219887199221211e-03 3.386014852682500686e-02
2.850000000000000000e+02 6.167733784119363953e-03 4.305841322844365313e-03 3.208015904513487893e-02
2.950000000000000000e+02 6.718291577710285359e-03 5.266589197941479519e-03 3.040526902273441717e-02
3.050000000000000000e+02 8.474337511753939761e-03 6.079025393732733970e-03 2.871547657308342466e-02
3.150000000000000000e+02 9.841963401727195360e-03 6.685479454871749889e-03 2.710144261894315704e-02
3.250000000000000000e+02 1.084345767336106041e-02 6.920083468124907378e-03 2.576738067573850974e-02
3.350000000000000000e+02 1.203608488745308916e-02 7.529073777863254553e-03 2.430654294134321214e-02
3.450000000000000000e+02 1.297373388814509164e-02 8.288496476239502059e-03 2.231801092940356029e-02
3.550000000000000000e+02 1.304845477981087833e-02 8.705681430782624686e-03 1.950106366613954187e-02
3.650000000000000000e+02 1.247971822786721717e-02 9.051808551942840120e-03 1.673831893285640526e-02
3.750000000000000000e+02 1.230462284543967603e-02 8.838422849264386538e-03 1.404794164440425000e-02
3.850000000000000000e+02 1.134840048624073845e-02 8.455964294495684624e-03 1.177131505361183814e-02
3.950000000000000000e+02 1.002376986447510963e-02 8.392693349931892172e-03 8.773927436566289137e-03
4.050000000000000000e+02 7.374371214881636147e-03 8.561790007455615664e-03 4.513439368711994262e-03
4.150000000000000000e+02 2.772153823638970685e-03 7.480297565149822241e-03 6.767636296339714103e-04
4.250000000000000000e+02 -2.044085129379604859e-03 6.371071020737531336e-03 -1.356731460753483887e-03
4.350000000000000000e+02 -8.928385739887184994e-03 5.786451068812396500e-03 -2.885318893328824540e-03
4.450000000000000000e+02 -1.676549012701229399e-02 5.726141384902403049e-03 -5.807028077220766776e-03
4.550000000000000000e+02 -2.804212840384075894e-02 8.871974365072209795e-03 -1.106485750520195231e-02
4.650000000000000000e+02 -3.920212416155272050e-02 1.388271404852321755e-02 -1.293334164384667487e-02
4.750000000000000000e+02 -5.208225611382434617e-02 2.327615822779346630e-02 -1.262783978053790002e-02
4.850000000000000000e+02 -6.609961789759070949e-02 3.499910380759520268e-02 -1.212649196306241073e-02
4.950000000000000000e+02 -8.571590901165801468e-02 4.908988580709781890e-02 -1.587713563782887707e-02
5.050000000000000000e+02 -1.123478791089435741e-01 7.202810214416946466e-02 -2.414781770820383436e-02
5.150000000000000000e+02 -1.315114823868683280e-01 9.286314731152066348e-02 -2.630290641418167596e-02
5.250000000000000000e+02 -1.399167664184884641e-01 1.047606539851676510e-01 -2.361226874496933151e-02
5.350000000000000000e+02 -1.276211929689732294e-01 1.191446321096920613e-01 -1.903579771985105390e-02
5.450000000000000000e+02 -1.187350269115331897e-01 1.282852643743734311e-01 -1.248094250841452063e-02
5.550000000000000000e+02 -1.082082464286736878e-01 1.319723950580668770e-01 -9.554925828956910630e-03
5.650000000000000000e+02 -8.944984075420694958e-02 1.229076912676854427e-01 -5.064272320403746808e-03
5.750000000000000000e+02 -6.944868983547239361e-02 1.121128556938657955e-01 -1.569347946950877971e-03
5.850000000000000000e+02 -4.521201830656457199e-02 8.933376346185875616e-02 -2.057850215097241191e-03
5.950000000000000000e+02 -2.699123085519267162e-02 7.204934632531208305e-02 -1.628050718641643399e-03
6.050000000000000000e+02 -8.005631051177620333e-03 6.743080729490336100e-02 -2.309348097946857786e-03
6.150000000000000000e+02 3.669846838949833261e-03 6.607528194634240681e-02 -1.289468378286544445e-03
6.250000000000000000e+02 6.883488838540984152e-03 5.277085523328485517e-02 -3.933564119546249056e-04
6.350000000000000000e+02 4.204686465428985297e-03 4.339136008496423391e-02 -1.490367326548837704e-03
6.450000000000000000e+02 4.597795423055888939e-03 4.109828637933078677e-02 -1.024836026587675093e-03
6.550000000000000000e+02 9.193533219836503428e-03 3.070288905655266937e-02 -5.863783848579535052e-05
6.650000000000000000e+02 1.065596273301787009e-02 2.219513809390789849e-02 -2.415595365932064688e-04
6.750000000000000000e+02 1.089810083359890776e-02 1.955759549075241494e-02 -2.604591393607423415e-04
6.850000000000000000e+02 1.093128544060366011e-02 1.673185717329998129e-02 -6.826093243089456208e-04
6.950000000000000000e+02 8.982079080792258752e-03 1.265197196462912975e-02 -1.073375936097977889e-03
7.050000000000000000e+02 8.918235495719285116e-03 9.594815661545276486e-03 -1.177475513148524850e-03
7.150000000000000000e+02 5.066606647783308305e-03 6.625318127566125030e-03 -1.011249228573286689e-03
7.250000000000000000e+02 3.829580184389407786e-03 7.306654421095205680e-03 -9.046139358249514605e-04
7.350000000000000000e+02 3.804924719358984599e-03 7.861607116421536964e-03 -4.963719016251911826e-04
7.450000000000000000e+02 1.317565622349369013e-03 5.319870677904724524e-03 -8.653902427220415286e-04
7.550000000000000000e+02 -1.445392118855907092e-03 6.213510942943760613e-03 -2.760117004114342413e-03
7.650000000000000000e+02 -1.836647748640113723e-03 6.350599226221229424e-03 -2.819564431565613205e-03
7.750000000000000000e+02 -4.841958925234445855e-03 8.065908591647272946e-03 -1.898793954736760752e-03
7.850000000000000000e+02 -4.820307728126675510e-03 8.267674841399143965e-03 -2.129678685725699613e-03
7.950000000000000000e+02 -5.764109239892955226e-03 8.528668565958835018e-03 -1.880403313751792451e-03
8.050000000000000000e+02 -6.756846570362523216e-03 8.785593322409017414e-03 -8.682818033370835308e-04
8.150000000000000000e+02 -9.948062239881271668e-03 6.360140709210761537e-03 -9.326913332237798731e-04
8.250000000000000000e+02 -1.230459627790426481e-02 7.569682388194122133e-03 -1.016944180616386958e-03
8.350000000000000000e+02 -1.246246161234014493e-02 8.645442581498921641e-03 -8.833820875215326034e-04
8.450000000000000000e+02 -1.087248670985018276e-02 8.221153734738475063e-03 -5.334766897487982920e-04
8.550000000000000000e+02 -1.010976426596163838e-02 8.790295240359870949e-03 2.390241732607560575e-05
8.650000000000000000e+02 -1.237218246959878760e-02 1.082567427155050818e-02 1.248145168631706184e-04
8.750000000000000000e+02 -1.113460044612937447e-02 1.362577806324229146e-02 2.473432889498479014e-04
8.850000000000000000e+02 -7.983644234980245141e-03 1.474842240137960725e-02 -6.938683336145645133e-05
8.950000000000000000e+02 -5.322116540923349515e-03 1.069440408804817576e-02 -4.974159226891936795e-04
9.050000000000000000e+02 -4.134225317728819002e-03 7.766736108578873102e-03 5.099549939913702954e-04
9.150000000000000000e+02 -2.948166418638120592e-03 7.907898068125925051e-03 4.991253347573382801e-04
9.250000000000000000e+02 -3.184933093099666900e-03 6.975193672630034328e-03 -4.814441971278220211e-04
9.350000000000000000e+02 -3.906246688226011708e-03 7.156369008120451458e-03 -9.698653459117613507e-04
9.450000000000000000e+02 -3.660942421565860274e-03 6.850463322076593038e-03 -8.315558110252041241e-04
9.550000000000000000e+02 -2.387456103526625680e-03 6.490148290179438909e-03 -7.413887526304909674e-04
9.650000000000000000e+02 -2.062888456793923134e-03 6.104161863156456341e-03 -7.214193275759031966e-04
9.750000000000000000e+02 -2.386740287162665650e-03 6.669503824302222203e-03 -7.610726956905855501e-04
9.850000000000000000e+02 -1.944732710655063023e-03 7.919137005305743396e-03 -5.948567565661622017e-04
9.950000000000000000e+02 -3.314757688115189168e-04 7.757603701974374530e-03 -3.734252340625651570e-04
1.005000000000000000e+03 3.839450253969754409e-04 6.120743784651759903e-03 -5.197025619401117718e-04
