# z uT vT wT
5.000000000000000000e+00 4.617556088832764938e-05 2.089120346985085197e-05 7.345747745136464594e-04
1.500000000000000000e+01 6.167229692852330180e-04 2.298722805594348179e-03 2.570981878710336226e-03
2.500000000000000000e+01 5.236422757994107060e-04 2.750935532791260688e-03 2.878564416208524799e-03
3.500000000000000000e+01 2.050176147482916250e-04 2.039044186677097664e-03 2.026310960567689109e-03
4.500000000000000000e+01 -6.628505027775467666e-05 1.197340844035392222e-03 1.306256973107301766e-03
5.500000000000000000e+01 -4.398823074166479654e-04 2.749728256649911396e-04 4.676188365186822798e-04
6.500000000000000000e+01 -9.376527877500636125e-04 -5.982093503596719840e-04 -2.330953923107906007e-04
7.500000000000000000e+01 -1.618576277432881832e-03 -1.478776366714456766e-03 -8.587157262622175952e-04
8.500000000000000000e+01 -2.549421493539817153e-03 -2.387396485916223020e-03 -1.310153267565093661e-03
9.500000000000000000e+01 -3.671865833896856366e-03 -3.136482256443169116e-03 -1.616568759997584264e-03
1.050000000000000000e+02 -4.728807010195633202e-03 -3.550972114239432913e-03 -1.816437360000386228e-03
1.150000000000000000e+02 -5.683638541456266513e-03 -3.293059021153070271e-03 -1.701996845095613388e-03
1.250000000000000000e+02 -6.234824553178286953e-03 -2.586843619620675643e-03 -1.475026339719454765e-03
1.350000000000000000e+02 -6.692349872333175527e-03 -1.549868940577552728e-03 -1.186894968450270252e-03
1.450000000000000000e+02 -6.855563436509255239e-03 -8.824626634452971624e-04 -6.625297140278143312e-04
1.550000000000000000e+02 -7.083565143355205311e-03 -3.102485083984006910e-04 -7.236913873329081995e-04
1.650000000000000000e+02 -6.647946781161322323e-03 4.762234444989790305e-04 -9.427519142586491749e-04
1.750000000000000000e+02 -4.909074141371758300e-03 1.138323947825270422e-03 -4.374269764162777834e-04
1.850000000000000000e+02 -2.908526857105655800e-03 1.494077766454915499e-03 -1.108651452008138459e-04
1.950000000000000000e+02 -3.460426016472911964e-03 2.262479525563977287e-03 -1.940898481499833965e-04
2.050000000000000000e+02 -6.067983272079414438e-03 2.923172162527693917e-03 -4.164587172571764797e-04
2.150000000000000000e+02 -6.800467117449068843e-03 3.120512537726560960e-03 -6.460512788990066708e-04
2.250000000000000000e+02 -6.484719575194631408e-03 3.055660656754483236e-03 -6.091305490787995080e-04
2.350000000000000000e+02 -5.958848156222125610e-03 3.000177273703311023e-03 -4.580156108848973937e-04
2.450000000000000000e+02 -5.381552281784614256e-03 3.021732336891957971e-03 -3.537453712581801048e-04
2.550000000000000000e+02 -4.979821714733429286e-03 2.807518849327624022e-03 -2.767059317982243825e-04
2.650000000000000000e+02 -4.482376620423220333e-03 2.430862384740396006e-03 -1.985097616788598018e-04
