# z u v w uhoriz
5.000000000000000000e+00 6.623921857064659635e-01 -7.512632633973670870e+00 -2.869986002795566129e-08 7.541777807700991154e+00
1.500000000000000000e+01 6.484554714195921443e-01 -7.634838253888314163e+00 -4.540584170250855482e-08 7.662326648052167677e+00
2.500000000000000000e+01 6.242441803314757731e-01 -7.811055491515392468e+00 -5.479738897396809592e-08 7.835959972346111968e+00
3.500000000000000000e+01 6.048415678232981207e-01 -7.942059007055332742e+00 -5.902311607849575663e-08 7.965057099212514480e+00
4.500000000000000000e+01 5.766972172220390380e-01 -8.049116805043224687e+00 -6.026915853870674659e-08 8.069749749625504620e+00
5.500000000000000000e+01 5.399557115615533087e-01 -8.131806038636536726e+00 -5.950683920335290691e-08 8.149712977795818603e+00
6.500000000000000000e+01 5.006306265674149714e-01 -8.197068136723563825e+00 -5.787059407683800367e-08 8.212341752651676430e+00
7.500000000000000000e+01 4.588105422156791846e-01 -8.244796640557879641e+00 -5.579618225075050908e-08 8.257552831063373233e+00
8.500000000000000000e+01 4.111032752406470481e-01 -8.284999970755299259e+00 -5.402795483667937007e-08 8.295193211633403507e+00
9.500000000000000000e+01 3.573526149967423682e-01 -8.317684752692374062e+00 -5.230658549600501379e-08 8.325357682202982446e+00
1.050000000000000000e+02 2.432517778232320960e-01 -8.345635092126583388e+00 -5.055583235338725981e-08 8.349179391913246207e+00
1.150000000000000000e+02 6.871521078580164477e-02 -8.368822358349710555e+00 -4.856438285544544685e-08 8.369104459009180985e+00
1.250000000000000000e+02 -1.410368954369706773e-01 -8.384128418308769426e+00 -4.686772311055415223e-08 8.385314588050182039e+00
1.350000000000000000e+02 -3.858753042272364264e-01 -8.391418645453741831e+00 -4.677984091735261796e-08 8.400286104275329180e+00
1.450000000000000000e+02 -5.929195408762616415e-01 -8.383229897617717086e+00 -4.431642114054417647e-08 8.404171410571327883e+00
1.550000000000000000e+02 -7.620130137743209575e-01 -8.359479461466614580e+00 -4.123780171702280764e-08 8.394138472758450931e+00
1.650000000000000000e+02 -9.764730811633256513e-01 -8.315083977309031482e+00 -3.542239057645249060e-08 8.372223195062227674e+00
1.750000000000000000e+02 -1.236326138620558179e+00 -8.250077765204327562e+00 -3.425030161170451550e-08 8.342199077758527537e+00
1.850000000000000000e+02 -1.505138093064161575e+00 -8.174149347577198910e+00 -3.286128421664194104e-08 8.311567736335279122e+00
1.950000000000000000e+02 -1.782924176153689810e+00 -8.087356659274098192e+00 -3.195391546869415923e-08 8.281555189227347569e+00
2.050000000000000000e+02 -2.023997426795158816e+00 -8.001107037150529067e+00 -3.136841733493174037e-08 8.253137549054489597e+00
2.150000000000000000e+02 -2.228211398893953810e+00 -7.915435514086683888e+00 -3.085093758751768184e-08 8.223080044352339968e+00
2.250000000000000000e+02 -2.434432975700762114e+00 -7.825443775337542540e+00 -3.051541476609489784e-08 8.195366629635818967e+00
2.350000000000000000e+02 -2.642672038607085661e+00 -7.731191290228875523e+00 -3.017885869914114969e-08 8.170375405680363912e+00
2.450000000000000000e+02 -2.861055334033267616e+00 -7.625642802930505226e+00 -3.017936268860064045e-08 8.144695561056044752e+00
2.550000000000000000e+02 -3.089592788069453366e+00 -7.508838920232230763e+00 -3.000012441264454481e-08 8.119621021087443324e+00
2.650000000000000000e+02 -3.317078301217014857e+00 -7.389113682795722227e+00 -2.948372575132190305e-08 8.099506742616103594e+00
2.750000000000000000e+02 -3.543481721191478417e+00 -7.266512435642188628e+00 -2.838773029941642495e-08 8.084458280290689913e+00
2.850000000000000000e+02 -3.759940420109983084e+00 -7.140311825569789050e+00 -2.720764960484754506e-08 8.069771058038053724e+00
2.950000000000000000e+02 -3.966404777786380897e+00 -7.010421890914249943e+00 -2.723120695565569499e-08 8.054711785647972633e+00
3.050000000000000000e+02 -4.170398883621336594e+00 -6.878174214932826658e+00 -2.485742434631697926e-08 8.043724720518282467e+00
3.150000000000000000e+02 -4.371928001936002062e+00 -6.743559133879519329e+00 -2.189484648554187639e-08 8.036749607039030963e+00
3.250000000000000000e+02 -4.573382460671135519e+00 -6.608938610602583807e+00 -1.631673762583321336e-08 8.037032828742706414e+00
3.350000000000000000e+02 -4.774878174655147411e+00 -6.474313616944759708e+00 -1.510722332994292001e-08 8.044637865892683593e+00
3.450000000000000000e+02 -4.976387345281409580e+00 -6.339689794601089723e+00 -1.386169141813039899e-08 8.059534583463623392e+00
3.550000000000000000e+02 -5.172657135836471909e+00 -6.200461004723168301e+00 -1.323295208035046986e-08 8.074781638905946579e+00
3.650000000000000000e+02 -5.363759690730300456e+00 -6.056644064637533909e+00 -1.295616796055751968e-08 8.090293897357021535e+00
3.750000000000000000e+02 -5.554815518997578749e+00 -5.912840551494546126e+00 -1.290836191327547796e-08 8.112808320026713815e+00
3.850000000000000000e+02 -5.745879744131945799e+00 -5.769034004588368347e+00 -1.302483246874396515e-08 8.142290057479081966e+00
3.950000000000000000e+02 -5.936976955463348915e+00 -5.625219400093103062e+00 -1.323351048188308267e-08 8.178678907310560575e+00
4.050000000000000000e+02 -6.124070458114191595e+00 -5.478728490305821097e+00 -1.358544967577598430e-08 8.217098322792278253e+00
4.150000000000000000e+02 -6.307159568151915252e+00 -5.329615479891080199e+00 -1.391720175108107421e-08 8.257424718495766314e+00
