# z u v w uhoriz
5.000000000000000000e+00 6.033988921090330804e-01 -6.412731670492994418e+00 -3.252458850042387838e-08 6.441057188128535671e+00
1.500000000000000000e+01 5.842151226614472614e-01 -6.470588923820884020e+00 -5.162387979746032156e-08 6.496909136706456422e+00
2.500000000000000000e+01 5.548139701310130789e-01 -6.567981932236060416e+00 -6.264309679043904109e-08 6.591373544537729501e+00
3.500000000000000000e+01 5.348173504218004526e-01 -6.664021121413439275e+00 -6.797234806087313436e-08 6.685447412474099238e+00
4.500000000000000000e+01 5.108061358295807874e-01 -6.744097213816330871e+00 -6.996796194416892447e-08 6.763414088890783660e+00
5.500000000000000000e+01 4.828301148246424424e-01 -6.808078752090047203e+00 -6.970336704759116162e-08 6.825178474914890714e+00
6.500000000000000000e+01 4.469216378691290847e-01 -6.873846301090009270e+00 -6.835659842147543407e-08 6.888359886170613677e+00
7.500000000000000000e+01 4.030470805827767178e-01 -6.941422367182623177e+00 -6.643965320209972187e-08 6.953113793746619642e+00
8.500000000000000000e+01 3.384963473251005328e-01 -7.021764524708977717e+00 -6.463781621891493109e-08 7.029918692105473710e+00
9.500000000000000000e+01 2.533200432377710754e-01 -7.114778421109388518e+00 -6.285426715000313320e-08 7.119286693608411376e+00
1.050000000000000000e+02 1.549944876864939314e-01 -7.210430983151179696e+00 -6.109225998886055610e-08 7.212096661443167633e+00
1.150000000000000000e+02 4.363290090635869173e-02 -7.308727989929396429e+00 -5.921608145342157568e-08 7.308858232365634144e+00
1.250000000000000000e+02 -7.199249017473453860e-02 -7.400453270235412440e+00 -5.766673882384234852e-08 7.400803437707257793e+00
1.350000000000000000e+02 -1.919572219872802132e-01 -7.485644197603111394e+00 -5.746721249857021261e-08 7.488105009158338987e+00
1.450000000000000000e+02 -3.181468719815182533e-01 -7.565410288635210811e+00 -5.540964904500029471e-08 7.572096821062124228e+00
1.550000000000000000e+02 -4.504806187804565876e-01 -7.639747992842724322e+00 -5.289261900032295467e-08 7.653017848015334579e+00
1.650000000000000000e+02 -5.497293714861805070e-01 -7.691979950744390671e+00 -4.806220043463288248e-08 7.711598922696140335e+00
1.750000000000000000e+02 -6.157758330148592751e-01 -7.722066983513667715e+00 -4.694723263149054239e-08 7.746579785582603961e+00
1.850000000000000000e+02 -6.802229229609682015e-01 -7.746801717686147448e+00 -4.558853242155872423e-08 7.776608520304118422e+00
1.950000000000000000e+02 -7.432142251419010526e-01 -7.766258831453916045e+00 -4.454103696694391404e-08 7.801739781714666755e+00
2.050000000000000000e+02 -8.666471932491928154e-01 -7.793402469738216709e+00 -4.373105728675130922e-08 7.841441156629847420e+00
2.150000000000000000e+02 -1.050602083105557583e+00 -7.828256995004498897e+00 -4.295316719631305872e-08 7.898441132075531002e+00
2.250000000000000000e+02 -1.236774020038039712e+00 -7.859285808468587931e+00 -4.234669405693706868e-08 7.956002978621664390e+00
2.350000000000000000e+02 -1.425077156433079528e+00 -7.886475704042717361e+00 -4.176418254795869071e-08 8.014196399655018510e+00
2.450000000000000000e+02 -1.620535010381966678e+00 -7.901899634110866266e+00 -4.152447340901220936e-08 8.066359249837260492e+00
2.550000000000000000e+02 -1.823148658134047917e+00 -7.905541855853719824e+00 -4.115086057215827279e-08 8.113042774712274863e+00
2.650000000000000000e+02 -2.026112885796062635e+00 -7.907100670347519511e+00 -4.049140181134664899e-08 8.162559306798270242e+00
2.750000000000000000e+02 -2.229384172816883503e+00 -7.906605449448269596e+00 -3.931372134396062882e-08 8.214898874803724382e+00
2.850000000000000000e+02 -2.438195986844152507e+00 -7.889969904458886241e+00 -3.809265212381292740e-08 8.258112663528507369e+00
2.950000000000000000e+02 -2.652541315352626938e+00 -7.857187535836156478e+00 -3.805806607300205428e-08 8.292850619838253223e+00
3.050000000000000000e+02 -2.868069076840088716e+00 -7.816163801325058280e+00 -3.570748305320466909e-08 8.325757430929064284e+00
3.150000000000000000e+02 -3.084787592983808224e+00 -7.766916812566502237e+00 -3.280144363632132152e-08 8.357087487106680257e+00
3.250000000000000000e+02 -3.301501081948986727e+00 -7.717671265582869644e+00 -2.731571983889936729e-08 8.394186033065613728e+00
3.350000000000000000e+02 -3.518208877859453132e+00 -7.668419599511166140e+00 -2.605539783701470630e-08 8.436969412201046126e+00
3.450000000000000000e+02 -3.734927976196484867e+00 -7.619168482618172256e+00 -2.473770278853568777e-08 8.485364774356920492e+00
3.550000000000000000e+02 -3.953673327848481467e+00 -7.555052380054155137e+00 -2.398562965080989824e-08 8.527036369612975619e+00
3.650000000000000000e+02 -4.174453556509748253e+00 -7.476067862117935725e+00 -2.357372327823658626e-08 8.562572812796952704e+00
3.750000000000000000e+02 -4.395231223254547182e+00 -7.397083297295933946e+00 -2.337809987605111589e-08 8.604353480245110930e+00
3.850000000000000000e+02 -4.616006033637157557e+00 -7.318104452485625799e+00 -2.337183155861606299e-08 8.652292440738731827e+00
3.950000000000000000e+02 -4.836784407562054078e+00 -7.239118753798138073e+00 -2.347201346594141004e-08 8.706280706296306349e+00
4.050000000000000000e+02 -5.058174140147522202e+00 -7.149243951936695041e+00 -2.378889697808346823e-08 8.757671763451774893e+00
4.150000000000000000e+02 -5.280170463233594624e+00 -7.048493487444567940e+00 -2.408098645902840393e-08 8.806898464462557641e+00
4.250000000000000000e+02 -5.502168308839565647e+00 -6.947736216593575875e+00 -2.424606066839090624e-08 8.862555761977718660e+00
4.350000000000000000e+02 -5.724170092122052189e+00 -6.846984711139379343e+00 -2.415558420544888471e-08 8.924534883013288677e+00
4.450000000000000000e+02 -5.946167721905415426e+00 -6.746231468433409262e+00 -2.401158382300253284e-08 8.992694234917088636e+00
4.550000000000000000e+02 -6.164557618209394185e+00 -6.635135543628586596e+00 -2.430426269899753963e-08 9.056864485601344938e+00
4.650000000000000000e+02 -6.379344923644524101e+00 -6.513705088776177377e+00 -2.373012494209089010e-08 9.117258120640098440e+00
4.750000000000000000e+02 -6.594132670485870484e+00 -6.392269399510498218e+00 -2.286171797253067117e-08 9.183882281033845629e+00
4.850000000000000000e+02 -6.808919291609961455e+00 -6.270839505925971835e+00 -2.130447584614875331e-08 9.256608991890074023e+00
4.950000000000000000e+02 -7.023703868352036750e+00 -6.149405721084055365e+00 -2.116146631075292257e-08 9.335288252261131348e+00
5.050000000000000000e+02 -7.231761113916095773e+00 -6.023620954251263093e+00 -2.087599186116361897e-08 9.411821195137733298e+00
5.150000000000000000e+02 -7.433087260222406734e+00 -5.893486026178454296e+00 -2.061581091990000517e-08 9.485987758733475772e+00
