# z uu uv uw vv vw ww TKE
5.000000000000000000e+00 6.337492936073869654e-01 -6.882430780704792625e-03 7.942538560288257051e-04 4.636138581742050846e-01 1.362029091514536244e-03 1.134734466012559881e-02 5.543552482208587984e-01
1.500000000000000000e+01 5.461565242053036950e-01 -9.240387215963987225e-03 6.399006428628036328e-03 5.162365832173025915e-01 9.748031037394641954e-03 7.139384771506379623e-02 5.668934775688350136e-01
2.500000000000000000e+01 4.752182874322592454e-01 -9.451371374310381379e-03 1.340242357499913696e-02 5.054192404820312401e-01 2.224485154746481258e-02 1.314452796533289447e-01 5.560414037838097290e-01
3.500000000000000000e+01 4.334770513040570039e-01 -6.963644662386652209e-03 2.059550996418433449e-02 5.132425742528834434e-01 3.222380366199938118e-02 1.800190805391109761e-01 5.633693530480257117e-01
4.500000000000000000e+01 4.033695084283948629e-01 -6.501513819861674858e-04 3.036682905140264399e-02 5.005519561133036088e-01 3.326316914206166320e-02 2.210732737929056724e-01 5.624973691673020859e-01
5.500000000000000000e+01 3.745015663371779047e-01 6.397847725027390464e-03 3.914505279366599366e-02 4.742768283869283619e-01 3.012905514407306432e-02 2.585826791453448292e-01 5.536805369347255201e-01
6.500000000000000000e+01 3.543249786149275105e-01 1.211898706971538224e-02 4.483912053727907854e-02 4.424121218802977151e-01 2.578379562921308613e-02 2.922050211334997760e-01 5.444710608143625841e-01
7.500000000000000000e+01 3.492028989271002692e-01 1.631095114582742020e-02 4.964970552963801631e-02 4.077347193195225428e-01 2.350182719205456267e-02 3.219179148807581603e-01 5.394277665636904029e-01
8.500000000000000000e+01 3.525136825647646188e-01 1.632583971519641769e-02 5.523328122711411436e-02 3.708808312938545737e-01 2.475828657499874047e-02 3.498029761377513536e-01 5.365987449981852730e-01
9.500000000000000000e+01 3.547748990077221887e-01 1.544465395687731266e-02 6.043706373792173681e-02 3.450574043535343804e-01 2.831604708382183186e-02 3.764930999541872270e-01 5.381627016577219536e-01
1.050000000000000000e+02 3.524122987995207401e-01 1.768380461584360963e-02 6.275952982443559758e-02 3.265511969764399725e-01 3.304289575574791138e-02 4.002715089318117370e-01 5.396175023538862803e-01
1.150000000000000000e+02 3.460148966902376610e-01 1.945148370103589805e-02 6.111328975442947842e-02 3.205927002075474874e-01 3.563134401179725297e-02 4.198570864808854886e-01 5.432323416893353185e-01
1.250000000000000000e+02 3.428726322731493470e-01 2.273264830312052981e-02 5.834157992971041734e-02 3.238111336479992941e-01 3.457631557587094451e-02 4.363242935509782372e-01 5.515040297360633836e-01
1.350000000000000000e+02 3.465949990652109625e-01 3.251287260097192322e-02 5.950169120261782074e-02 3.270922903266607618e-01 3.309571735807910475e-02 4.509713195706728794e-01 5.623293044812722741e-01
1.450000000000000000e+02 3.469338651105902116e-01 3.961878998293234810e-02 6.298506150747669452e-02 3.309580447752498711e-01 3.205582104191966042e-02 4.639293079744624682e-01 5.709106089301512199e-01
1.550000000000000000e+02 3.436866381742370580e-01 3.951979470051586452e-02 6.538926316519835802e-02 3.345989685363975341e-01 2.974938138665913015e-02 4.755366243148085315e-01 5.769111155127215618e-01
1.650000000000000000e+02 3.355897146254802066e-01 3.368884924256916602e-02 6.622520524156405575e-02 3.350223763531438026e-01 2.571751319060392588e-02 4.866517130210593622e-01 5.786319019998416024e-01
1.750000000000000000e+02 3.216710095715501483e-01 2.897260212712849531e-02 6.583300879289749608e-02 3.396066126006412889e-01 2.231086108330045809e-02 4.966876020998093333e-01 5.789826121360004407e-01
1.850000000000000000e+02 3.068732247862942519e-01 2.532185273625272084e-02 6.345925196070492658e-02 3.525395196858270297e-01 2.058506985839148734e-02 5.045358967832693775e-01 5.819743206276952741e-01
1.950000000000000000e+02 3.025079200259447321e-01 2.280944019635349276e-02 6.403176730250462190e-02 3.665042672174309568e-01 2.141713901423123595e-02 5.103701662808290962e-01 5.896911767621023648e-01
2.050000000000000000e+02 3.111325079400366622e-01 2.039947563748511009e-02 6.890560229076210519e-02 3.741211158745362253e-01 2.557408317107922116e-02 5.145453667165758027e-01 5.998994952655742896e-01
2.150000000000000000e+02 3.196791902089055615e-01 1.951647139888994936e-02 7.670746926666122123e-02 3.797552913317008283e-01 2.830790166682579587e-02 5.161774807143189037e-01 6.078059811274626467e-01
2.250000000000000000e+02 3.216397476014684065e-01 1.665082360053553659e-02 8.435849688810941049e-02 3.907455360463928939e-01 2.736494786113544825e-02 5.142490852728415218e-01 6.133171844603513279e-01
2.350000000000000000e+02 3.188256469019723482e-01 1.787139953209187365e-02 9.095602692510226794e-02 4.046454556873489428e-01 2.806181759879110976e-02 5.080365005155793590e-01 6.157538015524502972e-01
2.450000000000000000e+02 3.157994668537171257e-01 1.942507903901462274e-02 9.527770086776467251e-02 4.116795858061864100e-01 3.034307222187253988e-02 4.986013526196148571e-01 6.130402026397592241e-01
2.550000000000000000e+02 3.141554495617130405e-01 1.897924802832211960e-02 9.581678899263999794e-02 4.136003771783499650e-01 3.091578058785682953e-02 4.879278082650023718e-01 6.078418175025326331e-01
2.650000000000000000e+02 3.152217581321047346e-01 1.710288878707334065e-02 9.195144473823142761e-02 4.115034924038606934e-01 2.854942100184679893e-02 4.777067672907332474e-01 6.022160089133492544e-01
2.750000000000000000e+02 3.138098490447971400e-01 1.842873841967099940e-02 8.673166273574997587e-02 3.986299289710776850e-01 2.342104851290595716e-02 4.684308829545326125e-01 5.904353304852036910e-01
2.850000000000000000e+02 3.116534734127386908e-01 2.175056498676497529e-02 8.291448311805196814e-02 3.894098913176681220e-01 1.815443677982597065e-02 4.583705635684536261e-01 5.797169641494301917e-01
2.950000000000000000e+02 3.140817669553906399e-01 2.430554180384498358e-02 7.884677108507524845e-02 3.879346544048866141e-01 1.429606119652633046e-02 4.463385174157311619e-01 5.741774693880041802e-01
