# z uu uv uw vv vw ww TKE
5.000000000000000000e+00 7.077858143807416735e-02 -2.407378025869912064e-03 6.282046735088489976e-04 5.134648748868819723e-02 1.710570840428997895e-03 3.785127340527875972e-03 6.295509813364512375e-02
1.500000000000000000e+01 6.666282914247820268e-02 5.061643474593240793e-03 4.302641478297894624e-03 8.714362016460587557e-02 1.434990718526335529e-02 2.297331174190108544e-02 8.838988052449259225e-02
2.500000000000000000e+01 6.498495961792669084e-02 9.113972179944963142e-03 7.131882778553622591e-03 9.877088350420913654e-02 2.573605581835054085e-02 3.989700708204869939e-02 1.018264251020922495e-01
3.500000000000000000e+01 6.935922680734736556e-02 1.228081307122962963e-02 9.223860340087602569e-03 1.077241078258755203e-01 3.191175669898690948e-02 4.986639680203556330e-02 1.134748657176292280e-01
4.500000000000000000e+01 7.558759448999789743e-02 1.432499696255844397e-02 1.143938613251496011e-02 1.106987646693703420e-01 3.321919967625060199e-02 5.434267877108062833e-02 1.203145189652244373e-01
5.500000000000000000e+01 8.210650639087462010e-02 1.609707026315606443e-02 1.358196809972846489e-02 1.137995555275377740e-01 3.305951365649656415e-02 5.556312730675676964e-02 1.257345946125845715e-01
6.500000000000000000e+01 8.849807444610517659e-02 1.841788527544040849e-02 1.570435347692710620e-02 1.179482888416034242e-01 3.293278172260914738e-02 5.516927375931499761e-02 1.308078185235118096e-01
7.500000000000000000e+01 9.523103371406314854e-02 2.139038968575126751e-02 1.829361378788695730e-02 1.224544871725046224e-01 3.286145643938118144e-02 5.397922773390136791e-02 1.358323743102345660e-01
8.500000000000000000e+01 1.027692609305956295e-01 2.583458366554293797e-02 2.153093664864690754e-02 1.270745607538122657e-01 3.313648247998598334e-02 5.234181626175350710e-02 1.410928189730807081e-01
9.500000000000000000e+01 1.086811779704430075e-01 3.009956277375016448e-02 2.379487183431541406e-02 1.287625890773853310e-01 3.226455682556203519e-02 5.040040541837414317e-02 1.439220862331012374e-01
1.050000000000000000e+02 1.117818406451241559e-01 3.300990377536119902e-02 2.469775602679571275e-02 1.260363091549326076e-01 2.983314721596111441e-02 4.814803760531929239e-02 1.429830937026880244e-01
1.150000000000000000e+02 1.118906385257613656e-01 3.483633904886920124e-02 2.400928727804823096e-02 1.203578440898054186e-01 2.641852715614557978e-02 4.559904593802129730e-02 1.389237642767940373e-01
1.250000000000000000e+02 1.088285731939026973e-01 3.458825196598110108e-02 2.186223964492297819e-02 1.110037051248952411e-01 2.223823516259864838e-02 4.303816616325672334e-02 1.314352222410273274e-01
1.350000000000000000e+02 1.031336381466088775e-01 3.365810659499729462e-02 1.903069922046414161e-02 9.857639838351826833e-02 1.791016294863955610e-02 4.072822076982329093e-02 1.212191286499752219e-01
1.450000000000000000e+02 9.469651209635661371e-02 3.238776074544658795e-02 1.563080196983364020e-02 8.585724137440095549e-02 1.351149047406773225e-02 3.870381680744675035e-02 1.096287851391021667e-01
1.550000000000000000e+02 8.193663141154827745e-02 2.863098347170761615e-02 1.007764644260604470e-02 7.170854852462486828e-02 8.570118919920075712e-03 3.654718173905553008e-02 9.509618083761434137e-02
1.650000000000000000e+02 6.562556105072457624e-02 2.263905106835409006e-02 3.467448305515474609e-03 5.742044192572109962e-02 3.837443351838099731e-03 3.358497044511236235e-02 7.831548671077902257e-02
1.750000000000000000e+02 4.962363104290356403e-02 1.594452786519202567e-02 -1.020393356285939987e-04 4.405657905913110822e-02 1.430640527328604777e-03 2.950463256071327034e-02 6.159242133137397129e-02
1.850000000000000000e+02 3.684434568197587911e-02 9.929903093226612534e-03 -1.560741823715407336e-03 3.349923504025154042e-02 8.751986902811434346e-04 2.437673732651544911e-02 4.736015902437143432e-02
1.950000000000000000e+02 2.900204968500378136e-02 5.648476572558330105e-03 -8.419964349462429965e-04 2.668831020758322126e-02 1.189436583267645215e-03 1.888698878702969874e-02 3.728867433980834895e-02
2.050000000000000000e+02 2.693599533160290216e-02 3.369518678998476100e-03 1.164313904906357248e-03 2.145672968783602502e-02 1.807213970724354636e-03 1.416460707103690299e-02 3.127866604523791422e-02
2.150000000000000000e+02 2.744066351507715509e-02 2.766500571387243805e-03 1.328260462103964847e-03 1.709970549831451442e-02 1.847385351675598364e-03 1.069997756522543877e-02 2.762017328930855414e-02
2.250000000000000000e+02 2.432070047157193146e-02 2.426896700282500825e-03 5.022631883417324810e-04 1.305836743080372037e-02 1.450269578352250113e-03 8.345764220490577492e-03 2.286241606143311206e-02
2.350000000000000000e+02 1.951970355082230726e-02 1.485175834501071797e-03 1.411722417374710605e-04 9.890463550433381545e-03 1.169573529474974205e-03 6.814537650882106744e-03 1.811235237606889648e-02
2.450000000000000000e+02 1.599445818493043861e-02 3.356558022801546613e-04 3.991359762306518651e-05 8.031446490029514607e-03 1.115496677144377571e-03 5.762560474798633474e-03 1.489423257487929378e-02
2.550000000000000000e+02 1.376764599187197714e-02 -7.250116845321994937e-05 4.910667590244740144e-05 7.295358356999888036e-03 1.122059343268507706e-03 4.944532735161369895e-03 1.300376854201661797e-02
2.650000000000000000e+02 1.227529038102119323e-02 -6.997549449538319210e-05 6.982130078399187824e-05 6.929674641155116228e-03 1.041155096369050315e-03 4.307922029036142034e-03 1.175644352560622705e-02
2.750000000000000000e+02 1.158221707696125390e-02 -1.424292192977774348e-04 1.246596595821725171e-04 6.033054203373578762e-03 9.363019108588374172e-04 3.826226446877893910e-03 1.072074886360636393e-02
2.850000000000000000e+02 1.154247308376048220e-02 -5.708081581144128528e-04 1.553000892367292871e-04 5.075744469361483796e-03 9.035117823015536859e-04 3.450050297187793550e-03 1.003413392515488042e-02
2.950000000000000000e+02 1.093166360394409557e-02 -1.013457823594255671e-03 1.269781598230332830e-04 4.526145939694271696e-03 8.837792670558527021e-04 3.134268312277816403e-03 9.296038927958091835e-03
3.050000000000000000e+02 1.032912146102716970e-02 -1.398145666897178266e-03 6.126779064862207514e-05 4.098716059793745120e-03 7.962169239090279320e-04 2.861198160374724912e-03 8.644517840597819650e-03
