# z uT vT wT
5.000000000000000000e+00 6.813960363905485589e-03 2.243682347512214632e-03 2.997462531827743519e-03
1.500000000000000000e+01 8.896078009977702664e-03 1.149718224723522177e-02 1.177200912759668663e-02
2.500000000000000000e+01 6.783225593992000917e-03 1.500148015875351834e-02 1.776644092755597787e-02
3.500000000000000000e+01 6.391391344470406799e-03 1.574547637333619660e-02 2.052455128404877954e-02
4.500000000000000000e+01 5.775283874801158575e-03 1.481009965602780518e-02 2.169827558712281862e-02
5.500000000000000000e+01 5.077367274628603010e-03 1.398942065548527437e-02 2.209475048478993717e-02
6.500000000000000000e+01 5.067222101362992351e-03 1.394122267002519469e-02 2.270725865653524383e-02
7.500000000000000000e+01 5.706042814348689755e-03 1.387466322988831734e-02 2.322033905191832684e-02
8.500000000000000000e+01 7.044693197485287980e-03 1.397641388627372458e-02 2.399214055058834089e-02
9.500000000000000000e+01 8.168173495480613930e-03 1.402144867783857232e-02 2.410841516170559445e-02
1.050000000000000000e+02 8.754965216807998607e-03 1.420197226213289719e-02 2.335690112917913203e-02
1.150000000000000000e+02 9.176242350064410871e-03 1.469551440606403116e-02 2.354083701233992618e-02
1.250000000000000000e+02 9.299134159386842832e-03 1.555566325442663510e-02 2.505528883746550167e-02
1.350000000000000000e+02 8.812125335284928807e-03 1.579048711858898127e-02 2.599253982119705680e-02
1.450000000000000000e+02 8.133563339758075744e-03 1.569748754090934117e-02 2.553582226165969707e-02
1.550000000000000000e+02 7.824871998241835283e-03 1.528739714824873044e-02 2.494158330321789158e-02
1.650000000000000000e+02 7.734979180383560853e-03 1.472630423535294976e-02 2.477106031990850693e-02
1.750000000000000000e+02 7.735429462044274632e-03 1.441972241781593056e-02 2.484873861437967776e-02
1.850000000000000000e+02 7.466951877585887958e-03 1.431847286820160658e-02 2.501061286544064427e-02
1.950000000000000000e+02 7.311047079184921846e-03 1.444318235099965528e-02 2.561559409863652798e-02
2.050000000000000000e+02 7.407902747008511535e-03 1.501830592174016252e-02 2.681860572434156126e-02
2.150000000000000000e+02 7.478033333868737594e-03 1.524072474201226476e-02 2.702012047082579665e-02
2.250000000000000000e+02 7.259537777844394732e-03 1.448453188448029297e-02 2.571663869557213461e-02
2.350000000000000000e+02 7.056731388294924974e-03 1.317162649261638917e-02 2.428908196617647966e-02
2.450000000000000000e+02 6.745358149002579282e-03 1.202194245889731151e-02 2.304215080475487121e-02
2.550000000000000000e+02 6.164497496172793509e-03 1.082893013008412800e-02 2.178333407168844826e-02
2.650000000000000000e+02 5.495569409273462838e-03 9.602155892927016420e-03 2.068431332825857588e-02
2.750000000000000000e+02 4.894304465563223752e-03 8.979879900688252786e-03 1.979415410997871494e-02
2.850000000000000000e+02 4.146621866645696687e-03 8.858456484868926922e-03 1.907087070347989952e-02
2.950000000000000000e+02 3.010671151429850350e-03 8.882671491400347466e-03 1.825920514775496856e-02
3.050000000000000000e+02 2.083859688416436241e-03 8.741322545205269107e-03 1.726795680025407925e-02
3.150000000000000000e+02 1.583676413277375437e-03 8.628943417064566940e-03 1.636887545490974677e-02
3.250000000000000000e+02 1.408793753671690793e-03 8.816680089728393468e-03 1.557194065592649654e-02
3.350000000000000000e+02 1.182327352862325241e-03 9.039350280240030650e-03 1.465916360153870189e-02
3.450000000000000000e+02 6.168218782600483818e-04 8.737427348910616412e-03 1.265206493489274067e-02
3.550000000000000000e+02 -5.531260108833157630e-04 7.897415196892385719e-03 9.234437420058203352e-03
3.650000000000000000e+02 -2.440662453396349237e-03 6.903411989001009483e-03 6.123507530062295527e-03
3.750000000000000000e+02 -5.040853564904906360e-03 5.712523246355555480e-03 4.056556739836128349e-03
3.850000000000000000e+02 -8.090036914205497864e-03 4.631865997982813343e-03 2.409615909092868193e-03
3.950000000000000000e+02 -1.099100822239457848e-02 3.335312480250495620e-03 -6.117300205384653506e-04
4.050000000000000000e+02 -1.332224511626410243e-02 5.233826092006166808e-04 -5.576375455299350040e-03
4.150000000000000000e+02 -1.559021833940230084e-02 -2.691151455645007101e-03 -8.457466686622967106e-03
4.250000000000000000e+02 -1.825717172312858044e-02 -4.859362375951213620e-03 -8.720735539059127489e-03
4.350000000000000000e+02 -2.073771341926594972e-02 -4.757833183751708668e-03 -8.437184902579161067e-03
4.450000000000000000e+02 -2.413603369337670446e-02 -1.101111208081923974e-03 -1.080603691489827149e-02
4.550000000000000000e+02 -3.015416137538545760e-02 4.442827494704598354e-03 -1.543906201207085119e-02
4.650000000000000000e+02 -3.465513999677198587e-02 1.208140005586524207e-02 -1.427111631614809764e-02
4.750000000000000000e+02 -3.906054337131052018e-02 2.667427512331665279e-02 -9.512328230548273630e-03
4.850000000000000000e+02 -4.404145374821793330e-02 5.083435307629634303e-02 -5.165230884816967780e-03
4.950000000000000000e+02 -5.047211629500960445e-02 7.946123354663028882e-02 -3.447751897175757065e-03
5.050000000000000000e+02 -5.723081101333916954e-02 1.030106758014548707e-01 -3.446502188170514486e-03
5.150000000000000000e+02 -5.956558246434764253e-02 1.164401622621450000e-01 -1.792302710520059196e-03
5.250000000000000000e+02 -5.240010343891619154e-02 1.131659513274332618e-01 -4.858497941360043551e-04
5.350000000000000000e+02 -4.694615002109957247e-02 9.216492611590149098e-02 -8.578283462548073109e-04
5.450000000000000000e+02 -4.952577702730964065e-02 7.329696626189520503e-02 -3.692567236110838678e-03
5.550000000000000000e+02 -3.825863561662525003e-02 6.010098323149578453e-02 -4.880094082880518172e-03
5.650000000000000000e+02 -2.416522713012032170e-02 4.523531123771633300e-02 -4.147080639664325885e-03
5.750000000000000000e+02 -2.198587040604763759e-02 3.812925048737558081e-02 -3.257112779567005074e-03
5.850000000000000000e+02 -2.265643328214735769e-02 3.457565949670181327e-02 -2.728923033535865777e-03
5.950000000000000000e+02 -2.184983808677557621e-02 3.095913336588239709e-02 -2.352669980803295726e-03
6.050000000000000000e+02 -2.182910499849675251e-02 2.658702970969335430e-02 -1.785012249568162677e-03
6.150000000000000000e+02 -2.595272423282453042e-02 2.407485101425432816e-02 -4.386671061550278085e-04
6.250000000000000000e+02 -3.136659043324586948e-02 2.301675501178408051e-02 2.534824950623791424e-05
6.350000000000000000e+02 -3.218362011886981289e-02 2.865538908809824384e-02 -1.025110982216396191e-03
6.450000000000000000e+02 -2.991146015669214966e-02 3.325684463976978644e-02 -1.127725668134702507e-03
6.550000000000000000e+02 -2.702360274024682291e-02 2.906499935086529970e-02 -1.563823592095000300e-04
6.650000000000000000e+02 -2.330553847717574747e-02 2.487829736646791565e-02 -6.979057119961512123e-05
6.750000000000000000e+02 -2.140770150244250894e-02 2.561553850992482825e-02 7.814607419659223657e-05
6.850000000000000000e+02 -2.193684797034249970e-02 2.725290687150485475e-02 1.489634263492449961e-03
6.950000000000000000e+02 -2.011194956634587000e-02 2.705289402345971775e-02 2.482527428388066337e-03
7.050000000000000000e+02 -1.819664723562424563e-02 2.409515748537870844e-02 1.909754231725918671e-03
7.150000000000000000e+02 -1.841877328777161149e-02 2.260187787925396069e-02 1.179590473818650656e-03
7.250000000000000000e+02 -1.850855626062448273e-02 2.295975518719814076e-02 9.832188398001622497e-04
7.350000000000000000e+02 -1.806585126528558599e-02 2.252946016424991343e-02 3.970975308863238440e-04
7.450000000000000000e+02 -1.750678974762582413e-02 2.141707025731207081e-02 -6.567949788266995307e-04
7.550000000000000000e+02 -1.534170722692941927e-02 2.157519103114239126e-02 -8.528179588816943869e-04
7.650000000000000000e+02 -1.212655363380684380e-02 2.235352377340909386e-02 1.792773355608716628e-04
7.750000000000000000e+02 -9.352684486804310401e-03 2.191151664694802187e-02 1.079077067291870761e-03
7.850000000000000000e+02 -9.092490304693234132e-03 2.120986849910378932e-02 8.456384144250445305e-04
7.950000000000000000e+02 -8.565199415724868495e-03 2.080080600828449616e-02 1.707353857667952821e-04
8.050000000000000000e+02 -5.764564511706253558e-03 1.967032157241674351e-02 -7.814529271259976900e-05
8.150000000000000000e+02 -3.756355850845994639e-03 1.912932558641380551e-02 3.977827945830629823e-04
8.250000000000000000e+02 -3.720145862798588440e-03 1.922877297918267406e-02 1.437136894446298160e-03
8.350000000000000000e+02 -4.956413097987576177e-03 1.855646814632982630e-02 2.306075573901029442e-03
