# z uT vT wT
5.000000000000000000e+00 1.182524868288880367e-03 -1.077106426529482073e-03 3.704023602100115723e-03
1.500000000000000000e+01 2.929924008827954410e-03 6.445408823842512132e-03 1.393046553099869071e-02
2.500000000000000000e+01 3.315474921629707993e-03 9.566472490910690046e-03 2.016599975646926959e-02
3.500000000000000000e+01 3.608727799978042518e-03 1.106028508039235553e-02 2.302897157931289851e-02
4.500000000000000000e+01 4.073848641136208065e-03 1.089097974075036758e-02 2.536383376827080344e-02
5.500000000000000000e+01 4.655491262660853453e-03 1.037809247818305414e-02 2.706469025807271139e-02
6.500000000000000000e+01 5.206935335598474567e-03 9.986339148135455618e-03 2.845262663290463664e-02
7.500000000000000000e+01 5.563399340982368331e-03 9.612223811261647738e-03 2.948751525910488919e-02
8.500000000000000000e+01 5.777887119982162874e-03 9.232975891481524922e-03 3.032461945719931370e-02
9.500000000000000000e+01 5.978046331293994722e-03 8.861977714816397095e-03 3.094847752169572683e-02
1.050000000000000000e+02 6.161732912416555998e-03 8.496549566965726913e-03 3.139992698861083370e-02
1.150000000000000000e+02 6.285324834316821478e-03 8.182502347076703667e-03 3.177290411979065421e-02
1.250000000000000000e+02 6.352041481967771359e-03 7.897189982474699457e-03 3.206346655456668998e-02
1.350000000000000000e+02 6.368520149695517177e-03 7.528952633696752404e-03 3.210562104217615231e-02
1.450000000000000000e+02 6.338482314574124012e-03 7.084748346825656823e-03 3.195168377744612292e-02
1.550000000000000000e+02 6.315516748088308499e-03 6.704480164251472307e-03 3.176877153458890213e-02
1.650000000000000000e+02 6.291594198978985378e-03 6.463139007688075560e-03 3.155561688259860692e-02
1.750000000000000000e+02 6.215901009546848793e-03 6.230286243470386891e-03 3.109847888948074832e-02
1.850000000000000000e+02 6.090462454415123197e-03 6.003690249409701987e-03 3.039021713264634939e-02
1.950000000000000000e+02 5.984234170535841259e-03 5.818237597938759678e-03 2.961702119729417784e-02
2.050000000000000000e+02 5.888808148579457481e-03 5.656740189761700656e-03 2.885936652099664254e-02
2.150000000000000000e+02 5.824801188135823003e-03 5.518107240483056605e-03 2.826428553415988310e-02
2.250000000000000000e+02 5.800452982539091099e-03 5.410057170956269340e-03 2.787135458617201120e-02
2.350000000000000000e+02 5.734300101758176872e-03 5.305278214170159982e-03 2.739026204418160831e-02
2.450000000000000000e+02 5.561021796792057006e-03 5.169193884633085413e-03 2.673941798578837598e-02
2.550000000000000000e+02 5.295456619264601872e-03 5.103909775417438816e-03 2.586765048551474544e-02
2.650000000000000000e+02 4.998363979758943705e-03 5.106160324724106324e-03 2.475407440490694916e-02
2.750000000000000000e+02 4.735307567393287967e-03 5.045634352001166292e-03 2.362310591274119353e-02
2.850000000000000000e+02 4.560452492426121142e-03 4.880422669434406925e-03 2.255157659163338491e-02
2.950000000000000000e+02 4.434254513482080093e-03 4.682684186272686837e-03 2.150579682554560820e-02
3.050000000000000000e+02 4.328037738240809486e-03 4.518490692655634244e-03 2.048221983286788520e-02
3.150000000000000000e+02 4.197478334979105365e-03 4.406584098130076829e-03 1.939258538100665716e-02
3.250000000000000000e+02 3.958202349313237264e-03 4.334037076135721644e-03 1.815048520689040504e-02
3.350000000000000000e+02 3.601847365764165084e-03 4.239925277889446120e-03 1.670341244954819462e-02
3.450000000000000000e+02 2.974260817689712219e-03 4.022755716066293320e-03 1.451528728964754898e-02
3.550000000000000000e+02 1.906361729988257855e-03 3.540082461888555566e-03 1.144391669632876390e-02
3.650000000000000000e+02 6.223847834713770993e-04 2.956120615804076583e-03 8.753484450445166154e-03
3.750000000000000000e+02 -7.303025069235627529e-04 2.561285001404429475e-03 6.757111455266267067e-03
3.850000000000000000e+02 -2.341378234005636345e-03 2.347656952283193755e-03 4.883157175301653351e-03
3.950000000000000000e+02 -4.658061911569357991e-03 2.198851170541734311e-03 1.899871843324889330e-03
4.050000000000000000e+02 -8.152125776557338915e-03 1.805081829672640749e-03 -2.525919788945059623e-03
4.150000000000000000e+02 -1.189307900642080050e-02 1.389890606550160971e-03 -5.369605630348443098e-03
4.250000000000000000e+02 -1.554688758484357343e-02 1.699469760604060747e-03 -6.106024117646277095e-03
4.350000000000000000e+02 -1.933085259895572783e-02 3.161593105061004036e-03 -6.432856715075718074e-03
4.450000000000000000e+02 -2.337698563826712261e-02 6.085870857322076347e-03 -9.270233607958915101e-03
4.550000000000000000e+02 -2.879916500543405061e-02 1.098926870644969384e-02 -1.480676015410915466e-02
4.650000000000000000e+02 -3.498548605195983541e-02 1.917499088212396702e-02 -1.607097015487552252e-02
4.750000000000000000e+02 -4.224685338407010299e-02 3.245325126871324156e-02 -1.272003113314585342e-02
4.850000000000000000e+02 -5.305186516092526977e-02 5.188054921024413957e-02 -9.016109286096755243e-03
4.950000000000000000e+02 -6.666139975729838685e-02 7.860793863504435264e-02 -9.750404974845423844e-03
5.050000000000000000e+02 -8.309383659714446313e-02 1.141230928815980816e-01 -1.382559241960036080e-02
5.150000000000000000e+02 -9.530516974452038492e-02 1.458162458370148018e-01 -1.185667234832312941e-02
5.250000000000000000e+02 -9.795141490845538090e-02 1.656180852657262170e-01 -5.344490780132587354e-03
5.350000000000000000e+02 -9.348462098489823680e-02 1.724253458172592401e-01 -3.505682908335887066e-04
5.450000000000000000e+02 -7.974738737348165130e-02 1.639348805150948329e-01 1.085930510554030618e-03
5.550000000000000000e+02 -6.184733071602305232e-02 1.445751711833862807e-01 -8.944850766579822202e-05
5.650000000000000000e+02 -4.521793581884896857e-02 1.201220556271376666e-01 -4.445663424694135308e-04
5.750000000000000000e+02 -3.386843675055452307e-02 9.528946289929678126e-02 1.175020296928795850e-04
5.850000000000000000e+02 -2.821158177116310506e-02 7.514295815099075737e-02 6.219271219282777874e-04
5.950000000000000000e+02 -2.245793923300807779e-02 6.083748103633925680e-02 4.118876234734831230e-04
6.050000000000000000e+02 -1.522266566466007678e-02 5.179704229158674234e-02 -3.344546867207825948e-04
6.150000000000000000e+02 -1.196416548386881017e-02 4.727388283889216725e-02 -1.423692542709460598e-04
6.250000000000000000e+02 -1.262840434366233923e-02 4.480813863660085272e-02 2.690090912996455363e-04
6.350000000000000000e+02 -1.423449407283531448e-02 4.125544407988798040e-02 1.859200495064364754e-04
6.450000000000000000e+02 -1.594072086850896811e-02 3.631217773515465347e-02 1.216761540246187617e-04
6.550000000000000000e+02 -1.737933897616708925e-02 3.158525677673684057e-02 1.564648524895439748e-04
6.650000000000000000e+02 -1.924520266140304636e-02 2.907468822645998749e-02 2.289464694469247740e-04
6.750000000000000000e+02 -2.114679561341977626e-02 2.895580652021310583e-02 2.230960692129971702e-04
6.850000000000000000e+02 -2.244560526939658532e-02 2.928263061561195771e-02 2.191650836633029088e-04
6.950000000000000000e+02 -2.263894667659480109e-02 2.806925729009713058e-02 2.300764162951457459e-04
7.050000000000000000e+02 -2.216367857558224769e-02 2.569405402588577012e-02 1.530282219854682145e-04
7.150000000000000000e+02 -2.252112331325381578e-02 2.495462239727804996e-02 1.394072913889864824e-04
7.250000000000000000e+02 -2.350540596027463416e-02 2.617615601266074302e-02 1.548574572662156129e-04
7.350000000000000000e+02 -2.386353278805683140e-02 2.755768604770404348e-02 6.376267009650916863e-05
7.450000000000000000e+02 -2.283530938272721952e-02 2.792742986597706450e-02 1.637935880912850360e-05
7.550000000000000000e+02 -2.085089867323911689e-02 2.739701158801323422e-02 5.713856836532618552e-05
7.650000000000000000e+02 -1.953692428079011403e-02 2.716276240639244055e-02 5.688507799653753433e-05
7.750000000000000000e+02 -1.931894275196302871e-02 2.741285523906919486e-02 7.578071057990727534e-05
7.850000000000000000e+02 -1.941268115431884350e-02 2.745652894653171847e-02 2.264602296624432685e-05
7.950000000000000000e+02 -1.795218236885324711e-02 2.646257039180150220e-02 1.665579631355931144e-05
8.050000000000000000e+02 -1.498621683615218754e-02 2.504183770662998451e-02 2.205381001247466233e-04
8.150000000000000000e+02 -1.307629235698489975e-02 2.528578083105828198e-02 1.870180638881018171e-04
8.250000000000000000e+02 -1.204829554069248437e-02 2.674557376601618269e-02 4.417979321828695765e-05
8.350000000000000000e+02 -1.021773196645454039e-02 2.747366269980765913e-02 9.807960652226927856e-05
8.450000000000000000e+02 -8.004334926543558992e-03 2.701188607219901644e-02 9.166345480929864080e-05
8.550000000000000000e+02 -6.663519952948193138e-03 2.594346922646915271e-02 -3.803215227565702699e-05
8.650000000000000000e+02 -6.570202551872648955e-03 2.503464225455727041e-02 2.008716477285994029e-05
8.750000000000000000e+02 -7.045169811358544150e-03 2.500935401426213414e-02 2.898241401620022797e-04
8.850000000000000000e+02 -6.954470100114888524e-03 2.592043411883487511e-02 -1.291306404558622862e-04
8.950000000000000000e+02 -5.017619163683034213e-03 2.488458700297945317e-02 -2.804873419502195504e-04
9.050000000000000000e+02 -2.320674570918566763e-03 2.084543980902892751e-02 4.473226982682332168e-04
9.150000000000000000e+02 -8.915350729583276877e-04 1.843362644731505115e-02 1.598132782948274728e-04
9.250000000000000000e+02 1.228883385735432519e-05 1.833549651838511582e-02 -2.440671241573084504e-04
9.350000000000000000e+02 7.478364695856188574e-04 1.775208987136656785e-02 -5.590966625947242066e-05
9.450000000000000000e+02 1.175743906526462764e-03 1.614633682820475896e-02 -1.896418028515755745e-05
9.550000000000000000e+02 1.113480370208458749e-03 1.432363516898723516e-02 1.199049824856223444e-05
9.650000000000000000e+02 7.108445706547883696e-04 1.332590674789201068e-02 2.126558617518316461e-05
9.750000000000000000e+02 2.408253611942611449e-04 1.317526773155233873e-02 2.088459835085903886e-05
9.850000000000000000e+02 2.989986845070946413e-05 1.332233509653671377e-02 5.077042751937899188e-05
9.950000000000000000e+02 1.754950494283613193e-04 1.333413670392777188e-02 4.360830875197855324e-05
1.005000000000000000e+03 3.001137205102906631e-04 1.313575979005776606e-02 2.712277706517391099e-05
1.015000000000000000e+03 2.273983357003465835e-04 1.312952650710449629e-02 2.553723722502922844e-05
1.025000000000000000e+03 2.968117610039720388e-04 1.347391640322328533e-02 5.387694014426215404e-05
1.035000000000000000e+03 7.299221906120186096e-04 1.360136926276970734e-02 -2.676833929728901753e-05
1.045000000000000000e+03 1.505714386001894521e-03 1.209915859301771528e-02 -1.827502332753890943e-05
1.055000000000000000e+03 1.945394309254765489e-03 9.496204149589234506e-03 1.386891662573128212e-04
1.065000000000000000e+03 1.816019326017699045e-03 8.194517404529264373e-03 4.909911387847719664e-05
1.075000000000000000e+03 1.563392214183322157e-03 8.265915593324842797e-03 -2.199392009530699626e-05
1.085000000000000000e+03 1.514129589769328552e-03 8.472983519700482205e-03 -5.432724660051036886e-06
1.095000000000000000e+03 1.774482257581584069e-03 7.885113451820991229e-03 2.391866903232541281e-06
1.105000000000000000e+03 2.013736136512698626e-03 6.577390367684088704e-03 1.006828717851226165e-04
1.115000000000000000e+03 1.919287914727673587e-03 5.824778356843177476e-03 6.072920738732879382e-05
1.125000000000000000e+03 1.692057684163786237e-03 5.782640332545207866e-03 1.034662926827566099e-05
1.135000000000000000e+03 1.519653591536551012e-03 5.800608797458687259e-03 4.642754796264933026e-05
1.145000000000000000e+03 1.415488315640202029e-03 5.713490340302715582e-03 4.754353410192622173e-05
1.155000000000000000e+03 1.346143693031552017e-03 5.606445278946848958e-03 4.265067752614189981e-05
1.165000000000000000e+03 1.292514022222450692e-03 5.551700744642396913e-03 4.246002915110934562e-05
1.175000000000000000e+03 1.226207795801776898e-03 5.478152678248936203e-03 3.036351050846547797e-05
1.185000000000000000e+03 1.125614750824103019e-03 5.308393708605842198e-03 2.248389727619248216e-05
1.195000000000000000e+03 1.036722663778609456e-03 5.117597033484464972e-03 2.448213903359890419e-05
1.205000000000000000e+03 9.596202894833651261e-04 4.996921812651451862e-03 2.750140637999902812e-05
1.215000000000000000e+03 8.855598094648670527e-04 4.937711252627208225e-03 3.344957723876660347e-05
1.225000000000000000e+03 8.551914650014472239e-04 4.905626625643173290e-03 3.940860270448992596e-05
1.235000000000000000e+03 8.940851372022447664e-04 4.891197091020472315e-03 3.518248223938914420e-05
1.245000000000000000e+03 9.803719289554334738e-04 4.839309031745327692e-03 2.128852794160647474e-05
1.255000000000000000e+03 1.044099636948107477e-03 4.663355306054667825e-03 3.050545315952555896e-06
1.265000000000000000e+03 1.034816095808294058e-03 4.378071098811600267e-03 -1.466882894600677312e-06
1.275000000000000000e+03 9.148655677403932755e-04 4.094404193896636866e-03 2.413212396723747835e-05
1.285000000000000000e+03 7.683403943107748471e-04 3.951173662320532284e-03 -1.717731864777044025e-05
1.295000000000000000e+03 9.711071147044523415e-04 3.190170640285133058e-03 -3.600102119113997138e-05
1.305000000000000000e+03 1.206642585588086009e-03 1.885809818532559017e-03 2.897125843065470152e-05
1.315000000000000000e+03 1.123987063063396855e-03 1.306942397635482006e-03 -5.538722427856690126e-06
1.325000000000000000e+03 1.032040284807783388e-03 1.274016516114419208e-03 -2.712325105679146283e-05
1.335000000000000000e+03 9.716658166123850549e-04 1.206690497649794266e-03 1.795048206163981688e-06
1.345000000000000000e+03 9.062919277553046962e-04 1.076614293829416787e-03 9.269197085116397605e-07
1.355000000000000000e+03 8.271491552971294361e-04 9.392208851422580423e-04 3.462674790340347296e-06
1.365000000000000000e+03 7.505830360562921544e-04 8.752353872452522813e-04 1.027385964957732121e-06
1.375000000000000000e+03 6.702839249236422665e-04 8.564174218659093354e-04 -1.203117876348176507e-06
1.385000000000000000e+03 5.777686092793561223e-04 8.381659644901169864e-04 2.277998967761982159e-06
1.395000000000000000e+03 4.946414969548241711e-04 8.324332567536042076e-04 7.604536745708223290e-07
1.405000000000000000e+03 4.262454880735107613e-04 8.391131523419917242e-04 -4.552349144381390126e-06
1.415000000000000000e+03 3.624899205389863106e-04 8.549773150603247633e-04 -1.206853828501167933e-05
1.425000000000000000e+03 2.979686482324699981e-04 8.672505834609924849e-04 -1.916501101129589288e-05
1.435000000000000000e+03 2.219114454041334536e-04 8.734847126886953863e-04 -1.893235484674883482e-05
1.445000000000000000e+03 1.411086631014005352e-04 8.991529720590377139e-04 -1.826335030346726165e-05
1.455000000000000000e+03 8.138457921670429521e-05 9.444009095835702175e-04 -2.857899258461172855e-05
1.465000000000000000e+03 2.295871993356458248e-05 9.761144282284006960e-04 -3.503495451924552845e-05
1.475000000000000000e+03 -5.956978929969495109e-05 1.018572018291905024e-03 -2.867944288007714260e-05
1.485000000000000000e+03 -1.230651438990291958e-04 1.104079020472383118e-03 -2.668498583482447684e-05
1.495000000000000000e+03 -1.659639786545264871e-04 1.186091961249714603e-03 -2.834483812184384702e-05
1.505000000000000000e+03 -2.671319719889705263e-04 1.284714558326897904e-03 -2.099721238359038538e-05
1.515000000000000000e+03 -3.531433724275862105e-04 1.457906918870003656e-03 -2.084916527278733112e-05
1.525000000000000000e+03 -3.775874919927104355e-04 1.629160063487314954e-03 -2.524911371257029964e-05
1.535000000000000000e+03 -3.927362227298532532e-04 1.817575000857795265e-03 -1.485138075134788232e-05
1.545000000000000000e+03 -3.276181184712408535e-04 2.100149337941071333e-03 -2.167054016303760443e-05
1.555000000000000000e+03 -2.107842951281656057e-04 2.285183131288268544e-03 -4.082359437992982870e-05
1.565000000000000000e+03 -2.071721901170248939e-04 2.455317203400116024e-03 1.871202038218027718e-06
1.575000000000000000e+03 -1.219478829986371158e-04 2.939753975612832519e-03 5.846609926855459767e-05
1.585000000000000000e+03 1.909197269547957640e-04 3.465190620364238649e-03 -9.112802673922083536e-06
1.595000000000000000e+03 1.689797153351456469e-04 3.004656449891999603e-03 -8.309697595656749297e-05
1.605000000000000000e+03 -3.092213113089361891e-04 1.657437482298471229e-03 -1.277259494199763167e-05
1.615000000000000000e+03 -6.940552303256015357e-04 9.006598240482889669e-04 3.741764603567098823e-05
1.625000000000000000e+03 -6.900028268429456721e-04 1.053909150115042801e-03 3.619325371530541499e-05
