# z u v w uhoriz
5.000000000000000000e+00 1.145981970300141012e-01 -7.769055136040816656e+00 -3.420697835271685692e-08 7.769900285949924879e+00
1.500000000000000000e+01 1.042944099059744112e-01 -7.882717600521412571e+00 -5.434255644193581028e-08 7.883407517914299056e+00
2.500000000000000000e+01 8.889668981239538803e-02 -8.048740495068745560e+00 -6.604394048809945332e-08 8.049231402961346760e+00
3.500000000000000000e+01 7.907664003828447641e-02 -8.182740699773342286e+00 -7.180449984592524905e-08 8.183122782576763399e+00
4.500000000000000000e+01 6.959247282183722572e-02 -8.292070192694271924e+00 -7.406953112186725596e-08 8.292362220311066068e+00
5.500000000000000000e+01 6.077334441810988697e-02 -8.376909800936669370e+00 -7.395590928294950785e-08 8.377130249221425018e+00
6.500000000000000000e+01 5.091808858576533925e-02 -8.461619928620679687e+00 -7.267567449450746007e-08 8.461773127907404657e+00
7.500000000000000000e+01 3.973362143183479384e-02 -8.546343511490983147e+00 -7.077275084503651796e-08 8.546435875678007221e+00
8.500000000000000000e+01 2.914402757085319401e-02 -8.623237888681916985e+00 -6.892221276287156975e-08 8.623287137695369253e+00
9.500000000000000000e+01 1.895068349949616954e-02 -8.692706949632277968e+00 -6.707919001329030661e-08 8.692727606487528291e+00
1.050000000000000000e+02 9.816748364006061545e-03 -8.749951423475705425e+00 -6.527415342554336243e-08 8.749956930278740330e+00
1.150000000000000000e+02 2.101421515834458933e-03 -8.794807279137803135e+00 -6.339341557950821902e-08 8.794807530193464729e+00
1.250000000000000000e+02 -5.090065176049080216e-03 -8.834705446016823061e+00 -6.184995337296748247e-08 8.834706912322717542e+00
1.350000000000000000e+02 -1.208586372171456536e-02 -8.869913294383847457e+00 -6.158714492049324322e-08 8.869921528288129409e+00
1.450000000000000000e+02 -1.936079850615525164e-02 -8.905184941132832321e+00 -5.958778062042881026e-08 8.905205987303030923e+00
1.550000000000000000e+02 -2.653026744217846372e-02 -8.940214414746499472e+00 -5.717735943481854841e-08 8.940253779212961049e+00
1.650000000000000000e+02 -3.452592424083605199e-02 -8.972490149457247099e+00 -5.249878942505722130e-08 8.972556576670443818e+00
1.750000000000000000e+02 -4.333179220982730229e-02 -9.002492920276832677e+00 -5.133547471997688184e-08 9.002597204354453098e+00
1.850000000000000000e+02 -5.257539096474284079e-02 -9.034971978932976100e+00 -4.992397219942589560e-08 9.035124948324686045e+00
1.950000000000000000e+02 -6.230476503200901156e-02 -9.069817983554733232e+00 -4.878816803055574789e-08 9.070031981121044140e+00
2.050000000000000000e+02 -7.318626432632419077e-02 -9.104772300846724065e+00 -4.785172949082344563e-08 9.105066440150329399e+00
2.150000000000000000e+02 -8.531460860925958734e-02 -9.139625157529390975e+00 -4.696150137328781392e-08 9.140023337091994549e+00
2.250000000000000000e+02 -9.748436712471167387e-02 -9.171900410205086729e+00 -4.621030248103726861e-08 9.172418456249907592e+00
2.350000000000000000e+02 -1.097495366708093750e-01 -9.201755741726355353e+00 -4.551864904612113864e-08 9.202410210982414185e+00
2.450000000000000000e+02 -1.228913654845766035e-01 -9.231697443030194350e+00 -4.507733471358251053e-08 9.232515365129964735e+00
2.550000000000000000e+02 -1.370442466788673319e-01 -9.261584578320260164e+00 -4.458922319900727883e-08 9.262598448973562881e+00
2.650000000000000000e+02 -1.513485455514974043e-01 -9.291475648122926145e+00 -4.394889540432970990e-08 9.292708222143955865e+00
2.750000000000000000e+02 -1.657987974130822884e-01 -9.321210867406426459e+00 -4.300310160362504687e-08 9.322685303917497279e+00
2.850000000000000000e+02 -1.797688604322898454e-01 -9.345934943162820474e+00 -4.206741493819070091e-08 9.347663708382590642e+00
2.950000000000000000e+02 -1.933450737755755267e-01 -9.365701939238105567e+00 -4.195783625623276537e-08 9.367697429582239721e+00
3.050000000000000000e+02 -2.100397551266515728e-01 -9.383408600719494785e+00 -4.026987132877017843e-08 9.385759088469628253e+00
3.150000000000000000e+02 -2.299242316025895683e-01 -9.398924730306273290e+00 -3.822628410553687624e-08 9.401736607576332005e+00
3.250000000000000000e+02 -2.499366630312274962e-01 -9.414464500709092576e+00 -3.434957083274200104e-08 9.417781594974417914e+00
3.350000000000000000e+02 -2.700878919731886096e-01 -9.429997613609444329e+00 -3.335079088644197359e-08 9.433864662060312156e+00
3.450000000000000000e+02 -2.905202933638087459e-01 -9.445496237777291526e+00 -3.229280597832125820e-08 9.449963027373236457e+00
3.550000000000000000e+02 -3.328989079119097916e-01 -9.459756094290401762e+00 -3.158594764291269973e-08 9.465611815744047419e+00
3.650000000000000000e+02 -3.972461374975620463e-01 -9.472728019273398914e+00 -3.111707952690588627e-08 9.481053771648173978e+00
3.750000000000000000e+02 -4.616869686548811802e-01 -9.485763691408216403e+00 -3.079561314798260397e-08 9.496992559029630243e+00
3.850000000000000000e+02 -5.263814163343714103e-01 -9.498837827937148148e+00 -3.065335332881808420e-08 9.513411453149281272e+00
3.950000000000000000e+02 -5.913873087884592428e-01 -9.511754771596820035e+00 -3.061366332705005564e-08 9.530121603840685296e+00
4.050000000000000000e+02 -6.953322496613763004e-01 -9.513819760940403825e+00 -3.084640959953285002e-08 9.539195635957954167e+00
4.150000000000000000e+02 -8.383476557711724286e-01 -9.505127639919670912e+00 -3.105132760220017779e-08 9.542026946257378128e+00
4.250000000000000000e+02 -9.816026545400834413e-01 -9.496375580733554145e+00 -3.110301652930244070e-08 9.546972972715105143e+00
4.350000000000000000e+02 -1.125085859994144677e+00 -9.487561616552248722e+00 -3.083719037155850100e-08 9.554038079274871365e+00
4.450000000000000000e+02 -1.268654763902357763e+00 -9.478674034457815978e+00 -3.054013878232928344e-08 9.563197496730733604e+00
4.550000000000000000e+02 -1.468628445277815331e+00 -9.427347538868605881e+00 -3.088620432256184093e-08 9.541056080376590032e+00
4.650000000000000000e+02 -1.725097508944849256e+00 -9.333517001891895148e+00 -3.004578714889405687e-08 9.491601605628671834e+00
4.750000000000000000e+02 -1.982117681040646229e+00 -9.239548937594173950e+00 -2.881102076922911519e-08 9.449764815681476193e+00
4.850000000000000000e+02 -2.239245315933447777e+00 -9.145585139007982534e+00 -2.659139527290345403e-08 9.415728708909021805e+00
4.950000000000000000e+02 -2.496155586744897015e+00 -9.051666702824107347e+00 -2.633564300482033917e-08 9.389540074585783103e+00
5.050000000000000000e+02 -2.753372617048209126e+00 -8.937887766593849648e+00 -2.586891815047556047e-08 9.352373949780821150e+00
5.150000000000000000e+02 -3.011164808347232658e+00 -8.804217823691105949e+00 -2.541809984398023207e-08 9.304910799681476163e+00
5.250000000000000000e+02 -3.269044980844438619e+00 -8.670455970503484266e+00 -2.508893260982025073e-08 9.266253926114032424e+00
5.350000000000000000e+02 -3.526880247390273837e+00 -8.536829374347371768e+00 -2.452438028010357548e-08 9.236684472588192918e+00
5.450000000000000000e+02 -3.784693287872126000e+00 -8.403248025613567762e+00 -2.411884662159406590e-08 9.216207498925067299e+00
5.550000000000000000e+02 -4.039752730435671069e+00 -8.264675721218182503e+00 -2.353329648467888120e-08 9.199155771045283814e+00
5.650000000000000000e+02 -4.292150114573068720e+00 -8.121035102188924881e+00 -2.352653166046375858e-08 9.185519241557022596e+00
5.750000000000000000e+02 -4.544367187556193066e+00 -7.977326406391628488e+00 -2.303523385363201448e-08 9.180904624787830315e+00
5.850000000000000000e+02 -4.796555464761326881e+00 -7.833689096723579048e+00 -2.177434507647652139e-08 9.185511917724435094e+00
5.950000000000000000e+02 -5.048861474004742611e+00 -7.690051645662077995e+00 -1.924521548793889155e-08 9.199342177386347075e+00
6.050000000000000000e+02 -5.278376783505466463e+00 -7.550120581178974888e+00 -1.654882293328262734e-08 9.212251747482362418e+00
6.150000000000000000e+02 -5.484885381173673302e+00 -7.413976653440755626e+00 -1.648003054001640148e-08 9.222310852621335542e+00
6.250000000000000000e+02 -5.691174487293404916e+00 -7.277902669351530740e+00 -1.118629371255237748e-08 9.238903306636210289e+00
6.350000000000000000e+02 -5.897528704651315401e+00 -7.142010894384872799e+00 -4.641223629199683385e-09 9.262244028187685885e+00
6.450000000000000000e+02 -6.104069348641197656e+00 -7.006165993666479963e+00 7.767485690865668144e-09 9.292256160041521440e+00
6.550000000000000000e+02 -6.303272667127916229e+00 -6.866500132970827508e+00 1.065566514650367090e-08 9.320947934209817376e+00
6.650000000000000000e+02 -6.495060964322918906e+00 -6.722994723521570570e+00 1.367119009811176984e-08 9.347966355457760557e+00
6.750000000000000000e+02 -6.686825962050332528e+00 -6.579486872629281891e+00 1.541585734595243707e-08 9.381006819838232147e+00
6.850000000000000000e+02 -6.878595009182786768e+00 -6.436094746463082217e+00 1.642405119525649486e-08 9.420105354283679233e+00
6.950000000000000000e+02 -7.070307172783167005e+00 -6.292740709614134786e+00 1.694021803358598942e-08 9.465084741086268849e+00
7.050000000000000000e+02 -7.249119558974665090e+00 -6.144461689518478487e+00 1.712534740515715452e-08 9.502849248213365740e+00
7.150000000000000000e+02 -7.414999344372477985e+00 -5.991251359504654594e+00 1.710458242536075129e-08 9.532959043749775319e+00
7.250000000000000000e+02 -7.580929623280477259e+00 -5.838110668873283338e+00 1.683402698690736118e-08 9.568387018465731586e+00
7.350000000000000000e+02 -7.747086953597926318e+00 -5.685203231747855135e+00 1.651566959898383279e-08 9.609312777346955770e+00
7.450000000000000000e+02 -7.913408235189919537e+00 -5.532189014883988065e+00 1.626485238479078194e-08 9.655420508355641473e+00
7.550000000000000000e+02 -8.069429749619676073e+00 -5.382030514286126888e+00 1.616195209869610430e-08 9.699584988067996960e+00
7.650000000000000000e+02 -8.215023748317889840e+00 -5.235012716292492208e+00 1.613171179947738984e-08 9.741251117036815899e+00
7.750000000000000000e+02 -8.360471137516327644e+00 -5.088278362030368207e+00 1.589583692307569359e-08 9.787137187694366247e+00
7.850000000000000000e+02 -8.505786909971154941e+00 -4.941564737923092032e+00 1.609782694928906792e-08 9.837045949720961246e+00
7.950000000000000000e+02 -8.651070409273403428e+00 -4.794919704138235872e+00 1.646832540432756755e-08 9.891019876399955280e+00
8.050000000000000000e+02 -8.765832388946257936e+00 -4.662069790712837225e+00 1.699606725267220487e-08 9.928479853662215859e+00
8.150000000000000000e+02 -8.849826537292267759e+00 -4.542971687029339733e+00 1.677324835798942946e-08 9.947764647865000143e+00
