# z u v w uhoriz
5.000000000000000000e+00 6.821935377665618860e-01 -6.758554251696962112e+00 -3.189856733705391553e-08 6.792896554202893178e+00
1.500000000000000000e+01 6.569911947942712604e-01 -6.811259624388676492e+00 -5.061107148531778599e-08 6.842871846006220338e+00
2.500000000000000000e+01 6.182745783200165324e-01 -6.900823013451755195e+00 -6.137357993865608988e-08 6.928464600269107265e+00
3.500000000000000000e+01 5.917422839434774984e-01 -6.992505086825636873e+00 -6.653734299085299277e-08 7.017498579970576245e+00
4.500000000000000000e+01 5.575581591398937054e-01 -7.069863155374313202e+00 -6.842828653374652322e-08 7.091814728018682956e+00
5.500000000000000000e+01 5.156608579730185271e-01 -7.132903029073597523e+00 -6.810203355699464908e-08 7.151518142507419462e+00
6.500000000000000000e+01 4.655147219336408515e-01 -7.190543291582123686e+00 -6.672874990039786678e-08 7.205596212975970083e+00
7.500000000000000000e+01 4.070753914579478550e-01 -7.242809065005880953e+00 -6.480533163676210021e-08 7.254239693204382000e+00
8.500000000000000000e+01 3.294102099591878496e-01 -7.297008411498593361e+00 -6.303157029290397343e-08 7.304439940468165915e+00
9.500000000000000000e+01 2.325479798510352025e-01 -7.353147939352644435e+00 -6.127708773939771580e-08 7.356824259212587869e+00
1.050000000000000000e+02 1.354414677329685013e-01 -7.400886103357487755e+00 -5.953036101504189261e-08 7.402125337094180857e+00
1.150000000000000000e+02 3.813799496125905991e-02 -7.440127775425571244e+00 -5.763991158036223289e-08 7.440225522208229414e+00
1.250000000000000000e+02 -6.491583867388883711e-02 -7.470047423569932121e+00 -5.606890720678845377e-08 7.470329482458890169e+00
1.350000000000000000e+02 -1.737794933054925828e-01 -7.490642976795132135e+00 -5.590186325243135528e-08 7.492658508039969689e+00
1.450000000000000000e+02 -3.208246270013108692e-01 -7.508949070052626240e+00 -5.377199668448875940e-08 7.515799663238419193e+00
1.550000000000000000e+02 -5.060467666588271962e-01 -7.525003603477951941e+00 -5.114784304352567677e-08 7.541999904693848400e+00
1.650000000000000000e+02 -6.641326283896862304e-01 -7.532488274030084696e+00 -4.613365786552232775e-08 7.561709578295936929e+00
1.750000000000000000e+02 -7.947869942822837208e-01 -7.531344063388497823e+00 -4.501757101075557017e-08 7.573165108949985402e+00
1.850000000000000000e+02 -9.239707994146236780e-01 -7.525069834895064425e+00 -4.365793451301585258e-08 7.581582820112072518e+00
1.950000000000000000e+02 -1.051918539360245264e+00 -7.513683852760790316e+00 -4.263977046568584625e-08 7.586961028810417673e+00
2.050000000000000000e+02 -1.232622005940624987e+00 -7.485092125125013318e+00 -4.187698312637886711e-08 7.585905425928903156e+00
2.150000000000000000e+02 -1.466118047857304818e+00 -7.439275228728710943e+00 -4.114821819651300260e-08 7.582368894945004101e+00
2.250000000000000000e+02 -1.698396293785264577e+00 -7.390417589787981356e+00 -4.059690065405246875e-08 7.583061526994958612e+00
2.350000000000000000e+02 -1.929317287863841823e+00 -7.338529355091160333e+00 -4.006011595528340353e-08 7.587903418783410459e+00
2.450000000000000000e+02 -2.155930108767666553e+00 -7.276984062278159193e+00 -3.987862201820123709e-08 7.589633171408306289e+00
2.550000000000000000e+02 -2.378246538026517864e+00 -7.205782027134691070e+00 -3.954228861911994931e-08 7.588105904520076272e+00
2.650000000000000000e+02 -2.600438780362207325e+00 -7.133152912651945066e+00 -3.889160547236015697e-08 7.592374617054048258e+00
2.750000000000000000e+02 -2.822508586222196136e+00 -7.059097051414519264e+00 -3.768031021428640861e-08 7.602460516213628061e+00
2.850000000000000000e+02 -3.043964699955822084e+00 -6.973323337617038042e+00 -3.641185714889949777e-08 7.608742305107432990e+00
2.950000000000000000e+02 -3.264806392796770318e+00 -6.875827294494228248e+00 -3.639097580993913124e-08 7.611567628692427867e+00
3.050000000000000000e+02 -3.483973217178571780e+00 -6.772490101491015047e+00 -3.392004275946637228e-08 7.616081115167523841e+00
3.150000000000000000e+02 -3.701461794141451822e+00 -6.663320936896094615e+00 -3.085793426044972353e-08 7.622379242832693969e+00
