# z, uu, uv, uw, vv, vw, ww, tke

# time = 0.0 hrs
5.000000000000000000e+00 1.701888115469999893e-02 -5.276061774420000120e-19 0.000000000000000000e+00 1.701888115469999893e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.701888115469999893e-02
1.500000000000000000e+01 1.383926807560000027e-01 5.898722780070000089e-17 0.000000000000000000e+00 1.383926807560000027e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.383926807560000027e-01
2.500000000000000000e+01 3.138266603239999730e-01 2.804997151659999873e-17 0.000000000000000000e+00 3.138266603239999730e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.138266603239999730e-01
3.500000000000000000e+01 4.536957671810000203e-01 7.160466223479999808e-18 0.000000000000000000e+00 4.536957671810000203e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.536957671810000203e-01
4.500000000000000000e+01 4.998182323420000128e-01 6.019988740310000145e-18 0.000000000000000000e+00 4.998182323420000128e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.998182323420000128e-01
5.500000000000000000e+01 4.495836207319999778e-01 1.763409171770000069e-17 0.000000000000000000e+00 4.495836207319999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.495836207319999778e-01
6.500000000000000000e+01 3.416248521799999938e-01 -7.875069203449999548e-18 0.000000000000000000e+00 3.416248521799999938e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.416248521799999938e-01
7.500000000000000000e+01 2.235746292040000083e-01 1.692670694969999912e-18 0.000000000000000000e+00 2.235746292040000083e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.235746292040000083e-01
8.500000000000000000e+01 1.275424336800000114e-01 7.304830461860000002e-18 0.000000000000000000e+00 1.275424336800000114e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.275424336800000114e-01
9.500000000000000000e+01 6.393232840180000653e-02 3.695724502439999826e-18 0.000000000000000000e+00 6.393232840180000653e-02 0.000000000000000000e+00 0.000000000000000000e+00 6.393232840180000653e-02
1.050000000000000000e+02 2.831704813260000134e-02 2.947737292350000042e-18 0.000000000000000000e+00 2.831704813260000134e-02 0.000000000000000000e+00 0.000000000000000000e+00 2.831704813260000134e-02
1.150000000000000000e+02 1.112758033619999989e-02 2.597202876049999941e-18 0.000000000000000000e+00 1.112758033619999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.112758033619999989e-02
1.250000000000000000e+02 3.891350655209999988e-03 1.584397516180000052e-18 0.000000000000000000e+00 3.891350655209999988e-03 0.000000000000000000e+00 0.000000000000000000e+00 3.891350655209999988e-03
1.350000000000000000e+02 1.213843701630000016e-03 4.973235227509999660e-19 0.000000000000000000e+00 1.213843701630000016e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.213843701630000016e-03
1.450000000000000000e+02 3.383652341600000145e-04 1.707135314939999886e-19 0.000000000000000000e+00 3.383652341600000145e-04 0.000000000000000000e+00 0.000000000000000000e+00 3.383652341600000145e-04
1.550000000000000000e+02 8.441259102079999945e-05 6.796327169479999800e-20 0.000000000000000000e+00 8.441259102079999945e-05 0.000000000000000000e+00 0.000000000000000000e+00 8.441259102079999945e-05
1.650000000000000000e+02 1.886885012139999913e-05 -1.276932704199999980e-20 0.000000000000000000e+00 1.886885012139999913e-05 0.000000000000000000e+00 0.000000000000000000e+00 1.886885012139999913e-05
1.750000000000000000e+02 3.782918304770000102e-06 -1.002064392660000027e-20 0.000000000000000000e+00 3.782918304770000102e-06 0.000000000000000000e+00 0.000000000000000000e+00 3.782918304770000102e-06
1.850000000000000000e+02 6.807807195380000170e-07 -1.719468923509999915e-21 0.000000000000000000e+00 6.807807195380000170e-07 0.000000000000000000e+00 0.000000000000000000e+00 6.807807195380000170e-07
1.950000000000000000e+02 1.100488595140000003e-07 2.436797732289999866e-21 0.000000000000000000e+00 1.100488595140000003e-07 0.000000000000000000e+00 0.000000000000000000e+00 1.100488595140000003e-07
2.050000000000000000e+02 1.598881159959999988e-08 1.274397693240000014e-21 0.000000000000000000e+00 1.598881159969999939e-08 0.000000000000000000e+00 0.000000000000000000e+00 1.598881159965000129e-08
2.150000000000000000e+02 2.088897496860000188e-09 5.957493565690000373e-22 0.000000000000000000e+00 2.088897496840000201e-09 0.000000000000000000e+00 0.000000000000000000e+00 2.088897496850000401e-09
2.250000000000000000e+02 2.455141907519999915e-10 2.051843166340000078e-22 0.000000000000000000e+00 2.455141907540000108e-10 0.000000000000000000e+00 0.000000000000000000e+00 2.455141907530000011e-10
2.350000000000000000e+02 2.596918070249999893e-11 3.862523137020000258e-23 0.000000000000000000e+00 2.596918070229999894e-11 0.000000000000000000e+00 0.000000000000000000e+00 2.596918070239999732e-11
2.450000000000000000e+02 2.472892629340000063e-12 7.997148654780000283e-24 0.000000000000000000e+00 2.472892629400000141e-12 0.000000000000000000e+00 0.000000000000000000e+00 2.472892629369999900e-12
2.550000000000000000e+02 2.120526122119999937e-13 -2.457328797149999887e-24 0.000000000000000000e+00 2.120526121739999959e-13 0.000000000000000000e+00 0.000000000000000000e+00 2.120526121930000074e-13
2.650000000000000000e+02 1.637890240429999947e-14 -1.044760165750000040e-24 0.000000000000000000e+00 1.637890237369999976e-14 0.000000000000000000e+00 0.000000000000000000e+00 1.637890238900000119e-14
2.750000000000000000e+02 1.139797831079999980e-15 -5.038966552580000423e-25 0.000000000000000000e+00 1.139797826179999934e-15 0.000000000000000000e+00 0.000000000000000000e+00 1.139797828629999957e-15
2.850000000000000000e+02 7.147614972560000504e-17 -1.225486927070000042e-25 0.000000000000000000e+00 7.147615113570000346e-17 0.000000000000000000e+00 0.000000000000000000e+00 7.147615043064999809e-17
2.950000000000000000e+02 4.039839120869999845e-18 -2.663360929089999921e-26 0.000000000000000000e+00 4.039838411779999733e-18 0.000000000000000000e+00 0.000000000000000000e+00 4.039838766325000175e-18
3.050000000000000000e+02 2.058297934809999965e-19 -1.806644456299999946e-27 0.000000000000000000e+00 2.058296777209999906e-19 0.000000000000000000e+00 0.000000000000000000e+00 2.058297356010000056e-19
3.150000000000000000e+02 9.454899549569999289e-21 5.684482590830000478e-29 0.000000000000000000e+00 9.454916846879999462e-21 0.000000000000000000e+00 0.000000000000000000e+00 9.454908198224999375e-21
3.250000000000000000e+02 3.916248559740000129e-22 3.130709857979999817e-28 0.000000000000000000e+00 3.916296072830000225e-22 0.000000000000000000e+00 0.000000000000000000e+00 3.916272316285000412e-22
3.350000000000000000e+02 1.462857013950000011e-23 -1.464300516290000055e-29 0.000000000000000000e+00 1.462808602100000074e-23 0.000000000000000000e+00 0.000000000000000000e+00 1.462832808025000042e-23
3.450000000000000000e+02 4.928787775600000006e-25 1.405410202920000056e-28 0.000000000000000000e+00 4.929208025160000277e-25 0.000000000000000000e+00 0.000000000000000000e+00 4.928997900380000141e-25
3.550000000000000000e+02 1.495487794240000121e-26 1.190165654539999940e-28 0.000000000000000000e+00 1.702462501509999935e-26 0.000000000000000000e+00 0.000000000000000000e+00 1.598975147875000028e-26
3.650000000000000000e+02 1.271065032349999925e-27 1.006054124729999993e-27 0.000000000000000000e+00 1.593628620860000006e-27 0.000000000000000000e+00 0.000000000000000000e+00 1.432346826604999966e-27
3.750000000000000000e+02 6.735294408780000129e-28 -1.019589162229999952e-27 0.000000000000000000e+00 1.577990073239999984e-27 0.000000000000000000e+00 0.000000000000000000e+00 1.125759757059000043e-27
3.850000000000000000e+02 2.884003000720000033e-29 6.539443410970000088e-29 0.000000000000000000e+00 1.513959059990000083e-28 0.000000000000000000e+00 0.000000000000000000e+00 9.011796800310000433e-29
3.950000000000000000e+02 5.750795999060000316e-28 -1.541608293499999971e-27 0.000000000000000000e+00 4.133230520969999930e-27 0.000000000000000000e+00 0.000000000000000000e+00 2.354155060437999936e-27
4.050000000000000000e+02 1.164736065879999942e-29 -1.973950490269999909e-28 0.000000000000000000e+00 3.398194816170000132e-27 0.000000000000000000e+00 0.000000000000000000e+00 1.704921088414400232e-27
4.150000000000000000e+02 5.953192914570000284e-28 2.125007430250000199e-28 0.000000000000000000e+00 7.736459696399999667e-29 0.000000000000000000e+00 0.000000000000000000e+00 3.363419442105000181e-28
