# z, uu, uv, uw, vv, vw, ww, tke

# time = 0.0-1.0 hrs
5.000000000000000000e+00 1.140610160362067957e-02 -2.237383657368456884e-03 -3.856103725417246719e-04 3.559288401718415512e-02 1.758972954521296345e-03 1.612887755312974406e-03 2.430593668805893642e-02
1.500000000000000000e+01 1.799886672110515701e-02 -1.148571111094414624e-03 -2.460581750406355315e-04 4.892271263024737527e-02 2.293426383492468568e-03 3.203237985746067943e-03 3.506240866854939270e-02
2.500000000000000000e+01 3.459233649323781995e-02 9.743048918576164598e-04 -9.466129376179722998e-05 3.730464874338551562e-02 2.073985954545909307e-03 6.546148021611819870e-03 3.922156662911745889e-02
3.500000000000000000e+01 6.410926929889973480e-02 4.224924983149774501e-04 2.786325650158386253e-05 3.565599965389442544e-02 1.075360952565408094e-03 8.950852555417379217e-03 5.435806075410589550e-02
4.500000000000000000e+01 6.827217554175248060e-02 7.812652386093996626e-04 8.565221796337178090e-04 4.477943233114238530e-02 6.364985794067786222e-04 1.228216690080580382e-02 6.266688738685037563e-02
5.500000000000000000e+01 8.092929933422438049e-02 6.349437134227637995e-03 3.623231542967684030e-03 5.281505598632781073e-02 1.384320573630035914e-03 1.510583080929108445e-02 7.442509306492171850e-02
6.500000000000000000e+01 8.220496235811045049e-02 9.531046499505615305e-03 6.407128858842134345e-03 5.866961284608322724e-02 3.619873223732738513e-03 1.769190572793787053e-02 7.928324046606581577e-02
7.500000000000000000e+01 7.054339427217380665e-02 1.239816498695196952e-02 7.179007938380194132e-03 6.056033779833942116e-02 3.325172069056311387e-03 1.784324685752677886e-02 7.447348946402014558e-02
8.500000000000000000e+01 6.292244025095071469e-02 1.143021158812747469e-02 5.405542217355122775e-03 5.206640152117873038e-02 1.089834139280349001e-03 1.585747670136228998e-02 6.542315923674592304e-02
9.500000000000000000e+01 4.287404427068505081e-02 5.852022880278596670e-03 3.819844206521161474e-03 3.484933110504135484e-02 -4.285737534550352517e-05 1.241041367114429674e-02 4.506689452343540930e-02
1.050000000000000000e+02 3.064795157281441709e-02 3.049884064930541080e-03 2.326198794304170855e-03 2.056120369780349219e-02 2.332685147820039420e-06 8.910100554070442963e-03 3.005962791234417092e-02
1.150000000000000000e+02 1.866896607145407047e-02 5.695533949431400272e-04 1.064910267432033842e-03 1.405944551516810463e-02 -2.944247657000475279e-04 6.201474187782132948e-03 1.946494288720215793e-02
1.250000000000000000e+02 1.303170368807742702e-02 7.561141170529975079e-04 6.835539729137980747e-04 8.108554115141832289e-03 -3.116293829142383022e-04 4.151145882927607077e-03 1.264570184307343449e-02
1.350000000000000000e+02 7.415381646978050530e-03 3.035423162523951095e-04 1.391676635405713020e-04 4.528185230798915245e-03 -2.727240982959670281e-04 2.544958486046407058e-03 7.244262681911685549e-03
1.450000000000000000e+02 3.700315244351293567e-03 4.335897112143230155e-04 2.109982346908302478e-05 1.772114783269598468e-03 -1.553666537328301741e-04 1.657569304554688556e-03 3.564999666087792247e-03
1.550000000000000000e+02 2.009994417963445294e-03 1.350763334224910385e-04 -8.750745489093916720e-05 9.635949022744101514e-04 -1.157239812185547614e-04 1.027546059709009063e-03 2.000567689973429489e-03
1.650000000000000000e+02 1.249754367635726171e-03 -4.495760383429443861e-05 -1.427821201956399225e-05 5.159950224816903328e-04 -4.072774389433097972e-05 7.633199207549416256e-04 1.264534655436180474e-03
1.750000000000000000e+02 1.096880215520838319e-03 9.481588340122512940e-05 -5.251001001211755617e-05 4.008355407747471867e-04 -5.242497356983033589e-05 6.380452404155125381e-04 1.067880498355548453e-03
1.850000000000000000e+02 7.090001917564429674e-04 -2.997438725199230177e-05 -4.521782279003128179e-05 2.846799543159771293e-04 -3.745829370631786518e-05 4.331064970761721580e-04 7.133933215742961544e-04
1.950000000000000000e+02 5.223188550352093245e-04 -5.455464711775431330e-05 -2.930082737619727238e-05 1.920479895656371282e-04 -1.733510881482967412e-05 4.200145142038824025e-04 5.671906794023647393e-04
2.050000000000000000e+02 4.242110210719718258e-04 -2.863356234773049356e-05 -5.335596157074494402e-05 1.551309696487060148e-04 2.300314913138447976e-06 3.084531138403357950e-04 4.438975522805069804e-04
2.150000000000000000e+02 3.502903601542392315e-04 -3.481951206250333411e-05 -9.124979319871061504e-06 1.434751146921347002e-04 -1.969941210557340233e-06 2.772224717805776948e-04 3.854939733134757590e-04
2.250000000000000000e+02 2.864637029673404098e-04 -1.048292456569959342e-05 -3.866025496758098291e-05 1.220175658088500570e-04 6.628036175202927434e-06 2.695279243088816949e-04 3.390045965425359724e-04
2.350000000000000000e+02 2.331183273186940806e-04 -1.038626051853302440e-05 -2.078319843647656801e-05 1.233782174932353053e-04 1.168529264327593057e-05 2.039724156645682945e-04 2.802344802382489351e-04
