# z, uT, vT, wT

# time = 0.0-1.0 hrs
5.000000000000000000e+00 1.943215244615379041e-03 -7.999481782604407620e-03 -1.125929886062855155e-03
1.500000000000000000e+01 4.731120970244033020e-04 -8.367773292388174661e-03 -1.147786298700833414e-03
2.500000000000000000e+01 1.707328671055717703e-04 -7.937774305872145192e-03 -1.344186809963791168e-03
3.500000000000000000e+01 -9.856192049885247140e-04 -7.172758136677581144e-03 -7.315774610326340180e-04
4.500000000000000000e+01 -1.552680900391545903e-03 -1.080923489593849790e-02 -7.332212724496981566e-04
5.500000000000000000e+01 -6.693690157093724717e-03 -1.313821479115610466e-02 -8.810660501729508740e-04
6.500000000000000000e+01 -9.988612426222986604e-03 -1.627570648262484723e-02 -2.007412644760233570e-03
7.500000000000000000e+01 -1.019105666367125726e-02 -1.607699998642353467e-02 -2.413253534558092422e-03
8.500000000000000000e+01 -9.781426168998146389e-03 -1.358612256760723287e-02 -1.365136976035322093e-03
9.500000000000000000e+01 -7.030888780342722626e-03 -8.142900348142132969e-03 -7.045238004180650292e-04
1.050000000000000000e+02 -4.895869725412998509e-03 -4.516515690178610903e-03 -1.935017625515618824e-04
1.150000000000000000e+02 -3.444560643181524256e-03 -1.995583634979239320e-03 -9.334834112219495927e-06
1.250000000000000000e+02 -2.571735680869511285e-03 -1.216505434533459882e-03 4.631359113453230357e-05
1.350000000000000000e+02 -1.799611508574224406e-03 -7.371947720723544435e-04 5.642402001065882058e-05
1.450000000000000000e+02 -1.042946660319281349e-03 -3.634516817270911607e-04 2.771749863870715254e-07
1.550000000000000000e+02 -6.284724261343913737e-04 -1.885793479064197357e-04 2.974419131125193057e-05
1.650000000000000000e+02 -3.918986060249754900e-04 -4.528318886348402207e-05 -1.494113250760069994e-05
1.750000000000000000e+02 -4.229401217906159083e-04 -1.035791543800835651e-04 1.009253190158348704e-05
1.850000000000000000e+02 -2.520081960538909666e-04 -1.556032628242288730e-05 9.133923781427054204e-06
1.950000000000000000e+02 -1.824689686288030093e-04 1.662841277387590530e-05 -6.394832611589775473e-06
2.050000000000000000e+02 -1.570107725768133853e-04 1.368919381854997719e-05 7.236619771615084120e-06
