# z, u, v, w, u_mag

# time = 0.0-1.0 hrs
5.000000000000000000e+00 2.149197726337555903e+00 -4.033191760504240442e+00 -5.235610599700100259e-03 4.570086065261114605e+00
1.500000000000000000e+01 2.332131425339436515e+00 -5.762048705593691977e+00 9.791774378556904190e-04 6.216111507259959978e+00
2.500000000000000000e+01 2.414192165368692411e+00 -6.818732443072722305e+00 -6.644929033941312374e-04 7.233494034112426974e+00
3.500000000000000000e+01 2.397437168909633876e+00 -7.196381744196546748e+00 1.367469975939458434e-03 7.585223476409562515e+00
4.500000000000000000e+01 2.285328423714542367e+00 -7.534675085419022977e+00 -2.644695680827236894e-04 7.873630334672294673e+00
5.500000000000000000e+01 2.078816419557383277e+00 -7.840825224532292026e+00 -4.075790241957427326e-03 8.111721020096982926e+00
6.500000000000000000e+01 1.789045693662584258e+00 -8.121879869154673415e+00 2.730028327271295796e-03 8.316586866196526984e+00
7.500000000000000000e+01 1.417071386978739467e+00 -8.377026501020695903e+00 -3.659552194973146946e-03 8.496038154021961830e+00
8.500000000000000000e+01 1.061560008269333277e+00 -8.570710990605254764e+00 4.805764450759809382e-03 8.636202668745013966e+00
9.500000000000000000e+01 7.224719073081122822e-01 -8.703320794673867766e+00 -6.482369236311925301e-04 8.733255894101121797e+00
1.050000000000000000e+02 4.064405239774466216e-01 -8.803210833292054005e+00 2.161867020785472777e-03 8.812588432175965991e+00
1.150000000000000000e+02 1.129978739657341302e-01 -8.869794318419383927e+00 -3.316424163979947350e-03 8.870514064617989192e+00
1.250000000000000000e+02 -1.999264026954832851e-01 -8.922789616758922904e+00 3.880964204481663574e-03 8.925029137847987570e+00
1.350000000000000000e+02 -5.321698192069104216e-01 -8.961902304764377547e+00 -3.687198766076512160e-03 8.977688880587017195e+00
1.450000000000000000e+02 -8.513775438556993036e-01 -8.994434511348368133e+00 2.253548294510944027e-03 9.034638670202385313e+00
1.550000000000000000e+02 -1.157294368104650140e+00 -9.020243934926352125e+00 -1.308425797887897025e-03 9.094181156103191555e+00
1.650000000000000000e+02 -1.456075464950317810e+00 -9.044036997104356601e+00 -1.250383177852647687e-04 9.160500039005658124e+00
1.750000000000000000e+02 -1.747670926380835876e+00 -9.065811447003747858e+00 4.244154235608219223e-04 9.232729328835599603e+00
1.850000000000000000e+02 -2.024758094198996439e+00 -9.086558128908524878e+00 -4.387025060272245328e-04 9.309413728589891690e+00
1.950000000000000000e+02 -2.287425882476080918e+00 -9.106327986068174951e+00 1.216184920658396399e-04 9.389223959288113264e+00
2.050000000000000000e+02 -2.546436036957719029e+00 -9.127501667856829926e+00 1.206363041495447442e-04 9.476055254537413930e+00
2.150000000000000000e+02 -2.801810271614682879e+00 -9.150080086300123483e+00 -2.499674475326753341e-04 9.569436053594360558e+00
2.250000000000000000e+02 -3.050116524015378694e+00 -9.175119423976097366e+00 1.892454576432830461e-04 9.668817262431591786e+00
2.350000000000000000e+02 -3.291347686050666965e+00 -9.202608016251760503e+00 -8.442702863649933695e-05 9.773482689975576676e+00
2.450000000000000000e+02 -3.517647598624450644e+00 -9.226613699470963326e+00 -3.193552310328631229e-05 9.874423780017425045e+00
2.550000000000000000e+02 -3.729002457729833520e+00 -9.247136695385147931e+00 8.011459784363969138e-05 9.970706915404429438e+00
2.650000000000000000e+02 -3.903227576437753754e+00 -9.257301782889266306e+00 -7.891505514203679629e-05 1.004653282545520376e+01
2.750000000000000000e+02 -4.040325025151942917e+00 -9.257116193180619845e+00 7.201503699485042799e-05 1.010041714598540175e+01
2.850000000000000000e+02 -4.177857909839183925e+00 -9.258109102406253399e+00 -5.850131009693545586e-05 1.015711971313045758e+01
2.950000000000000000e+02 -4.315828189019757843e+00 -9.260276131455453807e+00 4.598088533790406129e-06 1.021660838967321716e+01
3.050000000000000000e+02 -4.410162235074015058e+00 -9.231005267169162920e+00 4.258610756772315652e-05 1.023039535805815703e+01
3.150000000000000000e+02 -4.460860215168701792e+00 -9.170291529593765034e+00 -5.909004672871678062e-05 1.019772134336951375e+01
3.250000000000000000e+02 -4.511546121933447395e+00 -9.109571136713455530e+00 6.980705108494077952e-05 1.016554645383983413e+01
3.350000000000000000e+02 -4.562232422619281635e+00 -9.048850511940566221e+00 -5.560499714971208293e-05 1.013388673044284793e+01
3.450000000000000000e+02 -4.612910523111491301e+00 -8.988120116014480132e+00 -9.402432822399905239e-06 1.010273461564426611e+01
3.550000000000000000e+02 -4.643466806453863782e+00 -8.902498658932000097e+00 6.393725669898222836e-05 1.004073036959587384e+01
