# z, u, v, w, u_mag

# time = 0.0 hrs
5.000000000000000000e+00 2.119709276410000065e+00 -4.395592404160000299e+00 0.000000000000000000e+00 4.880000000000788596e+00
1.500000000000000000e+01 2.208691446160000016e+00 -5.312691704129999692e+00 0.000000000000000000e+00 5.753521621361309180e+00
2.500000000000000000e+01 2.288027345929999790e+00 -6.423523551229999740e+00 0.000000000000000000e+00 6.818850632542844181e+00
3.500000000000000000e+01 2.268734805939999877e+00 -6.810988645510000161e+00 0.000000000000000000e+00 7.178908269991318924e+00
4.500000000000000000e+01 2.162937247049999900e+00 -7.159269299470000014e+00 0.000000000000000000e+00 7.478865852320784491e+00
5.500000000000000000e+01 1.970634669230000080e+00 -7.468365513110000187e+00 0.000000000000000000e+00 7.723981126140976095e+00
6.500000000000000000e+01 1.698787627670000022e+00 -7.758778009860000324e+00 0.000000000000000000e+00 7.942576131848644749e+00
7.500000000000000000e+01 1.347396122369999949e+00 -8.030506789709999538e+00 0.000000000000000000e+00 8.142758476717586902e+00
8.500000000000000000e+01 1.009211980009999898e+00 -8.248276092890000299e+00 0.000000000000000000e+00 8.309787441633897487e+00
9.500000000000000000e+01 6.842352006020000488e-01 -8.412085919400000833e+00 0.000000000000000000e+00 8.439867731493817971e+00
1.050000000000000000e+02 3.842954239310000242e-01 -8.542981799770000606e+00 0.000000000000000000e+00 8.551620957693096159e+00
1.150000000000000000e+02 1.093926499999999941e-01 -8.640963733990000506e+00 0.000000000000000000e+00 8.641656149373478257e+00
1.250000000000000000e+02 -1.903944761230000060e-01 -8.730997239549999733e+00 0.000000000000000000e+00 8.733072933026946316e+00
1.350000000000000000e+02 -5.150659544379999621e-01 -8.813082316419999174e+00 0.000000000000000000e+00 8.828120573112718361e+00
1.450000000000000000e+02 -8.280931840840000113e-01 -8.887919423799999663e+00 0.000000000000000000e+00 8.926413053712430212e+00
1.550000000000000000e+02 -1.129476165060000037e+00 -8.955508561660000311e+00 0.000000000000000000e+00 9.026452791955664523e+00
1.650000000000000000e+02 -1.423855008779999931e+00 -9.020261826849999665e+00 0.000000000000000000e+00 9.131948669969361276e+00
1.750000000000000000e+02 -1.711229715230000004e+00 -9.082179219369999501e+00 0.000000000000000000e+00 9.241984987601007617e+00
1.850000000000000000e+02 -1.981845114490000004e+00 -9.137814614939999913e+00 0.000000000000000000e+00 9.350260210006934969e+00
1.950000000000000000e+02 -2.235701206579999933e+00 -9.187168013579999126e+00 0.000000000000000000e+00 9.455285082685277231e+00
2.050000000000000000e+02 -2.490447850549999842e+00 -9.240705218509999597e+00 0.000000000000000000e+00 9.570421277650584813e+00
2.150000000000000000e+02 -2.746085046390000173e+00 -9.298426229729999548e+00 0.000000000000000000e+00 9.695448077924899266e+00
2.250000000000000000e+02 -3.003804846269999995e+00 -9.357742823920000674e+00 0.000000000000000000e+00 9.828031049661037244e+00
2.350000000000000000e+02 -3.263607250210000199e+00 -9.418655001090000312e+00 0.000000000000000000e+00 9.968058703337423054e+00
2.450000000000000000e+02 -3.509219797840000155e+00 -9.477239076489999192e+00 0.000000000000000000e+00 1.010607164542688352e+01
2.550000000000000000e+02 -3.740642489189999864e+00 -9.533495050120000869e+00 0.000000000000000000e+00 1.024109047429013408e+01
2.650000000000000000e+02 -3.935829660530000051e+00 -9.579868058600000680e+00 0.000000000000000000e+00 1.035686376935084674e+01
2.750000000000000000e+02 -4.094781311880000274e+00 -9.616358101939999514e+00 0.000000000000000000e+00 1.045186955223173264e+01
2.850000000000000000e+02 -4.254210331230000364e+00 -9.653571232999999197e+00 0.000000000000000000e+00 1.054939538992397452e+01
2.950000000000000000e+02 -4.414116718589999877e+00 -9.691507451759999725e+00 0.000000000000000000e+00 1.064940106733028280e+01
3.050000000000000000e+02 -4.528099840870000392e+00 -9.699591399739999176e+00 0.000000000000000000e+00 1.070447390070138383e+01
3.150000000000000000e+02 -4.596159698090000134e+00 -9.677823076939999325e+00 0.000000000000000000e+00 1.071377354058313003e+01
3.250000000000000000e+02 -4.664219555299999875e+00 -9.656054754130000362e+00 0.000000000000000000e+00 1.072354127491471409e+01
3.350000000000000000e+02 -4.732279412509999617e+00 -9.634286431319999622e+00 0.000000000000000000e+00 1.073377582581183987e+01
3.450000000000000000e+02 -4.800339269730000247e+00 -9.612518108510000658e+00 0.000000000000000000e+00 1.074447585929367932e+01
3.550000000000000000e+02 -4.835467850869999751e+00 -9.557178627660000814e+00 0.000000000000000000e+00 1.071080821683398554e+01
3.650000000000000000e+02 -4.837665155939999906e+00 -9.468267988779999200e+00 0.000000000000000000e+00 1.063254921777238060e+01
3.750000000000000000e+02 -4.839862461010000061e+00 -9.379357349890000251e+00 0.000000000000000000e+00 1.055445938636505154e+01
3.850000000000000000e+02 -4.842059766080000216e+00 -9.290446710999999524e+00 0.000000000000000000e+00 1.047654250543667764e+01
3.950000000000000000e+02 -4.844257071150000371e+00 -9.201536072119999687e+00 0.000000000000000000e+00 1.039880246268349495e+01
4.050000000000000000e+02 -4.823580475540000023e+00 -9.099555573019999954e+00 0.000000000000000000e+00 1.029897277549999224e+01
4.150000000000000000e+02 -4.780029979260000061e+00 -8.984505213709999438e+00 0.000000000000000000e+00 1.017693571453640011e+01
4.250000000000000000e+02 -4.736479482980000100e+00 -8.869454854389999809e+00 0.000000000000000000e+00 1.005492254106180638e+01
4.350000000000000000e+02 -4.692928986700000138e+00 -8.754404495079999293e+00 0.000000000000000000e+00 9.932934135374400952e+00
4.450000000000000000e+02 -4.649378490420000176e+00 -8.639354135770000553e+00 0.000000000000000000e+00 9.810971421343881005e+00
4.550000000000000000e+02 -4.589903928480000062e+00 -8.519213240199999149e+00 0.000000000000000000e+00 9.676993970478390494e+00
4.650000000000000000e+02 -4.514505300869999793e+00 -8.393981808379999521e+00 0.000000000000000000e+00 9.530985715601389074e+00
4.750000000000000000e+02 -4.439106673260000413e+00 -8.268750376559999893e+00 0.000000000000000000e+00 9.384982730215469360e+00
4.900000000000000000e+02 -4.326008731850000011e+00 -8.080903228829999563e+00 0.000000000000000000e+00 9.165988683265846149e+00
5.100000000000000000e+02 -4.152265358910000259e+00 -7.833322965859999876e+00 0.000000000000000000e+00 8.865791352060666597e+00
5.300000000000000000e+02 -3.955575868239999959e+00 -7.588625303579999759e+00 0.000000000000000000e+00 8.557675762000876318e+00
5.500000000000000000e+02 -3.758886377580000104e+00 -7.343927641289999642e+00 0.000000000000000000e+00 8.250000000003623768e+00
5.700000000000000000e+02 -3.632318568560000127e+00 -7.174816718549999806e+00 0.000000000000000000e+00 8.041873732426440213e+00
5.900000000000000000e+02 -3.505750759550000151e+00 -7.005705795809999969e+00 0.000000000000000000e+00 7.833913586805206997e+00
6.100000000000000000e+02 -3.389342169749999911e+00 -6.849197156479999826e+00 0.000000000000000000e+00 7.641933134487591595e+00
6.300000000000000000e+02 -3.283092799159999853e+00 -6.705290800560000264e+00 0.000000000000000000e+00 7.465897337090218855e+00
6.500000000000000000e+02 -3.176843428579999795e+00 -6.561384444639999813e+00 0.000000000000000000e+00 7.290000000005190550e+00
6.700000000000000000e+02 -3.131528647050000114e+00 -6.507714459589999834e+00 0.000000000000000000e+00 7.221967817350861019e+00
6.900000000000000000e+02 -3.086213865529999989e+00 -6.454044474549999855e+00 0.000000000000000000e+00 7.153978340983358386e+00
7.100000000000000000e+02 -3.032494838259999881e+00 -6.402016638330000120e+00 0.000000000000000000e+00 7.083914312124878876e+00
7.300000000000000000e+02 -2.970371565219999788e+00 -6.351630950919999741e+00 0.000000000000000000e+00 7.011870147981379198e+00
7.500000000000000000e+02 -2.908248292190000139e+00 -6.301245263520000250e+00 0.000000000000000000e+00 6.940000000004271641e+00
7.700000000000000000e+02 -2.751283233100000114e+00 -6.238719363320000433e+00 0.000000000000000000e+00 6.818444010403040600e+00
7.900000000000000000e+02 -2.594318174010000089e+00 -6.176193463129999728e+00 0.000000000000000000e+00 6.698944131876927166e+00
8.200000000000000000e+02 -2.359752315470000195e+00 -6.084667497459999908e+00 0.000000000000000000e+00 6.526224754405272499e+00
8.600000000000000000e+02 -2.058697790230000102e+00 -5.963741825009999609e+00 0.000000000000000000e+00 6.309077043979688604e+00
9.000000000000000000e+02 -1.790979663209999906e+00 -5.841617228639999659e+00 0.000000000000000000e+00 6.109999999997993037e+00
9.400000000000000000e+02 -1.525646709739999940e+00 -5.716891867010000183e+00 0.000000000000000000e+00 5.916962945804677965e+00
9.800000000000000000e+02 -1.331931790100000068e+00 -5.592987448449999732e+00 0.000000000000000000e+00 5.749395697984112985e+00
1.020000000000000000e+03 -1.228184023569999894e+00 -5.461607221280000424e+00 0.000000000000000000e+00 5.597998699114750565e+00
1.060000000000000000e+03 -1.191244043219999993e+00 -5.324365375730000238e+00 0.000000000000000000e+00 5.455999360775218854e+00
1.100000000000000000e+03 -1.156443995919999912e+00 -5.192787044000000130e+00 0.000000000000000000e+00 5.320000000003164864e+00
1.160000000000000000e+03 -1.099580168089999921e+00 -4.998473239700000015e+00 0.000000000000000000e+00 5.117988987293138337e+00
1.240000000000000000e+03 -1.004430083019999920e+00 -4.765279847010000402e+00 0.000000000000000000e+00 4.869986838996099188e+00
1.320000000000000000e+03 -9.092106464250000464e-01 -4.529627337510000018e+00 0.000000000000000000e+00 4.619977036338005050e+00
1.400000000000000000e+03 -8.120930037960000236e-01 -4.304056801809999833e+00 0.000000000000000000e+00 4.380000000002435279e+00
