# z, uu, uv, uw, vv, vw, ww, tke

# time = 0.0 hrs
5.000000000000000000e+00 1.701888115469999893e-02 -4.682814982339999746e-19 0.000000000000000000e+00 1.701888115469999893e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.701888115469999893e-02
1.500000000000000000e+01 1.383926807560000027e-01 1.398889469869999960e-17 0.000000000000000000e+00 1.383926807560000027e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.383926807560000027e-01
2.500000000000000000e+01 3.138266603239999730e-01 1.140477483180000016e-17 0.000000000000000000e+00 3.138266603239999730e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.138266603239999730e-01
3.500000000000000000e+01 4.536957671810000203e-01 -2.315602383560000041e-17 0.000000000000000000e+00 4.536957671810000203e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.536957671810000203e-01
4.500000000000000000e+01 4.998182323420000128e-01 1.691948873769999958e-17 0.000000000000000000e+00 4.998182323420000128e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.998182323420000128e-01
5.500000000000000000e+01 4.495836207319999778e-01 1.541810065860000137e-17 0.000000000000000000e+00 4.495836207319999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.495836207319999778e-01
6.500000000000000000e+01 3.416248521799999938e-01 3.089394701259999946e-18 0.000000000000000000e+00 3.416248521799999938e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.416248521799999938e-01
7.500000000000000000e+01 2.235746292040000083e-01 6.164352978680000140e-18 0.000000000000000000e+00 2.235746292040000083e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.235746292040000083e-01
8.500000000000000000e+01 1.275424336800000114e-01 1.400333112249999971e-18 0.000000000000000000e+00 1.275424336800000114e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.275424336800000114e-01
9.500000000000000000e+01 6.393232840180000653e-02 2.789838906630000136e-18 0.000000000000000000e+00 6.393232840180000653e-02 0.000000000000000000e+00 0.000000000000000000e+00 6.393232840180000653e-02
1.050000000000000000e+02 2.831704813260000134e-02 -4.998611753789999564e-19 0.000000000000000000e+00 2.831704813260000134e-02 0.000000000000000000e+00 0.000000000000000000e+00 2.831704813260000134e-02
1.150000000000000000e+02 1.112758033619999989e-02 3.031649005909999792e-19 0.000000000000000000e+00 1.112758033619999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.112758033619999989e-02
1.250000000000000000e+02 3.891350655209999988e-03 2.828636795689999894e-19 0.000000000000000000e+00 3.891350655209999988e-03 0.000000000000000000e+00 0.000000000000000000e+00 3.891350655209999988e-03
1.350000000000000000e+02 1.213843701630000016e-03 4.460629396720000005e-20 0.000000000000000000e+00 1.213843701630000016e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.213843701630000016e-03
1.450000000000000000e+02 3.383652341600000145e-04 2.044220172329999970e-20 0.000000000000000000e+00 3.383652341600000145e-04 0.000000000000000000e+00 0.000000000000000000e+00 3.383652341600000145e-04
1.550000000000000000e+02 8.441259102079999945e-05 8.212125864690000047e-21 0.000000000000000000e+00 8.441259102079999945e-05 0.000000000000000000e+00 0.000000000000000000e+00 8.441259102079999945e-05
1.650000000000000000e+02 1.886885012139999913e-05 -1.087313660619999956e-21 0.000000000000000000e+00 1.886885012139999913e-05 0.000000000000000000e+00 0.000000000000000000e+00 1.886885012139999913e-05
1.750000000000000000e+02 3.782918304770000102e-06 4.339562219270000014e-22 0.000000000000000000e+00 3.782918304770000102e-06 0.000000000000000000e+00 0.000000000000000000e+00 3.782918304770000102e-06
1.850000000000000000e+02 6.807807195380000170e-07 3.083952846179999978e-24 0.000000000000000000e+00 6.807807195380000170e-07 0.000000000000000000e+00 0.000000000000000000e+00 6.807807195380000170e-07
1.950000000000000000e+02 1.100488595140000003e-07 9.850751167150000233e-23 0.000000000000000000e+00 1.100488595140000003e-07 0.000000000000000000e+00 0.000000000000000000e+00 1.100488595140000003e-07
