# z, uT, vT, wT

# time = 0.0 hrs
5.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.500000000000000000e+01 2.061187937589999894e-17 -4.116760472270000160e-17 0.000000000000000000e+00
2.500000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.500000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.500000000000000000e+01 -3.581823350859999999e-29 -2.277700900990000146e-28 0.000000000000000000e+00
5.500000000000000000e+01 -1.005746586060000060e-29 9.262781629219999876e-29 0.000000000000000000e+00
6.500000000000000000e+01 -1.769903913839999990e-29 -2.314858379300000223e-28 0.000000000000000000e+00
7.500000000000000000e+01 7.818826266280000640e-30 2.381508785409999837e-28 0.000000000000000000e+00
8.500000000000000000e+01 1.911706304570000065e-29 -6.261921360159999601e-28 0.000000000000000000e+00
9.500000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.050000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.150000000000000000e+02 -2.908261994930000004e-30 -1.311347970989999938e-27 0.000000000000000000e+00
1.250000000000000000e+02 -1.838179139009999945e-31 -2.530495666469999925e-28 0.000000000000000000e+00
1.350000000000000000e+02 -4.841632553630000306e-31 2.027474662619999997e-28 0.000000000000000000e+00
1.450000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.550000000000000000e+02 -7.673166981820000694e-30 -5.039034221579999949e-28 0.000000000000000000e+00
1.650000000000000000e+02 -1.454705428449999924e-29 -2.518930627020000138e-28 0.000000000000000000e+00
1.750000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.850000000000000000e+02 6.813931068990000184e-31 -1.517574014329999974e-28 0.000000000000000000e+00
1.950000000000000000e+02 -3.234495196889999774e-29 -8.078841952940000561e-28 0.000000000000000000e+00
2.050000000000000000e+02 -9.589958539229999337e-30 -7.573035635999999826e-28 0.000000000000000000e+00
2.150000000000000000e+02 -1.102286732509999946e-29 -1.009749105009999933e-28 0.000000000000000000e+00
2.250000000000000000e+02 -9.596721406199999444e-30 -1.510329243999999957e-28 0.000000000000000000e+00
2.350000000000000000e+02 -6.418270053470000522e-29 -9.124676778820000549e-28 0.000000000000000000e+00
2.450000000000000000e+02 -7.192555674110000139e-29 -2.615940279369999981e-27 0.000000000000000000e+00
2.550000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.650000000000000000e+02 5.993750437159999733e-30 -1.009741954899999999e-28 0.000000000000000000e+00
2.750000000000000000e+02 -4.945720152629999831e-30 -3.029225877439999826e-28 0.000000000000000000e+00
2.850000000000000000e+02 -1.763215553219999993e-29 2.817360375790000042e-38 0.000000000000000000e+00
2.950000000000000000e+02 -6.533468116249999601e-30 -5.048709793890000023e-29 0.000000000000000000e+00
3.050000000000000000e+02 4.899452266039999672e-31 -5.048709793520000055e-29 0.000000000000000000e+00
3.150000000000000000e+02 -7.863316669280000138e-29 -1.413638742159999929e-27 0.000000000000000000e+00
3.250000000000000000e+02 -3.249883293689999799e-28 -8.885729236409999291e-27 0.000000000000000000e+00
