# z, uu, uv, uw, vv, vw, ww, tke

# time = 0.0-1.0 hrs
5.000000000000000000e+00 1.198767852284451096e-01 4.326293653058015803e-03 3.492986572522576664e-03 2.270643870879371640e-01 6.207238951409980001e-04 1.674206384214449450e-02 1.818416180792633563e-01
1.500000000000000000e+01 1.259191584332456093e-01 6.027371857026963837e-04 1.041579490359185317e-02 1.880607978237923972e-01 -2.575430611744884322e-04 4.783673428315268761e-02 1.809083452700953332e-01
2.500000000000000000e+01 1.454767720277810594e-01 -1.114016128339917233e-04 1.847317004992327441e-02 1.683555374348640887e-01 9.980050146060579289e-03 8.353337694426811455e-02 1.986828432034564995e-01
3.500000000000000000e+01 1.745381391082647393e-01 5.335512379016170816e-04 2.437729396295608766e-02 1.582235959618926990e-01 1.519861705433209371e-02 1.042444495300849372e-01 2.185030923001211323e-01
4.500000000000000000e+01 1.852371269581093993e-01 3.979063632710109371e-04 3.127564374995171065e-02 1.484146882212312168e-01 1.619219637915377333e-02 1.283527088330553012e-01 2.310022620061980003e-01
5.500000000000000000e+01 1.741685701216741655e-01 2.225871593071572681e-03 3.668919040524586117e-02 1.365160941375980763e-01 1.441746914753261506e-02 1.451831016981364464e-01 2.279338829787044551e-01
6.500000000000000000e+01 1.550096613251727706e-01 3.397574677755996284e-03 4.349773111326306341e-02 1.280989750012201667e-01 1.261769532687757010e-02 1.655678235732200021e-01 2.243382299498065113e-01
7.500000000000000000e+01 1.373864094073073694e-01 5.537309064990986358e-03 4.992977089392026252e-02 1.201544870114374663e-01 9.835070898706306866e-03 1.806473535096894123e-01 2.190941249642171240e-01
8.500000000000000000e+01 1.250533151646196772e-01 7.936492489988762958e-03 5.823960677812566739e-02 1.119373137283875830e-01 5.770434769162936968e-03 1.969520787403207240e-01 2.169713538166641587e-01
9.500000000000000000e+01 1.167714419485865185e-01 9.286871609428756086e-03 6.589313076480830811e-02 1.058737821245509247e-01 2.789499401661387715e-03 2.090533915020765521e-01 2.158493077876070254e-01
1.050000000000000000e+02 1.121587425188616816e-01 9.756647160641871569e-03 7.490716605992581156e-02 1.009579586576717231e-01 9.053074466202009436e-04 2.219309282889841417e-01 2.175238147327588079e-01
1.150000000000000000e+02 1.108558076676841309e-01 8.158878566125992923e-03 8.258827607157721851e-02 9.641590184523160523e-02 -9.718407152635422618e-04 2.311633910012498572e-01 2.192175502570826440e-01
1.250000000000000000e+02 1.140738169727663759e-01 5.392776033467759113e-03 9.055890282193856944e-02 9.266698382275746770e-02 -2.477026511982395075e-03 2.421016286274014218e-01 2.244212147114625910e-01
1.350000000000000000e+02 1.181667738555937791e-01 3.425586876377003081e-03 9.770378425762375751e-02 8.963846024803008572e-02 -2.370688442868932634e-03 2.496629933044572369e-01 2.287341137040405648e-01
1.450000000000000000e+02 1.225918408058647158e-01 2.234979757764624271e-03 1.047224442414651097e-01 8.652349257138297611e-02 -1.033615195894925379e-03 2.576967494063314712e-01 2.334060413917895260e-01
1.550000000000000000e+02 1.264962581903479877e-01 1.397069027299352797e-03 1.103709293284567128e-01 8.258620889443855917e-02 6.830858768660508489e-04 2.630794924756094111e-01 2.360809797801980414e-01
1.650000000000000000e+02 1.298410053709253276e-01 1.588344648952773244e-03 1.160376664743812541e-01 7.773694197959542251e-02 2.375851974933882328e-03 2.685707670142332693e-01 2.380743571823769889e-01
1.750000000000000000e+02 1.323428831406875950e-01 2.639214660214790360e-03 1.204780520325707815e-01 7.285298852056286412e-02 4.457551590141353888e-03 2.717270983310886567e-01 2.384614849961696481e-01
1.850000000000000000e+02 1.347702040595619710e-01 3.974126890768404051e-03 1.235573537029098917e-01 6.929005478486101322e-02 6.433804927247196992e-03 2.740283200741313596e-01 2.390442894592771650e-01
1.950000000000000000e+02 1.364470061706582749e-01 5.275962941870370251e-03 1.248194495959851075e-01 6.710240242852760773e-02 8.256361337777398321e-03 2.736299069807898166e-01 2.385896577899878912e-01
2.050000000000000000e+02 1.366471531643281834e-01 6.816826364755937048e-03 1.247323763119439904e-01 6.561968205020837774e-02 9.903901779496173882e-03 2.719255171320775766e-01 2.370961761733069995e-01
2.150000000000000000e+02 1.350636323000642958e-01 7.953611965599544087e-03 1.226879579246390045e-01 6.520232383732570136e-02 1.157935246354331940e-02 2.678454633629901993e-01 2.340557097501899941e-01
2.250000000000000000e+02 1.322926050607453052e-01 8.871999616173954079e-03 1.191745102741327000e-01 6.562197620148121913e-02 1.308451342562254836e-02 2.626340487816163916e-01 2.302743150219213053e-01
2.350000000000000000e+02 1.286446153598614084e-01 9.021882288840731012e-03 1.143255124306572640e-01 6.637847975185737215e-02 1.395829663948652995e-02 2.555950959465337347e-01 2.253090955291262298e-01
2.450000000000000000e+02 1.247818514695714226e-01 8.637124066203642758e-03 1.092326676938734642e-01 6.692546458007084254e-02 1.410055792706648575e-02 2.472903624982734083e-01 2.194988392739578575e-01
2.550000000000000000e+02 1.212901422846242028e-01 7.992700012760641654e-03 1.039599699927279408e-01 6.755460184600606266e-02 1.359613577976375061e-02 2.375278394510106084e-01 2.131862917908204091e-01
2.650000000000000000e+02 1.176451618223091772e-01 7.174026775135924211e-03 9.872675567959242338e-02 6.815109433394547778e-02 1.322582964597756802e-02 2.267839562560748090e-01 2.062901062061647528e-01
2.750000000000000000e+02 1.140065998340781400e-01 6.238896396863578310e-03 9.342285353778970181e-02 6.847637876619384889e-02 1.252697214489647409e-02 2.149437021966484340e-01 1.987133403984602253e-01
2.850000000000000000e+02 1.105196538944900470e-01 5.570677834667402475e-03 8.819281030407857824e-02 6.866055815363479586e-02 1.171563291029419779e-02 2.026637875887241091e-01 1.909219998184244760e-01
2.950000000000000000e+02 1.068793488558259508e-01 4.840391788011414245e-03 8.278899075803421159e-02 6.861944561081748106e-02 1.038616293848598944e-02 1.897418759172047886e-01 1.826203351919241380e-01
3.050000000000000000e+02 1.031638850087342046e-01 4.005216271100730217e-03 7.736461536513952741e-02 6.834705653307598938e-02 8.391701010174085207e-03 1.766435127942919681e-01 1.740772271680511019e-01
3.150000000000000000e+02 9.890328678229551307e-02 3.413065271621560596e-03 7.145946152054115375e-02 6.787599470548076608e-02 6.510232753199803220e-03 1.632299243173196690e-01 1.650046029025480365e-01
3.250000000000000000e+02 9.409556245594946633e-02 3.001601350109943649e-03 6.511420127559157389e-02 6.725648774489170756e-02 4.956723202498273043e-03 1.498683117073775495e-01 1.556101809541093339e-01
3.350000000000000000e+02 8.906871907228998408e-02 2.594217437587575340e-03 5.864988283885368137e-02 6.624528670034993127e-02 3.560770203324795796e-03 1.367708120018877038e-01 1.460424088872638304e-01
3.450000000000000000e+02 8.392189853479196937e-02 2.231718961447438313e-03 5.228619958370538112e-02 6.494779983809556567e-02 2.363247859849652160e-03 1.240546592081239741e-01 1.364621787905057615e-01
3.550000000000000000e+02 7.875390089635071755e-02 1.891951838836033193e-03 4.616616299358686920e-02 6.326859198128291506e-02 1.224539267014311452e-03 1.118610903552485492e-01 1.269417916164410354e-01
3.650000000000000000e+02 7.332990393836386067e-02 1.540509758788062133e-03 4.013599245939941662e-02 6.131005433716692904e-02 2.159755319186482927e-04 1.003078854902803574e-01 1.174739218829055631e-01
3.750000000000000000e+02 6.765917429453451037e-02 1.228752915948187144e-03 3.427432906516449801e-02 5.901173751021052821e-02 -4.835375562752925144e-04 8.940506625756032555e-02 1.080379890311525953e-01
3.850000000000000000e+02 6.197028420028682927e-02 8.337465304709095045e-04 2.881933862423960435e-02 5.650561799744071440e-02 -9.762077106592706747e-04 7.918361283016689400e-02 9.882975751394725006e-02
3.950000000000000000e+02 5.620972615192548066e-02 4.441356412875656010e-04 2.377125818862748513e-02 5.382946363327559963e-02 -1.377944930168300327e-03 6.962318262980056460e-02 8.983118620750081551e-02
4.050000000000000000e+02 5.055500941631926176e-02 -1.472478228251425226e-05 1.924534177480292929e-02 5.084371767824422822e-02 -1.777657793987321181e-03 6.073585877258459720e-02 8.106729293357407828e-02
4.150000000000000000e+02 4.509938224303227522e-02 -4.336049830513355159e-04 1.524932297796821080e-02 4.746894502464565901e-02 -2.032503665689659386e-03 5.256702217785491627e-02 7.256767472276645647e-02
4.250000000000000000e+02 3.981763325753057137e-02 -5.128677301719172538e-04 1.186317476075099929e-02 4.374781410295671552e-02 -2.064451490227098198e-03 4.503166362997325367e-02 6.429855549523028069e-02
4.350000000000000000e+02 3.467468849438778977e-02 -4.437405781960800208e-04 9.099716193868475841e-03 3.955338544376768573e-02 -1.973877012606450789e-03 3.822331236519670161e-02 5.622569315167608855e-02
4.450000000000000000e+02 2.995273081531368495e-02 -8.822931472663040275e-05 6.945439593168238786e-03 3.493345393787471165e-02 -1.779585656990209826e-03 3.206693561311181606e-02 4.847656018315010112e-02
4.550000000000000000e+02 2.563162012420589983e-02 2.088260171075456684e-04 5.336280313597766348e-03 2.982129839973072030e-02 -1.720559935076201993e-03 2.661041613621687590e-02 4.103166733007674455e-02
4.650000000000000000e+02 2.141473237721959466e-02 4.178180215854189212e-04 3.979715917677305662e-03 2.424502974292373769e-02 -1.518040339623798717e-03 2.170459904131249312e-02 3.368218058072791621e-02
4.750000000000000000e+02 1.733623168473977585e-02 5.003498995791138670e-04 2.901501380486793454e-03 1.907868291609896363e-02 -1.226824235533826224e-03 1.738325253706343720e-02 2.689908356895108835e-02
4.850000000000000000e+02 1.352688619835615974e-02 5.966909446967342320e-04 2.079540013656444412e-03 1.456681930485378453e-02 -8.954790327282988269e-04 1.358189653990071050e-02 2.083780102155534039e-02
4.950000000000000000e+02 1.057340300374697006e-02 4.560217362368112386e-04 1.777984319329245586e-03 1.132262248393592526e-02 -9.229478420271037750e-04 1.057230034764018722e-02 1.623416291766154387e-02
5.050000000000000000e+02 8.310359886591334871e-03 -2.758466234538994562e-04 1.664672144955632203e-03 9.495760832561928044e-03 -1.012099063200226547e-03 8.200216804928562794e-03 1.300316876204090678e-02
5.150000000000000000e+02 6.351707056779704909e-03 -7.511329899781560423e-04 1.262451373500658941e-03 7.359502382585416877e-03 -6.498864855311809255e-04 6.455126293053795039e-03 1.008316786620945711e-02
5.250000000000000000e+02 4.645643647638752170e-03 -5.646293488838018170e-04 8.774116100373304710e-04 5.050832247766611806e-03 -3.818116143528558267e-04 5.141591427253852133e-03 7.419033661329609355e-03
5.350000000000000000e+02 3.330927135328985451e-03 -1.947828622673774873e-04 6.499399084887254232e-04 3.327574573806054131e-03 -2.025513888010699044e-04 4.115211628668585635e-03 5.386856668901813909e-03
5.450000000000000000e+02 2.445776540706013150e-03 7.311606267642394258e-05 5.685044612346410332e-04 2.367541243051743145e-03 -1.516783463062875543e-04 3.305387786412474979e-03 4.059352785085115420e-03
5.550000000000000000e+02 1.892960596143646989e-03 1.133218246138984538e-04 5.092349676166376500e-04 1.951342171380338313e-03 -1.608790371776825116e-04 2.677413880280843893e-03 3.260858323902413296e-03
5.650000000000000000e+02 1.476336144831454306e-03 1.097013648401041851e-04 4.297405961310472107e-04 1.643604241304628521e-03 -1.217614475559312552e-04 2.223629007511871737e-03 2.671784696823977390e-03
5.750000000000000000e+02 1.141191338231481184e-03 1.366939323985654343e-04 3.580983670313127309e-04 1.322411890905310361e-03 -8.394349705890851094e-05 1.884780907022576366e-03 2.174192068079683522e-03
5.850000000000000000e+02 9.004101397762120148e-04 1.410890871433311022e-04 3.099462883528301287e-04 1.073511581395739144e-03 -6.057496143949554882e-05 1.606880659726311975e-03 1.790401190449131567e-03
5.950000000000000000e+02 7.280221701975769961e-04 1.210515928895741501e-04 2.724181496814422824e-04 9.296244675878459268e-04 -5.802888744740052637e-05 1.378104325573229188e-03 1.517875481679326326e-03
6.050000000000000000e+02 5.985252572121650119e-04 9.850522627332259501e-05 2.411994339711448466e-04 8.664467741247070367e-04 -5.910040967250981001e-05 1.190713369081256370e-03 1.327842700209064209e-03
