# z, uT, vT, wT

# time = 0.0-1.0 hrs
5.000000000000000000e+00 3.709903701774152750e-03 -1.750899269638988426e-03 4.982075916833962788e-03
1.500000000000000000e+01 5.713395276590350902e-03 -1.643901900677827805e-03 9.823171741869876628e-03
2.500000000000000000e+01 5.680245382083588292e-03 1.037822619157850165e-04 1.156403425896099756e-02
3.500000000000000000e+01 5.544831963188129147e-03 1.196361845182524614e-03 1.245638083747361777e-02
4.500000000000000000e+01 5.488130945380545467e-03 1.587672908129243287e-03 1.380816133764652641e-02
5.500000000000000000e+01 5.208490668387280934e-03 1.563751485473299958e-03 1.444729626479592834e-02
6.500000000000000000e+01 5.020019061711227838e-03 1.519215952052585614e-03 1.494768461463787113e-02
7.500000000000000000e+01 5.221550974369837568e-03 1.496698695227537731e-03 1.541712912776906780e-02
8.500000000000000000e+01 5.840057178837407617e-03 1.307709804567008067e-03 1.621892960845958825e-02
9.500000000000000000e+01 6.419116085595148909e-03 1.143848988232186665e-03 1.680932259748958366e-02
1.050000000000000000e+02 7.034081365031972718e-03 9.837306231908007643e-04 1.731487929172949303e-02
1.150000000000000000e+02 7.521647973513245072e-03 7.198568669326941985e-04 1.759415818558421676e-02
1.250000000000000000e+02 7.951336765629792025e-03 3.544618005695561024e-04 1.785677844666387973e-02
1.350000000000000000e+02 8.403847643690990146e-03 1.175882275129320234e-04 1.800891611201003648e-02
1.450000000000000000e+02 8.764145849249664610e-03 2.734845109938715985e-05 1.817121716863663930e-02
1.550000000000000000e+02 8.968676126974944526e-03 -2.671418018260899495e-05 1.814167265138890914e-02
1.650000000000000000e+02 9.159169878474237789e-03 -3.740537431575267463e-05 1.810344889093838325e-02
1.750000000000000000e+02 9.159150992088065796e-03 1.518519598590460532e-04 1.788872743054632092e-02
1.850000000000000000e+02 8.966759109330429620e-03 4.951790176024159409e-04 1.746520294147887314e-02
1.950000000000000000e+02 8.706039461695846970e-03 7.644893819505962917e-04 1.682455147865150741e-02
2.050000000000000000e+02 8.451977997225815220e-03 8.953494983867094342e-04 1.607871109283121741e-02
2.150000000000000000e+02 8.152217962462047357e-03 9.840178404503907138e-04 1.539300961361855444e-02
2.250000000000000000e+02 7.841957693338700783e-03 1.050023058618129636e-03 1.489674016052010448e-02
2.350000000000000000e+02 7.417030129243966027e-03 1.140970221102591145e-03 1.432375008376035770e-02
2.450000000000000000e+02 6.909393105235475500e-03 1.236704344411088769e-03 1.361149428495824973e-02
2.550000000000000000e+02 6.363519172969256746e-03 1.295861329375121943e-03 1.282123529572174424e-02
2.650000000000000000e+02 5.803210227793547532e-03 1.321743350446333851e-03 1.200076645377677782e-02
2.750000000000000000e+02 5.189371561722987483e-03 1.250582508578857712e-03 1.098260653369577226e-02
2.850000000000000000e+02 4.522500062167510333e-03 1.117030754688756343e-03 9.751482877337633651e-03
2.950000000000000000e+02 3.902756417628310687e-03 9.717945291761881117e-04 8.545317133268962029e-03
3.050000000000000000e+02 3.331139145701416532e-03 8.148719278668667800e-04 7.421727690547461585e-03
3.150000000000000000e+02 2.786750682290391450e-03 6.776471805381527585e-04 6.383585652428786991e-03
