# z, u, v, w, u_mag

# time = 0.0-1.0 hrs
5.000000000000000000e+00 1.062989056849088648e-01 -3.747601491054419309e+00 -1.344706558328048474e-01 3.749108746502709533e+00
1.500000000000000000e+01 9.104775423242296439e-02 -3.661737137869596648e+00 1.374233303827947922e-02 3.662868897517927103e+00
2.500000000000000000e+01 8.171552442950455464e-02 -3.621124572429538890e+00 -1.761993941901190616e-03 3.622046465188678344e+00
3.500000000000000000e+01 7.604595505036200465e-02 -3.634118995167656685e+00 8.770707019481162325e-03 3.634914559974951942e+00
4.500000000000000000e+01 6.923734048365361160e-02 -3.645677364568600698e+00 -2.740970974739205274e-03 3.646334770128095037e+00
5.500000000000000000e+01 6.156664380010645754e-02 -3.656382233895340228e+00 2.779882918025350629e-03 3.656900530773880664e+00
6.500000000000000000e+01 5.259964694566870991e-02 -3.665962880790270884e+00 -2.045943133675769392e-03 3.666340214190563884e+00
7.500000000000000000e+01 4.265234961474689834e-02 -3.674206995044959623e+00 1.946002711707455401e-03 3.674454553449391980e+00
8.500000000000000000e+01 3.228143120231024427e-02 -3.682205995414475908e+00 -2.438293460372032394e-03 3.682347496294555267e+00
9.500000000000000000e+01 2.144302316119654772e-02 -3.690074992431426448e+00 1.965897803947851304e-03 3.690137294601663509e+00
1.050000000000000000e+02 1.030737607851333996e-02 -3.697181340824339024e+00 8.086665460128212050e-04 3.697195708769185796e+00
1.150000000000000000e+02 -1.071194040830239719e-03 -3.703452485353801116e+00 2.579659334183532181e-04 3.703452640270956664e+00
1.250000000000000000e+02 -1.276989835656342637e-02 -3.708580240000432404e+00 -1.667939976019967548e-03 3.708602225478718317e+00
1.350000000000000000e+02 -2.475187495230457904e-02 -3.712329901248895059e+00 2.732793131033655785e-04 3.712412416612718591e+00
1.450000000000000000e+02 -3.687168622224394621e-02 -3.716093830647949847e+00 3.204741888277762318e-04 3.716276749574044747e+00
1.550000000000000000e+02 -4.931161907122234150e-02 -3.719927805499837703e+00 5.159215893297799862e-04 3.720254630251303762e+00
1.650000000000000000e+02 -6.185050759035474327e-02 -3.723059091902154893e+00 -8.695960342602732616e-04 3.723572812109960939e+00
1.750000000000000000e+02 -7.432465956703346310e-02 -3.725422273929918759e+00 -7.876734325909431206e-04 3.726163613438481459e+00
1.850000000000000000e+02 -8.662585067580753917e-02 -3.726761039329027358e+00 -2.924032301351518195e-04 3.727767680833407482e+00
1.950000000000000000e+02 -9.889389487812211277e-02 -3.727157293846442343e+00 5.406245032751763819e-04 3.728469055191004244e+00
2.050000000000000000e+02 -1.109249347420947079e-01 -3.727795619738462740e+00 3.800315560591113750e-04 3.729445605406895847e+00
2.150000000000000000e+02 -1.227886875121182164e-01 -3.728676063951128494e+00 3.720561922908285544e-04 3.730697287594241018e+00
