# z, u, v, w, u_mag

# time = 0.0 hrs
5.000000000000000000e+00 8.218651863140000180e-02 -4.139184143779999658e+00 0.000000000000000000e+00 4.139999999995714219e+00
1.500000000000000000e+01 7.696399858749999878e-02 -4.089273554220000051e+00 0.000000000000000000e+00 4.089997757740418294e+00
2.500000000000000000e+01 6.960507015950000154e-02 -4.049399859700000270e+00 0.000000000000000000e+00 4.049998035744003744e+00
3.500000000000000000e+01 6.533225339140000254e-02 -4.069473649769999923e+00 0.000000000000000000e+00 4.069998045393334429e+00
4.500000000000000000e+01 5.990502230249999949e-02 -4.087056772679999561e+00 0.000000000000000000e+00 4.087495770616345503e+00
5.500000000000000000e+01 5.332337689290000265e-02 -4.102149228430000072e+00 0.000000000000000000e+00 4.102495786083406593e+00
6.500000000000000000e+01 4.633058629459999717e-02 -4.117234128429999807e+00 0.000000000000000000e+00 4.117494795568677368e+00
7.500000000000000000e+01 3.892665050759999690e-02 -4.132311472699999655e+00 0.000000000000000000e+00 4.132494814458667953e+00
8.500000000000000000e+01 3.072946286760000131e-02 -4.144878673830000082e+00 0.000000000000000000e+00 4.144992583908790884e+00
9.500000000000000000e+01 2.173902337469999987e-02 -4.154935731820000200e+00 0.000000000000000000e+00 4.154992601761390070e+00
1.050000000000000000e+02 1.270486908940000013e-02 -4.164973170739999730e+00 0.000000000000000000e+00 4.164992548214532242e+00
1.150000000000000000e+02 3.627000011839999916e-03 -4.174990990599999563e+00 0.000000000000000000e+00 4.174992566067663446e+00
1.250000000000000000e+02 -5.861012812820000188e-03 -4.184987162469999689e+00 0.000000000000000000e+00 4.184991266598999005e+00
1.350000000000000000e+02 -1.575916938460000111e-02 -4.194961686370000109e+00 0.000000000000000000e+00 4.194991287420264392e+00
1.450000000000000000e+02 -2.586391435519999962e-02 -4.202410990169999749e+00 0.000000000000000000e+00 4.202490579688117123e+00
1.550000000000000000e+02 -3.617524772470000205e-02 -4.207335073870000386e+00 0.000000000000000000e+00 4.207490590882483339e+00
1.650000000000000000e+02 -4.669487975580000061e-02 -4.212231059609999662e+00 0.000000000000000000e+00 4.212489870769849709e+00
1.750000000000000000e+02 -5.742281044869999851e-02 -4.217098947410000243e+00 0.000000000000000000e+00 4.217489882786485289e+00
1.850000000000000000e+02 -6.799111118850000024e-02 -4.221943098409999706e+00 0.000000000000000000e+00 4.222490534910939175e+00
1.950000000000000000e+02 -7.839978197520000580e-02 -4.226763512609999829e+00 0.000000000000000000e+00 4.227490546097646629e+00
2.050000000000000000e+02 -8.858624476639999357e-02 -4.229063486870000332e+00 0.000000000000000000e+00 4.229991193695189722e+00
2.150000000000000000e+02 -9.855049956219999463e-02 -4.228843021180000328e+00 0.000000000000000000e+00 4.229991193696123197e+00
2.250000000000000000e+02 -1.084022192419999975e-01 -4.231103397540000088e+00 0.000000000000000000e+00 4.232491819461807303e+00
2.350000000000000000e+02 -1.181414038059999949e-01 -4.235844615959999615e+00 0.000000000000000000e+00 4.237491829119033326e+00
2.450000000000000000e+02 -1.274489619209999980e-01 -4.238077113300000143e+00 0.000000000000000000e+00 4.239993025486245237e+00
2.550000000000000000e+02 -1.363248935880000123e-01 -4.237800889559999895e+00 0.000000000000000000e+00 4.239993025485691014e+00
2.650000000000000000e+02 -1.453850827669999901e-01 -4.237499144840000120e+00 0.000000000000000000e+00 4.239992432164342517e+00
2.750000000000000000e+02 -1.546295294579999868e-01 -4.237171879149999931e+00 0.000000000000000000e+00 4.239992432167768222e+00
2.850000000000000000e+02 -1.646125764069999997e-01 -4.236793167670000138e+00 0.000000000000000000e+00 4.239989816724391680e+00
2.950000000000000000e+02 -1.753342236140000010e-01 -4.236363010409999852e+00 0.000000000000000000e+00 4.239989816726025929e+00
3.050000000000000000e+02 -1.877305628640000001e-01 -4.234787490799999610e+00 0.000000000000000000e+00 4.238946550319948159e+00
3.150000000000000000e+02 -2.018015941569999971e-01 -4.232066608850000300e+00 0.000000000000000000e+00 4.236875224165498999e+00
3.250000000000000000e+02 -2.158726254499999941e-01 -4.229345726890000101e+00 0.000000000000000000e+00 4.234851386764519887e+00
3.350000000000000000e+02 -2.299436567439999968e-01 -4.226624844939999903e+00 0.000000000000000000e+00 4.232875106253535691e+00
3.450000000000000000e+02 -2.440146880369999938e-01 -4.223903962979999704e+00 0.000000000000000000e+00 4.230946449254108011e+00
3.550000000000000000e+02 -2.618508002830000070e-01 -4.219755243129999833e+00 0.000000000000000000e+00 4.227871823214602642e+00
3.650000000000000000e+02 -2.834519934820000087e-01 -4.214178685380000289e+00 0.000000000000000000e+00 4.223700631545757034e+00
3.750000000000000000e+02 -3.050531866819999882e-01 -4.208602127619999855e+00 0.000000000000000000e+00 4.219643268726922969e+00
3.850000000000000000e+02 -3.266543798809999899e-01 -4.203025569870000311e+00 0.000000000000000000e+00 4.215700063438631240e+00
3.950000000000000000e+02 -3.482555730799999916e-01 -4.197449012119999878e+00 0.000000000000000000e+00 4.211871336297969393e+00
4.050000000000000000e+02 -3.729534104739999911e-01 -4.187195479529999709e+00 0.000000000000000000e+00 4.203772142990228389e+00
4.150000000000000000e+02 -4.007478920620000107e-01 -4.172264972099999802e+00 0.000000000000000000e+00 4.191466792234521677e+00
4.250000000000000000e+02 -4.285423736499999747e-01 -4.157334464669999896e+00 0.000000000000000000e+00 4.179363398550856701e+00
4.350000000000000000e+02 -4.563368552379999943e-01 -4.142403957239999990e+00 0.000000000000000000e+00 4.167463721546489808e+00
4.450000000000000000e+02 -4.841313368260000138e-01 -4.127473449810000083e+00 0.000000000000000000e+00 4.155769511195656740e+00
4.550000000000000000e+02 -5.131746482440000534e-01 -4.109791692629999993e+00 0.000000000000000000e+00 4.141706891658427203e+00
4.650000000000000000e+02 -5.434667894920000020e-01 -4.089358685709999719e+00 0.000000000000000000e+00 4.125313395570397113e+00
4.750000000000000000e+02 -5.737589307399999505e-01 -4.068925678780000332e+00 0.000000000000000000e+00 4.109179418088141134e+00
4.850000000000000000e+02 -6.040510719880000101e-01 -4.048492671860000058e+00 0.000000000000000000e+00 4.093308027949274397e+00
4.950000000000000000e+02 -6.343432132359999587e-01 -4.028059664929999784e+00 0.000000000000000000e+00 4.077702291292800929e+00
5.050000000000000000e+02 -6.963501309249999771e-01 -3.959307405570000160e+00 0.000000000000000000e+00 4.020076944119441720e+00
5.150000000000000000e+02 -7.900718250539999765e-01 -3.842235893779999856e+00 0.000000000000000000e+00 3.922625415738234089e+00
5.250000000000000000e+02 -8.837935191839999538e-01 -3.725164381979999995e+00 0.000000000000000000e+00 3.828569009084735519e+00
5.350000000000000000e+02 -9.775152133129999532e-01 -3.608092870190000134e+00 0.000000000000000000e+00 3.738164008196306121e+00
5.450000000000000000e+02 -1.071236907440000108e+00 -3.491021358399999830e+00 0.000000000000000000e+00 3.651681617647764444e+00
5.550000000000000000e+02 -1.172951111319999962e+00 -3.354175526320000156e+00 0.000000000000000000e+00 3.553351625002917569e+00
5.650000000000000000e+02 -1.282657824960000026e+00 -3.197555373969999781e+00 0.000000000000000000e+00 3.445224443419549143e+00
5.750000000000000000e+02 -1.392364538590000089e+00 -3.040935221609999850e+00 0.000000000000000000e+00 3.344542723654640781e+00
5.850000000000000000e+02 -1.502071252229999931e+00 -2.884315069259999920e+00 0.000000000000000000e+00 3.251998072806335127e+00
5.950000000000000000e+02 -1.611777965859999995e+00 -2.727694916899999988e+00 0.000000000000000000e+00 3.168303610911349821e+00
6.050000000000000000e+02 -1.709756602269999926e+00 -2.544711206980000195e+00 0.000000000000000000e+00 3.065749951632628534e+00
6.150000000000000000e+02 -1.796007161439999944e+00 -2.335363939500000097e+00 0.000000000000000000e+00 2.946110394038337077e+00
6.250000000000000000e+02 -1.882257720619999963e+00 -2.126016672009999997e+00 0.000000000000000000e+00 2.839514221922136095e+00
6.350000000000000000e+02 -1.968508279789999982e+00 -1.916669404529999898e+00 0.000000000000000000e+00 2.747480018828739379e+00
6.450000000000000000e+02 -2.054758838969999779e+00 -1.707322137040000021e+00 0.000000000000000000e+00 2.671513197787383831e+00
6.550000000000000000e+02 -2.131206757589999778e+00 -1.515956860950000040e+00 0.000000000000000000e+00 2.615371378572966421e+00
6.650000000000000000e+02 -2.197852035669999982e+00 -1.342573576249999956e+00 0.000000000000000000e+00 2.575472263167180476e+00
6.750000000000000000e+02 -2.264497313750000185e+00 -1.169190291560000095e+00 0.000000000000000000e+00 2.548519966933577852e+00
6.850000000000000000e+02 -2.331142591829999944e+00 -9.958070068600000102e-01 0.000000000000000000e+00 2.534927489762845543e+00
6.950000000000000000e+02 -2.397787869910000147e+00 -8.224237221629999706e-01 0.000000000000000000e+00 2.534909751423900293e+00
7.050000000000000000e+02 -2.447347779189999795e+00 -6.805558369490000148e-01 0.000000000000000000e+00 2.540210109323946863e+00
7.150000000000000000e+02 -2.479822319660000218e+00 -5.702033512170000540e-01 0.000000000000000000e+00 2.544533473708491478e+00
7.250000000000000000e+02 -2.512296860140000199e+00 -4.598508654849999822e-01 0.000000000000000000e+00 2.554035695121860794e+00
7.350000000000000000e+02 -2.544771400620000179e+00 -3.494983797530000214e-01 0.000000000000000000e+00 2.568659299880668989e+00
7.450000000000000000e+02 -2.577245941090000159e+00 -2.391458940210000050e-01 0.000000000000000000e+00 2.588317484292061099e+00
7.550000000000000000e+02 -2.599231560229999793e+00 -1.199135627670000065e-01 0.000000000000000000e+00 2.601996150310594391e+00
7.650000000000000000e+02 -2.610728258029999971e+00 8.198614008310000159e-03 0.000000000000000000e+00 2.610741131278246030e+00
7.750000000000000000e+02 -2.622224955820000147e+00 1.363107907839999910e-01 0.000000000000000000e+00 2.625765478981198164e+00
7.850000000000000000e+02 -2.633721653619999881e+00 2.644229675590000217e-01 0.000000000000000000e+00 2.646962269190774375e+00
7.950000000000000000e+02 -2.645218351420000058e+00 3.925351443339999968e-01 0.000000000000000000e+00 2.674184729263567206e+00
8.050000000000000000e+02 -2.633501402359999854e+00 5.416176234320000393e-01 0.000000000000000000e+00 2.688620331367784111e+00
8.150000000000000000e+02 -2.598570806450000159e+00 7.116704048509999714e-01 0.000000000000000000e+00 2.694261494598285900e+00
8.250000000000000000e+02 -2.563640210530000019e+00 8.817231862700000145e-01 0.000000000000000000e+00 2.711030598545952408e+00
8.350000000000000000e+02 -2.528709614609999878e+00 1.051775967690000035e+00 0.000000000000000000e+00 2.738723242905586108e+00
8.450000000000000000e+02 -2.493779018700000183e+00 1.221828749109999945e+00 0.000000000000000000e+00 2.777012655041392275e+00
8.550000000000000000e+02 -2.458410935939999931e+00 1.391691727230000009e+00 0.000000000000000000e+00 2.824993839566700249e+00
8.650000000000000000e+02 -2.422605366350000011e+00 1.561364902040000002e+00 0.000000000000000000e+00 2.882165352367937583e+00
8.750000000000000000e+02 -2.386799796760000092e+00 1.731038076859999997e+00 0.000000000000000000e+00 2.948441298949793676e+00
8.850000000000000000e+02 -2.350994227160000172e+00 1.900711251669999990e+00 0.000000000000000000e+00 3.023222968681698930e+00
8.950000000000000000e+02 -2.315188657569999808e+00 2.070384426489999985e+00 0.000000000000000000e+00 3.105896037151453459e+00
9.050000000000000000e+02 -2.275720728560000072e+00 2.226027361969999951e+00 0.000000000000000000e+00 3.183410537558229336e+00
9.150000000000000000e+02 -2.232590440150000077e+00 2.367640058110000112e+00 0.000000000000000000e+00 3.254255601242209472e+00
9.250000000000000000e+02 -2.189460151730000081e+00 2.509252754249999828e+00 0.000000000000000000e+00 3.330177944303391868e+00
9.350000000000000000e+02 -2.146329863310000086e+00 2.650865450389999989e+00 0.000000000000000000e+00 3.410838535933312432e+00
9.450000000000000000e+02 -2.103199574890000090e+00 2.792478146530000149e+00 0.000000000000000000e+00 3.495909416827773342e+00
9.550000000000000000e+02 -2.060288363270000200e+00 2.934039044099999938e+00 0.000000000000000000e+00 3.585160143163624191e+00
9.650000000000000000e+02 -2.017596228459999974e+00 3.075548143119999800e+00 0.000000000000000000e+00 3.678272817742709755e+00
9.750000000000000000e+02 -1.974904093649999970e+00 3.217057242130000105e+00 0.000000000000000000e+00 3.774877942166688261e+00
9.850000000000000000e+02 -1.932211958829999965e+00 3.358566341149999968e+00 0.000000000000000000e+00 3.874714301951998507e+00
9.950000000000000000e+02 -1.889519824019999961e+00 3.500075440159999829e+00 0.000000000000000000e+00 3.977538592166742326e+00
1.005000000000000000e+03 -1.845930731219999954e+00 3.640085217040000209e+00 0.000000000000000000e+00 4.081382198689011531e+00
1.015000000000000000e+03 -1.801444680419999944e+00 3.778595671770000219e+00 0.000000000000000000e+00 4.186046844856432969e+00
1.025000000000000000e+03 -1.756958629629999935e+00 3.917106126509999786e+00 0.000000000000000000e+00 4.293090266064004012e+00
1.035000000000000000e+03 -1.712472578829999925e+00 4.055616581249999797e+00 0.000000000000000000e+00 4.402338945078469123e+00
1.045000000000000000e+03 -1.667986528039999916e+00 4.194127035990000252e+00 0.000000000000000000e+00 4.513632755524667139e+00
1.055000000000000000e+03 -1.638793620339999979e+00 4.316814322779999991e+00 0.000000000000000000e+00 4.617415990294315264e+00
1.065000000000000000e+03 -1.624893855729999892e+00 4.423678441639999903e+00 0.000000000000000000e+00 4.712664957051329040e+00
1.075000000000000000e+03 -1.610994091130000028e+00 4.530542560489999815e+00 0.000000000000000000e+00 4.808442352162190403e+00
1.085000000000000000e+03 -1.597094326519999941e+00 4.637406679339999727e+00 0.000000000000000000e+00 4.904717218901576636e+00
1.095000000000000000e+03 -1.583194561920000076e+00 4.744270798189999638e+00 0.000000000000000000e+00 5.001460829342907033e+00
1.105000000000000000e+03 -1.575623811969999899e+00 4.844003735750000317e+00 0.000000000000000000e+00 5.093816112582670641e+00
1.115000000000000000e+03 -1.574382076690000076e+00 4.936605492029999986e+00 0.000000000000000000e+00 5.181578206236346240e+00
