# f, Suu, Svv, Sww
0.000000000000000000e+00 1.135031101514952234e-01 4.193332967178157317e-02 8.652907921914105432e-03
2.856734752178260420e-04 9.140301554317002086e+00 2.526237412211505884e+00 2.354722462205953992e-01
5.713469504356520840e-04 4.759218384686587200e+00 1.882491786348870599e+00 4.126805537312318028e-01
8.570204256534780718e-04 3.979014813048371124e+00 1.684272000966586580e+00 2.668590862850670486e-01
1.142693900871304168e-03 4.199082692031942621e+00 1.808250740515438659e+00 4.759561248903920183e-01
1.428367376089130156e-03 8.575404527227853180e+00 5.558622016478661720e+00 3.960669987981243478e-01
1.714040851306956144e-03 8.054776692372414004e+00 6.613532286763929235e+00 4.424815530185033929e-01
1.999714326524782131e-03 7.282824396997925831e+00 2.941638294507010087e+00 2.292588505597445425e-01
2.285387801742608336e-03 3.275935019872964649e+00 1.158287635224710677e+00 2.739012773903663489e-01
2.571061276960434107e-03 4.997353552932295884e+00 1.778304517140223862e+00 2.288196389764978467e-01
2.856734752178260311e-03 2.236542785172345837e+00 9.956224111700918700e-01 2.755730494462545477e-01
3.142408227396086082e-03 3.320610761863732385e+00 1.840616197006390120e+00 1.987866072115447302e-01
3.428081702613912287e-03 3.303246937117004123e+00 1.589183200709618493e+00 4.159546499906530692e-01
3.713755177831738492e-03 2.208671543327091591e+00 1.477781070172325295e+00 2.518151708471193517e-01
3.999428653049564263e-03 3.355582618787787297e+00 3.079179462704637604e+00 5.122425239750589832e-01
4.285102128267390467e-03 1.296944143937753147e+00 1.027116451063519342e+00 3.141630904161306637e-01
4.570775603485216672e-03 2.561612473979014482e+00 1.743468627251166359e+00 3.304642566840726436e-01
4.856449078703042009e-03 3.617926601034338052e+00 1.854199130226439562e+00 3.165147602678016203e-01
5.142122553920868214e-03 1.727171770539047690e+00 1.117966575442301158e+00 4.324756340759841056e-01
5.427796029138694418e-03 2.174839467342419397e+00 1.273351412586834597e+00 2.553105384491254348e-01
5.713469504356520623e-03 1.618419255994957062e+00 8.386254748437201867e-01 2.018289139412893507e-01
5.999142979574346828e-03 1.860345266702750688e+00 6.940689861568558605e-01 3.393714083966369865e-01
6.284816454792172165e-03 2.805021068826873964e+00 6.814499144516521500e-01 3.002470774105774343e-01
6.570489930009998369e-03 2.841152826606176518e+00 1.290692254756714563e+00 3.041599236875188184e-01
6.856163405227824574e-03 2.511742617055672699e+00 8.653703709490346840e-01 5.201871691370532069e-01
7.141836880445650779e-03 1.754750401917957392e+00 1.204913876930685968e+00 2.394115774473482561e-01
7.427510355663476983e-03 2.112704136399864652e+00 1.634923040780585701e+00 3.247644986447641435e-01
7.713183830881302321e-03 1.385698515021942079e+00 7.553755838856189841e-01 2.966673329190465114e-01
7.998857306099128525e-03 1.638726876736417815e+00 1.135833071291791452e+00 1.902399374231641127e-01
8.284530781316953862e-03 1.612917656826802659e+00 1.170768110055279587e+00 3.553247602345118161e-01
8.570204256534780934e-03 3.318791641898003242e+00 1.544946104233138051e+00 3.638070602177319035e-01
8.855877731752606272e-03 2.436200232809719424e+00 1.268365876587304708e+00 2.750864267412080899e-01
9.141551206970433344e-03 1.863536356266997540e+00 1.440725175082561371e+00 1.756183461474980778e-01
9.427224682188258681e-03 2.117200828422282743e+00 2.337225998106047697e+00 3.020045735856530245e-01
9.712898157406084018e-03 2.190692914990502338e+00 1.560660371312881045e+00 3.694906838763877821e-01
9.998571632623911090e-03 1.825691216044864840e+00 4.714509546933788875e-01 2.693938296585743353e-01
1.028424510784173643e-02 1.227078226584691345e+00 9.664973217104253500e-01 3.326229401709905331e-01
1.056991858305956350e-02 2.035424800853930183e+00 1.008335173458910328e+00 2.391382851891193095e-01
1.085559205827738884e-02 1.745862349676576164e+00 1.358680591619559230e+00 3.393420415903319887e-01
1.114126553349521417e-02 2.734696002105929225e+00 1.179027633444723833e+00 2.855503542283849838e-01
1.142693900871304125e-02 2.860197198675575869e+00 1.042557940477811806e+00 2.936036218962717048e-01
1.171261248393086658e-02 2.648286796389229369e+00 1.052473205144768720e+00 3.395730372512691386e-01
1.199828595914869366e-02 1.767088018991806120e+00 1.133920480137071252e+00 2.469350950408577272e-01
1.228395943436651899e-02 3.034129656221216109e+00 1.831005944565585963e+00 4.858714198877022716e-01
1.256963290958434433e-02 2.216514624644514431e+00 9.878308020560280234e-01 2.794508003238278526e-01
1.285530638480217140e-02 3.433224030166742047e+00 1.526840780317441526e+00 6.398271631437200124e-01
1.314097986001999674e-02 1.990693033697269243e+00 1.532219882466105076e+00 3.105846618173208062e-01
1.342665333523782381e-02 9.850203029740186578e-01 8.878740104712364856e-01 2.313637092671495810e-01
1.371232681045564915e-02 1.343924289307227626e+00 1.013574236454341415e+00 3.200938732128716935e-01
1.399800028567347449e-02 1.638630960697934347e+00 1.210497219870334096e+00 3.149342610766410200e-01
1.428367376089130156e-02 1.158881881356807586e+00 1.113391672891643758e+00 3.190036264557506440e-01
1.456934723610912689e-02 1.634628601214471511e+00 8.836875982044775091e-01 4.548778459750300041e-01
1.485502071132695397e-02 2.038522110684975353e+00 1.670052328769457084e+00 3.854943329344022729e-01
1.514069418654477930e-02 1.642023580481560385e+00 1.009723016882119628e+00 2.605539839271080460e-01
1.542636766176260464e-02 1.464655707347001901e+00 1.531664849188787425e+00 3.973272446585962014e-01
1.571204113698042998e-02 1.218742678406246505e+00 1.523231246582006815e+00 3.059169064747257472e-01
1.599771461219825705e-02 1.550751886187166084e+00 1.311742461928677272e+00 3.526918981297577083e-01
1.628338808741608412e-02 1.239995268802385198e+00 1.055491741312590603e+00 2.828756175279888985e-01
1.656906156263390772e-02 8.136674856901398023e-01 8.053846830032896920e-01 2.703381736707287653e-01
1.685473503785173480e-02 2.981752376068608434e+00 1.711781536723548491e+00 4.388470607128459045e-01
1.714040851306956187e-02 1.374644968933899536e+00 1.893517450789315548e+00 2.414427818956251526e-01
1.742608198828738894e-02 2.034389513550309392e+00 1.240929949890939632e+00 3.602538327392853512e-01
1.771175546350521254e-02 1.603920587130695408e+00 1.587210307186900815e+00 3.741780769598801459e-01
1.799742893872303962e-02 2.184780158909774617e+00 1.393494408467068846e+00 4.559950508520719814e-01
1.828310241394086669e-02 1.152176242832029684e+00 5.548248160880052682e-01 1.717232736719329078e-01
1.856877588915869029e-02 2.064182803994351723e+00 8.280307220478883012e-01 4.344283964813596133e-01
1.885444936437651736e-02 1.391276084332510710e+00 5.311081302476687860e-01 3.141198567478251102e-01
1.914012283959434443e-02 1.496873833759409633e+00 8.601484849060470061e-01 4.192406731893496552e-01
1.942579631481216804e-02 2.229808847529195504e+00 7.933583824993134526e-01 2.814348510180527119e-01
1.971146979002999511e-02 1.377115421078989321e+00 1.422182610900256217e+00 3.075752584785649280e-01
1.999714326524782218e-02 2.443009323694789181e+00 1.625909123203871154e+00 4.128480025104608875e-01
2.028281674046564925e-02 2.028024723486514969e+00 5.804576261802891768e-01 4.102473477343502317e-01
2.056849021568347285e-02 1.373201900532556641e+00 8.537036195763637592e-01 2.807599801035812193e-01
2.085416369090129993e-02 1.844650459605688297e+00 1.851957102452596038e+00 3.912563165868628845e-01
2.113983716611912700e-02 1.944949449500218197e+00 9.670556391071229996e-01 4.184098249038420980e-01
2.142551064133695060e-02 1.193569446434239900e+00 8.470397147994236375e-01 3.155722210349627965e-01
2.171118411655477767e-02 9.419091179003677983e-01 7.388339182994607679e-01 1.738224004938934975e-01
2.199685759177260475e-02 1.719925958964541257e+00 8.211631650533335325e-01 2.833691253155312118e-01
2.228253106699042835e-02 1.726545841919003843e+00 1.038639277719130227e+00 3.484506404180023331e-01
2.256820454220825542e-02 1.539477579201246948e+00 7.209090529186885643e-01 3.736018282086286391e-01
2.285387801742608249e-02 1.412157320459608290e+00 9.209567619191351140e-01 3.579253163697102558e-01
2.313955149264390956e-02 1.261478625557470146e+00 1.220817461539994486e+00 2.619250647266529453e-01
2.342522496786173317e-02 1.491923108436028267e+00 1.313773571588445099e+00 4.025496594688858232e-01
2.371089844307956024e-02 1.278316623717866030e+00 1.314051285614471487e+00 4.203111843260547431e-01
2.399657191829738731e-02 2.150824715011869781e+00 1.644532456073804161e+00 2.976034505543556086e-01
2.428224539351521091e-02 1.354636000173367050e+00 1.001672846419791263e+00 2.624986658417128305e-01
2.456791886873303798e-02 1.173510401441849593e+00 7.303708911774227097e-01 2.705407749482712232e-01
2.485359234395086506e-02 1.566427372457191325e+00 7.305544586949471730e-01 2.934273528540177201e-01
2.513926581916868866e-02 1.531912489999528670e+00 1.016584520929634472e+00 4.255473966967870947e-01
