# z, uu, uv, uw, vv, vw, ww, tke
0.000000000000000000e+00 2.288578262648957584e-01 7.773509762202510109e-02 -2.727394665491290546e-02 1.766016319167325876e-01 -1.779336562155936496e-02 3.502118898942903347e-02 2.202403235855286689e-01
3.125000000000000000e+00 3.272611159121642799e-01 1.189034514554901667e-01 -3.667740507712435871e-02 2.267257371958445455e-01 -2.379615108843095850e-02 3.396536018912427179e-02 2.939761066485665486e-01
6.250000000000000000e+00 3.320494957269093939e-01 1.068163656785642984e-01 -5.293100838234891109e-02 2.362690265680554846e-01 -3.230450620929398858e-02 6.494686059016946400e-02 3.166326914425672268e-01
9.375000000000000000e+00 2.904402605385347780e-01 8.592677620299064845e-02 -5.544457952920054528e-02 2.113007170728513906e-01 -3.199130778943590908e-02 8.166095719776383932e-02 2.917009674045749623e-01
1.250000000000000000e+01 2.641267157970242918e-01 7.237344585043747891e-02 -5.602797851849810468e-02 1.935236157413816882e-01 -3.107584089075852637e-02 8.573431675719701828e-02 2.716923241478014783e-01
1.562500000000000000e+01 2.447731065793798400e-01 6.264999353723503528e-02 -5.543321013584229240e-02 1.797801771766514844e-01 -2.935923281218102282e-02 8.563434691913457408e-02 2.550938153375829076e-01
1.875000000000000000e+01 2.313409564542243391e-01 5.564327848913765834e-02 -5.473110730985689121e-02 1.680664171538092388e-01 -2.741708186414620191e-02 8.447241416882537990e-02 2.419398938884294858e-01
2.187500000000000000e+01 2.208612592058442348e-01 5.033317534638577506e-02 -5.356431727139075033e-02 1.585980640902347749e-01 -2.557807102316447465e-02 8.214591005774544985e-02 2.308026166769122367e-01
2.500000000000000000e+01 2.136562381957633205e-01 4.627273256677270907e-02 -5.256674589816564408e-02 1.509416253328452195e-01 -2.374992868601932122e-02 8.025207450513179019e-02 2.224249690168701721e-01
2.812500000000000000e+01 2.080414656804156770e-01 4.328430044589137021e-02 -5.147034047338399504e-02 1.448175265129921230e-01 -2.201094745348475962e-02 7.795251867205968410e-02 2.154057554327337143e-01
3.125000000000000000e+01 2.026804097865997634e-01 4.069190577298838901e-02 -5.021768729558651057e-02 1.384941517368953323e-01 -2.025760297473785596e-02 7.595166256948161776e-02 2.085631120464883637e-01
3.437500000000000000e+01 1.972230892497117416e-01 3.869873574113953663e-02 -4.887780452476485349e-02 1.315007251521384812e-01 -1.879972510330535709e-02 7.328089885607633192e-02 2.010023566289632635e-01
3.750000000000000000e+01 1.922426268568449559e-01 3.668562510877564770e-02 -4.784096673658008031e-02 1.248195504868724048e-01 -1.703848101716159968e-02 7.108084988425318607e-02 1.940715136139852526e-01
4.062500000000000000e+01 1.875079057806743055e-01 3.407212837825392138e-02 -4.649218995428338469e-02 1.203522005729364269e-01 -1.557786336848759542e-02 6.827229570560837402e-02 1.880662010296095532e-01
4.375000000000000000e+01 1.828863345875907376e-01 3.230619384043598163e-02 -4.517074326224817388e-02 1.151690554295433516e-01 -1.422128723424181257e-02 6.605168639062028446e-02 1.820535382038772076e-01
4.687500000000000000e+01 1.785516578109742347e-01 3.014532708700865329e-02 -4.389882590312274568e-02 1.110890905467578488e-01 -1.290551935665280002e-02 6.367017001978651780e-02 1.766554591887593006e-01
5.000000000000000000e+01 1.726438757275047531e-01 2.777847617922387866e-02 -4.269953777806079903e-02 1.058042203921980562e-01 -1.159801313471530045e-02 6.176775327516854930e-02 1.701079246974356585e-01
5.312500000000000000e+01 1.679937812520130025e-01 2.531648261187467719e-02 -4.138703607961172204e-02 1.008075393644464607e-01 -1.011146005167658062e-02 5.960027649023399293e-02 1.642007985533467107e-01
5.625000000000000000e+01 1.637542107045001083e-01 2.286396719521433668e-02 -4.016783870911163484e-02 9.625339770107103898e-02 -9.153797586186755361e-03 5.733125104669790223e-02 1.586694297261345143e-01
5.937500000000000000e+01 1.591024480491911863e-01 2.042192604476333884e-02 -3.876759358390050036e-02 9.219293624804737741e-02 -8.032750953829690538e-03 5.500004013286220045e-02 1.531477122150503856e-01
6.250000000000000000e+01 1.532265257766078637e-01 1.910968843874710082e-02 -3.749055877425792882e-02 8.868539102929631768e-02 -6.913600067465958815e-03 5.312178908080718298e-02 1.475168529433556752e-01
6.562500000000000000e+01 1.491355714816713085e-01 1.822299871439895039e-02 -3.615858537724523508e-02 8.605632115001915494e-02 -5.975504470100313249e-03 5.080113072888728376e-02 1.429965116802888736e-01
6.875000000000000000e+01 1.457773975893636442e-01 1.691343539631048540e-02 -3.483976848988861591e-02 8.225128679429540013e-02 -4.884504222401647028e-03 4.902960500229389812e-02 1.385291446929764747e-01
7.187500000000000000e+01 1.423730338633857062e-01 1.447967914633824932e-02 -3.375225683186311443e-02 7.857279497510427646e-02 -4.029786520587433016e-03 4.764393131879708643e-02 1.342948800786435415e-01
7.500000000000000000e+01 1.375526131136429464e-01 1.279544830862295104e-02 -3.235911609534706385e-02 7.508246587986194820e-02 -3.212486307026962522e-03 4.583382815691437046e-02 1.292344535752096291e-01
7.812500000000000000e+01 1.342557698436283864e-01 1.067321898073004920e-02 -3.113514625153451093e-02 7.309367361499934101e-02 -2.400174759319750016e-03 4.410358528958829849e-02 1.257265143741080060e-01
8.125000000000000000e+01 1.294659749080381006e-01 9.494547742625253708e-03 -2.979669715915041206e-02 7.082025436531329265e-02 -1.516456775975024264e-03 4.258178176372647006e-02 1.214340055185389178e-01
