# z, u, v, w, u_mag
0.000000000000000000e+00 5.993719261851894187e-01 4.413059792585580787e-01 -1.047881287517099004e-02 7.443839592223706614e-01
3.125000000000000000e+00 1.951623202346750352e+00 1.350304081173688830e+00 9.568323518871324485e-03 2.373235299835957601e+00
6.250000000000000000e+00 2.615873881740870655e+00 1.769915743947724662e+00 -8.353486195995645305e-03 3.158396378952411432e+00
9.375000000000000000e+00 2.979623249498101867e+00 1.990733145899143297e+00 6.995742678404859305e-03 3.583465097855251802e+00
1.250000000000000000e+01 3.244093309890848875e+00 2.144634118619265895e+00 -5.660659893246959215e-03 3.888911023550786439e+00
1.562500000000000000e+01 3.473579317234008812e+00 2.262915237071204455e+00 4.818022908653610617e-03 4.145667842052671581e+00
1.875000000000000000e+01 3.678062696702733891e+00 2.363270339062363057e+00 -4.035100508673512831e-03 4.371865526111735178e+00
2.187500000000000000e+01 3.868027851718221388e+00 2.450975412362327965e+00 3.435113882406739746e-03 4.579184614500702466e+00
2.500000000000000000e+01 4.046733124944106308e+00 2.530977364360573745e+00 -2.911826947558995848e-03 4.773039270963697511e+00
2.812500000000000000e+01 4.218822934826190973e+00 2.602557254557019917e+00 2.485701122805095836e-03 4.956992777619603885e+00
3.125000000000000000e+01 4.385248148059362805e+00 2.665687870458403719e+00 -2.128773705178438249e-03 5.131890263289407450e+00
3.437500000000000000e+01 4.551003700061306390e+00 2.725233743031838074e+00 1.837460250850913787e-03 5.304576986753156476e+00
3.750000000000000000e+01 4.708800781726760754e+00 2.775387212272339532e+00 -1.581166792231405212e-03 5.465855969573640394e+00
4.062500000000000000e+01 4.861905770545401850e+00 2.821065454591845878e+00 1.369937011122379601e-03 5.621079958289295853e+00
4.375000000000000000e+01 5.013291862769156282e+00 2.858318707768255695e+00 -1.182275476441061943e-03 5.770882301196302855e+00
4.687500000000000000e+01 5.160435168497207847e+00 2.887509867644896477e+00 1.027241952769218907e-03 5.913358218409864087e+00
5.000000000000000000e+01 5.304598495111033429e+00 2.913804978760047959e+00 -8.942952580788333982e-04 6.052191788793964911e+00
5.312500000000000000e+01 5.443384005772332834e+00 2.937515436112133838e+00 7.651087828132721244e-04 6.185420515784399775e+00
5.625000000000000000e+01 5.576400639970260364e+00 2.960076664755648679e+00 -6.480257290736717588e-04 6.313342884607883398e+00
5.937500000000000000e+01 5.712259667550660502e+00 2.975581959369893337e+00 5.662687030469802044e-04 6.440807311751671982e+00
6.250000000000000000e+01 5.843419585549542994e+00 2.988710484754582897e+00 -5.068431139391632112e-04 6.563378937053376383e+00
6.562500000000000000e+01 5.974347187001630033e+00 2.994153322278010787e+00 4.634444032984649125e-04 6.682647577339647427e+00
6.875000000000000000e+01 6.105114806487073942e+00 2.996377200803345797e+00 -4.107411869636027517e-04 6.800786961711867029e+00
7.187500000000000000e+01 6.228616405888453222e+00 2.999215337514149482e+00 3.457161921753969963e-04 6.913100251840891275e+00
7.500000000000000000e+01 6.349734286802333649e+00 2.993779124157336380e+00 -2.932982107598213210e-04 7.020102495210254645e+00
7.812500000000000000e+01 6.471429760254484798e+00 2.983954898670289069e+00 2.531231828970546610e-04 7.126246560657102158e+00
8.125000000000000000e+01 6.590815945616037119e+00 2.971328551655044947e+00 -2.170190806262529515e-04 7.229636798481952731e+00
8.437500000000000000e+01 6.709103572450675124e+00 2.958171924515805351e+00 1.852612732891480260e-04 7.332315590261080374e+00
8.750000000000000000e+01 6.828804175280988709e+00 2.938111582444304481e+00 -1.583995335405708404e-04 7.434047764194070318e+00
9.062500000000000000e+01 6.939759754029505956e+00 2.917874624347186252e+00 1.381595579547934547e-04 7.528230720836400991e+00
9.375000000000000000e+01 7.053382409136328413e+00 2.894562318484984242e+00 -1.168031094134208957e-04 7.624217627976652700e+00
9.687500000000000000e+01 7.162103690026628833e+00 2.869748217781795230e+00 8.997195016738723078e-05 7.715645410997694853e+00
1.000000000000000000e+02 7.276173605451568882e+00 2.842337038111157455e+00 -4.686723354601875024e-05 7.811631211026614174e+00
1.031250000000000000e+02 7.384336468666347741e+00 2.811529579211448748e+00 -4.984732326758240656e-06 7.901463387074671552e+00
1.062500000000000000e+02 7.493474286973880183e+00 2.775452115754604154e+00 4.737425965471127657e-05 7.990950590426005640e+00
1.093750000000000000e+02 7.598288078781033406e+00 2.737203744380486636e+00 -8.992251181645726876e-05 8.076277983977680819e+00
1.125000000000000000e+02 7.704105403965393783e+00 2.697256611577324659e+00 1.356157561989754896e-04 8.162624168886988940e+00
1.156250000000000000e+02 7.804999346120800041e+00 2.654401516899393521e+00 -1.818658546977948193e-04 8.244019786423313789e+00
1.187500000000000000e+02 7.902331979594867661e+00 2.608453927543717299e+00 2.237920691101400567e-04 8.321711522152691387e+00
1.218750000000000000e+02 8.000931366943722978e+00 2.561577721432868326e+00 -2.631129021739418055e-04 8.400987039075442198e+00
1.250000000000000000e+02 8.097573111663109557e+00 2.508791195884263026e+00 2.968353032571981751e-04 8.477306391265267749e+00
