# f, Suu, Svv, Sww
0.000000000000000000e+00 8.140608825744638163e-03 1.137409325372092453e-02 2.291901416557695723e-03
2.856734752178260420e-04 2.130552513084344568e+00 7.129629291102069111e+00 8.420529558275652651e-03
5.713469504356520840e-04 2.140376792245063386e-01 2.073181217199993931e+00 6.005312762034847179e-03
8.570204256534780718e-04 8.246919520637076284e-02 7.976716114937869584e-01 9.192832986520522998e-03
1.142693900871304168e-03 5.789347775202318552e-02 4.744505903978099015e-01 4.589370060062082646e-03
1.428367376089130156e-03 7.550772456058513216e-02 1.934300752293376391e-01 8.364342136575103961e-03
1.714040851306956144e-03 5.288859479500649524e-02 1.182150098069079114e-01 6.373810427361965847e-03
1.999714326524782131e-03 4.864560162317019959e-02 2.856962959328617768e-01 6.862562191441234395e-03
2.285387801742608336e-03 3.172113402439123014e-02 1.621232196629568134e-01 1.198509656839616584e-02
2.571061276960434107e-03 5.032537014210460014e-02 8.198345104440533937e-02 1.128485618011096543e-02
2.856734752178260311e-03 8.822983863361702483e-02 6.963669527536074655e-02 9.176244241517424183e-03
3.142408227396086082e-03 3.875090158854569561e-02 2.630269055970317904e-01 1.127179736890693111e-02
3.428081702613912287e-03 4.671999479532193411e-02 1.535392437419782208e-01 1.160680611832906432e-02
3.713755177831738492e-03 2.768276677119150056e-02 2.654556805678850995e-01 2.644387737689819426e-02
3.999428653049564263e-03 6.807849896251748356e-02 7.437525753398068762e-01 1.139870482614517566e-01
4.285102128267390467e-03 3.992064704864092817e-02 1.166531964024327461e+00 2.400585398140043514e-01
4.570775603485216672e-03 3.074937643284387373e-02 5.409478793995021739e-01 9.103484418295244851e-02
4.856449078703042009e-03 5.829466281144768391e-02 7.848077416323386846e-01 1.503065906972455290e-01
5.142122553920868214e-03 6.133872040554840671e-02 1.218723518387438087e+00 3.261096685545400997e-01
5.427796029138694418e-03 4.336112517702383345e-02 3.369805648643529605e-01 1.888183185175695833e-01
5.713469504356520623e-03 9.916653267762703949e-02 2.245050083149815190e-01 2.408395481962436191e-01
5.999142979574346828e-03 3.462595576612337994e-02 1.483397553438273453e-01 9.339003170626467010e-02
6.284816454792172165e-03 3.887471204178190309e-02 6.939616379108404232e-02 1.038721775602481079e-01
6.570489930009998369e-03 3.869611408293845839e-02 5.206031674647314256e-02 3.737864194149034813e-02
6.856163405227824574e-03 6.215219088137510089e-02 7.376903680572290123e-02 7.233780980148650508e-02
7.141836880445650779e-03 4.676284173593810850e-02 4.215334379475321747e-02 1.632509369657669518e-01
7.427510355663476983e-03 4.528170791297583819e-02 3.552510710748738726e-02 5.543075169127722329e-02
7.713183830881302321e-03 6.968225088574503401e-02 3.773826614011679959e-02 4.149197459786987952e-02
7.998857306099128525e-03 2.158363210646789543e-02 1.556127699609447662e-02 3.068192515941757514e-02
8.284530781316953862e-03 1.921961404086995617e-02 3.030984882357782781e-02 2.720094410366894963e-02
8.570204256534780934e-03 1.642651774847940505e-02 3.058743949626457209e-02 4.609443809352630622e-02
8.855877731752606272e-03 3.347191022260478932e-02 1.718607581459341907e-02 2.103425126989753521e-02
9.141551206970433344e-03 1.063209918117830229e-02 1.949924228888225489e-02 2.159560582457892980e-02
9.427224682188258681e-03 4.060946557292748754e-02 1.818980055087575376e-02 5.476652665795848918e-02
9.712898157406084018e-03 2.552297768255759949e-02 1.696715164648781096e-02 4.383670529964826118e-02
9.998571632623911090e-03 3.293450531494782063e-02 2.263140192973104800e-02 4.755224916263472296e-02
1.028424510784173643e-02 3.227844640902497592e-02 3.919761471839176142e-02 1.725549884144831833e-02
1.056991858305956350e-02 1.435759875994340948e-02 3.187521219369800207e-02 2.854847626536280783e-02
1.085559205827738884e-02 2.567090677215404237e-02 2.188682015573178985e-02 1.662400048855715989e-02
1.114126553349521417e-02 5.750790924449430963e-02 2.134714175716352288e-02 5.261908256205039686e-02
1.142693900871304125e-02 7.396409884699112203e-02 1.550261788474962231e-02 6.233466136499034305e-02
1.171261248393086658e-02 3.929059928633324428e-02 1.746177283459298887e-02 3.460152927284643187e-02
1.199828595914869366e-02 3.382029633543330582e-02 1.998608773540215891e-02 2.351577032990244398e-02
1.228395943436651899e-02 5.362120590307143525e-02 1.859360676795352232e-02 8.097802877280882439e-02
1.256963290958434433e-02 2.062063077724003712e-02 2.196763699726282312e-02 2.673092689307511594e-02
1.285530638480217140e-02 3.867592868309388532e-02 1.796844507581540906e-02 4.342693662576525837e-02
1.314097986001999674e-02 4.686402612241634402e-02 1.347735319658068497e-02 5.628448495840721044e-02
1.342665333523782381e-02 5.682592563702218436e-02 1.933174048254275926e-02 5.570902193448470929e-02
1.371232681045564915e-02 6.246202705499838415e-02 2.946136738870720057e-02 9.429230369131978706e-02
1.399800028567347449e-02 6.708996513211680501e-02 2.569180333961260457e-02 6.820280110275296626e-02
1.428367376089130156e-02 5.902285029601653243e-02 4.538010690883868825e-02 6.751976234976085622e-02
1.456934723610912689e-02 4.421496453969974566e-02 4.703313286029215529e-02 1.448489067603258573e-01
1.485502071132695397e-02 1.266362581938642040e-01 1.843511946169121007e-01 4.181449409654520721e-01
1.514069418654477930e-02 9.300357959119739948e-02 8.731986992495675837e-02 2.627534351934456280e-01
1.542636766176260464e-02 1.038828287460458327e-01 1.438875434968679146e-01 1.912578904056750628e-01
1.571204113698042998e-02 2.441480455133351046e-01 5.820140042068873143e-01 5.561330101652107727e-01
1.599771461219825705e-02 1.124728701899375682e-01 2.894176399703760061e-01 3.553889306466891940e-01
1.628338808741608412e-02 1.494440208048851693e-01 1.209362223256128077e+00 9.409763103762753822e-01
1.656906156263390772e-02 4.526298583825976163e-01 2.889566829221229760e+00 2.471097353137944097e+00
1.685473503785173480e-02 1.396916679280571505e-01 1.498929453247214383e+00 8.073567096802641840e-01
1.714040851306956187e-02 1.174354976272561496e-01 9.947276929681861946e-01 1.005583596722119388e+00
1.742608198828738894e-02 6.763418676930718632e-02 5.870716513406161186e-01 4.875742503327721855e-01
1.771175546350521254e-02 3.086263010254174377e-01 2.860742320462543287e+00 1.797360650352049172e+00
1.799742893872303962e-02 1.388872075108427417e-01 5.127341407484278246e-01 1.822697768206025526e-01
1.828310241394086669e-02 2.012484970045693156e-01 1.468684422230086106e+00 6.379665727726072655e-01
1.856877588915869029e-02 6.232901263359336141e-02 7.982123991306800947e-01 4.306667546322289208e-01
1.885444936437651736e-02 1.085915513705074803e-01 1.570595373687735941e-01 5.493867883181854928e-02
1.914012283959434443e-02 2.643631403509119626e-01 1.360820967043244178e-01 2.929612147082999440e-02
1.942579631481216804e-02 1.457794850586049684e-01 2.406156282453848216e-01 9.667663522058002334e-02
1.971146979002999511e-02 2.774147391142272046e-01 5.856482787625759689e-01 2.532448586837337534e-01
1.999714326524782218e-02 3.984838396544840289e-02 9.312186107997361129e-02 2.204670012920426775e-02
2.028281674046564925e-02 5.463784054423266590e-02 1.489264278333842506e-01 1.945268610100464937e-02
2.056849021568347285e-02 6.199432553099835930e-02 4.627976443769155068e-02 1.216620470166383111e-02
2.085416369090129993e-02 1.858411674520322743e-01 3.545633115140229830e-01 2.688801537851650755e-02
2.113983716611912700e-02 1.926552294678162414e-01 3.030179236075153937e-01 2.262715305286800566e-02
2.142551064133695060e-02 2.578522208676866101e-01 3.919771369932646410e-01 1.743097824299080084e-02
2.171118411655477767e-02 2.053003418621432430e-01 2.429438583188326117e-01 1.945937926959684025e-02
2.199685759177260475e-02 1.589070137382892212e-01 2.456752656105635757e-01 3.496157288342181813e-02
2.228253106699042835e-02 3.091466432351454019e-01 7.998957363032958012e-01 4.055726936416869516e-02
2.256820454220825542e-02 3.996906465454876101e-02 3.100036153085632407e-01 2.500858990589615097e-02
2.285387801742608249e-02 7.764806655912812050e-02 7.760895684490610735e-01 4.599574903186473551e-02
2.313955149264390956e-02 1.006497689175038929e-01 9.498452555100695971e-01 1.262950030015612402e-02
2.342522496786173317e-02 8.075609493011590145e-02 1.982587014462814379e+00 9.579950823207996832e-03
2.371089844307956024e-02 7.854973493201648782e-02 6.943109312593871429e-01 7.981308662412148897e-03
2.399657191829738731e-02 4.095282414813639082e-02 2.431709218587522203e-01 1.310080870558202881e-02
2.428224539351521091e-02 6.592989249372306626e-02 6.377917593112060191e-01 2.417083068636605853e-02
2.456791886873303798e-02 6.315614798568895683e-02 4.312506560810389633e-01 6.725306795608981814e-03
2.485359234395086506e-02 1.043603825055050560e-01 1.467344063985137614e-01 3.614412834605575629e-03
2.513926581916868866e-02 5.060761650505603282e-02 9.122259470691679306e-02 3.087885423886334302e-03
2.542493929438651573e-02 1.925501884213433323e-02 3.006659720646436829e-01 6.493578298583168457e-03
2.571061276960434280e-02 2.242753682511739940e-02 2.181127812403963750e-01 9.967345682114032643e-03
2.599628624482216988e-02 2.916780422088311592e-02 1.737926995822409171e-01 1.784994730796173740e-02
2.628195972003999348e-02 4.435627422586784635e-02 9.444105981422731833e-02 2.612050305111031021e-02
2.656763319525782055e-02 4.658960703511758061e-02 2.641101687586204783e-01 2.474881938306884577e-02
2.685330667047564762e-02 1.218805491138093694e-01 1.947683947674938021e-01 2.970196685520976043e-02
2.713898014569347122e-02 4.267120098699080100e-02 1.210093138138520624e-01 1.815144979401395881e-02
