# z, u, v, w, u_mag
0.000000000000000000e+00 4.243498186573101627e+00 1.522834878289947014e+00 2.230986278626236139e-03 4.508470683423075442e+00
1.041666700000000034e+01 5.375522049852265560e+00 1.905563273928939649e+00 -1.636206392647042559e-03 5.703280755544657410e+00
2.083333299999999966e+01 6.586782011680427651e+00 2.275960790438733561e+00 7.944749106190545371e-04 6.968909198734171362e+00
3.125000000000000000e+01 6.838527766489506554e+00 2.325681412609527321e+00 -9.320606079428467436e-04 7.223174988517333084e+00
4.166666699999999679e+01 7.137153763993725697e+00 2.387342658389246974e+00 1.183674306500928598e-03 7.525846810860536529e+00
5.208333300000000321e+01 7.338741627547593183e+00 2.419371167658344035e+00 -1.059035916352740921e-03 7.727256087664848394e+00
6.250000000000000000e+01 7.535194082354990996e+00 2.448534284740782052e+00 9.950312466952483843e-04 7.923034203661871722e+00
7.291666700000000390e+01 7.698542845227368758e+00 2.469245441303668187e+00 -8.777148098016242283e-04 8.084846056641012524e+00
8.333333299999999610e+01 7.854777729265820518e+00 2.483904451098986055e+00 7.836777895563673199e-04 8.238162119824455232e+00
9.375000000000000000e+01 7.993905738486100532e+00 2.492754990552614736e+00 -6.962246490122673843e-04 8.373551031877379813e+00
1.041666670000000039e+02 8.125781470914596127e+00 2.500793543663516694e+00 6.120167663359162230e-04 8.501899389880630764e+00
1.145833329999999961e+02 8.249393398125381083e+00 2.503180244219473938e+00 -5.384531393683526226e-04 8.620812204312136018e+00
1.250000000000000000e+02 8.366155444438485134e+00 2.502065560072602501e+00 4.702114492264090569e-04 8.732290032317292727e+00
1.354166669999999897e+02 8.476930154217342306e+00 2.498716110995611306e+00 -3.986426882337048856e-04 8.837529473882634434e+00
1.458333330000000103e+02 8.585039838051359951e+00 2.493308517284303694e+00 3.343985049385453140e-04 8.939770494543678225e+00
1.562500000000000000e+02 8.685805358862811687e+00 2.483560675343421398e+00 -2.825390356056206110e-04 9.033896636556702830e+00
1.666666669999999897e+02 8.784364023710665492e+00 2.471406439497579655e+00 2.421158164164377861e-04 9.125398684379351977e+00
1.770833330000000103e+02 8.877757077584776724e+00 2.456394465867402399e+00 -2.071292188373476996e-04 9.211321541638479715e+00
1.875000000000000000e+02 8.971568834413472970e+00 2.438119821690161171e+00 1.746982462175369866e-04 9.296960559562304383e+00
1.979166669999999897e+02 9.060591047495496042e+00 2.419622709237102320e+00 -1.485418846718996200e-04 9.378106642978428553e+00
2.083333330000000103e+02 9.145797080735114548e+00 2.398108882874517178e+00 1.337370759547485506e-04 9.454973848403295023e+00
2.187500000000000000e+02 9.227266567227186300e+00 2.374501334850632528e+00 -1.234721214043366837e-04 9.527890895005114658e+00
2.291666669999999897e+02 9.305030556324711100e+00 2.349136766038026014e+00 1.073865736702034682e-04 9.596980629928355100e+00
2.395833330000000103e+02 9.380037613476888581e+00 2.323537359214129516e+00 -9.258159362564676704e-05 9.663536179808938087e+00
2.500000000000000000e+02 9.453342947376913941e+00 2.297163500934920055e+00 8.440089487334361733e-05 9.728445561232890171e+00
2.604166670000000181e+02 9.524842771917942486e+00 2.266130215302739170e+00 -7.790595048505481897e-05 9.790708656095066686e+00
2.708333329999999819e+02 9.591488082334056031e+00 2.232909326884699119e+00 6.763255789197182891e-05 9.847970740219484043e+00
2.812500000000000000e+02 9.657070367507452957e+00 2.200609170994687336e+00 -6.304453065013749385e-05 9.904629665486289980e+00
