# f, Suu, Svv, Sww
0.000000000000000000e+00 3.344677364226200655e-01 7.468217532314823381e-02 2.008573061485952049e-02
4.165798791918350411e-04 1.927282541794959059e+01 3.376438395670783521e+00 8.535514836557516194e-01
8.331597583836700821e-04 1.306135327497739596e+01 1.720380467612719677e+00 1.293214088176233956e+00
1.249739637575505123e-03 1.912440122861712055e+01 4.317820840956327899e+00 1.210509476755903924e+00
1.666319516767340164e-03 8.620551456437912208e+00 1.865830554643208794e+00 7.959902803866180099e-01
2.082899395959175205e-03 6.641609942949181722e+00 1.403446220535432776e+00 7.639947490393617091e-01
2.499479275151010246e-03 1.356828436563739970e+01 2.005163883137607517e+00 1.243806087887278089e+00
2.916059154342845287e-03 8.361430603421704078e+00 1.538374166894995732e+00 7.455703808838948232e-01
3.332639033534680328e-03 8.786624127343745982e+00 1.856838761462749510e+00 7.945194361013593332e-01
3.749218912726515369e-03 8.367955581067221260e+00 1.772630772181732484e+00 8.207048136761585511e-01
4.165798791918350411e-03 8.664449235493734136e+00 3.194680380452897150e+00 8.711803019018439231e-01
4.582378671110185452e-03 1.053346038367386228e+01 2.050521750723974801e+00 7.973927876178489305e-01
4.998958550302020493e-03 4.949432748046634245e+00 2.227462352811159008e+00 5.071970636592956216e-01
5.415538429493855534e-03 5.904294367463702287e+00 1.310172064316122764e+00 1.101909405709441403e+00
5.832118308685690575e-03 5.041748149842299576e+00 2.311369717442946392e+00 7.669736845165406880e-01
6.248698187877525616e-03 9.444410696150445261e+00 2.424201999975025945e+00 1.130617791798124383e+00
6.665278067069360657e-03 5.452410509436114161e+00 3.114598126885724128e+00 1.154626220191359742e+00
7.081857946261195698e-03 5.301532555704911331e+00 2.036360948069599441e+00 7.957646189642398893e-01
7.498437825453030739e-03 5.393338428254239147e+00 1.439556458356938684e+00 5.942271087294503928e-01
7.915017704644864913e-03 4.638254529684843419e+00 2.011180536977803968e+00 7.339474573871901386e-01
8.331597583836700821e-03 4.913646995600894130e+00 1.690748353304118545e+00 8.391383464691214433e-01
8.748177463028534995e-03 4.344758133577474979e+00 2.481763150264809870e+00 8.436341898166156428e-01
9.164757342220370903e-03 4.534086949157856594e+00 2.499931282489937789e+00 8.478684406307482879e-01
9.581337221412205077e-03 1.898971934796823691e+00 2.234442274699898423e+00 7.384129743286406145e-01
9.997917100604040985e-03 3.666562988715719840e+00 1.279301745480129204e+00 8.588889168120295015e-01
1.041449697979587516e-02 3.894354076024448830e+00 2.872138112457780501e+00 8.393678865686301505e-01
1.083107685898771107e-02 5.193042620008167631e+00 1.087957025486539386e+00 8.041356378045603215e-01
1.124765673817954524e-02 3.644211726965339793e+00 1.925764192201522729e+00 1.153901514256514327e+00
1.166423661737138115e-02 2.718400701014082266e+00 1.574209288580822097e+00 9.645049695746585883e-01
1.208081649656321532e-02 2.968757806912948993e+00 1.906321731079190895e+00 1.323222477646694539e+00
1.249739637575505123e-02 4.646741131908354916e+00 2.747331534005899911e+00 8.069756194957381501e-01
1.291397625494688541e-02 3.150381457237731553e+00 1.827028243183684175e+00 8.217441613535377831e-01
1.333055613413872131e-02 3.947023805270494012e+00 1.258536051183187787e+00 6.184520576820049520e-01
1.374713601333055549e-02 2.629997703917521079e+00 1.239859968068906637e+00 6.974113976246864022e-01
1.416371589252239140e-02 3.362331837982603044e+00 1.185635452235962894e+00 7.893060003012725145e-01
1.458029577171422557e-02 2.704607569021127311e+00 1.405071186487352408e+00 9.289315334193197771e-01
1.499687565090606148e-02 2.170195942199846684e+00 2.397009631782021533e+00 8.869337782968966799e-01
1.541345553009789565e-02 3.210944302202636269e+00 1.550687427875351965e+00 9.036922632664187161e-01
1.583003540928972983e-02 3.738476863044905674e+00 1.892229339481230843e+00 7.826636461440928949e-01
1.624661528848156747e-02 4.173506682357347231e+00 2.844971390220603524e+00 1.215600783181402633e+00
1.666319516767340164e-02 2.055340890025374456e+00 1.252961861267551491e+00 4.561536859159641133e-01
1.707977504686523582e-02 3.218002245359142144e+00 1.402120717536003092e+00 1.388864304379414882e+00
1.749635492605706999e-02 2.489049805005337568e+00 1.979579128126441212e+00 1.081112471722185830e+00
1.791293480524890763e-02 1.875617594461645332e+00 1.465615624932062211e+00 5.822584157371977209e-01
1.832951468444074181e-02 1.973153638731181436e+00 1.601896603778252715e+00 5.711648366189261417e-01
1.874609456363257598e-02 2.754849928432285378e+00 1.920070843731175758e+00 1.086090210444184523e+00
1.916267444282441015e-02 1.749938995342051218e+00 1.536557677274738909e+00 5.328607216718224127e-01
1.957925432201624780e-02 2.592436441468597863e+00 1.513876397638602489e+00 9.776740774032470771e-01
1.999583420120808197e-02 2.575823036638780206e+00 1.426261839095949391e+00 5.659302956212644009e-01
2.041241408039991614e-02 2.813426238785768252e+00 2.147763834910762171e+00 5.508499556423961385e-01
2.082899395959175032e-02 2.589715532209739379e+00 1.246008197932021666e+00 6.733537499295411122e-01
2.124557383878358796e-02 2.501686830893921520e+00 1.539460409727362311e+00 7.355125599020748695e-01
2.166215371797542213e-02 3.141304308708339210e+00 1.200709381617804272e+00 5.419840911030839870e-01
2.207873359716725631e-02 1.859145923730774808e+00 1.998882625693073400e+00 5.755887224284995662e-01
2.249531347635909048e-02 2.334529912772212334e+00 1.329670960798841728e+00 1.011300166966887071e+00
2.291189335555092813e-02 1.352682950501425729e+00 1.205613447878622235e+00 6.446127926081389736e-01
2.332847323474276230e-02 2.014377692584786494e+00 1.255457790199929979e+00 6.500842984377740441e-01
2.374505311393459647e-02 2.252038414149605927e+00 1.556720325013319028e+00 8.012681460049796422e-01
2.416163299312643065e-02 2.621843681709505880e+00 1.065032936180878576e+00 6.469154783534967201e-01
2.457821287231826829e-02 1.618010459385893496e+00 1.266515654223760556e+00 6.749672256960654870e-01
2.499479275151010246e-02 2.879940267002003562e+00 1.298811233395085196e+00 7.669887325746476137e-01
2.541137263070193664e-02 1.246508655269017218e+00 1.442221964256245492e+00 9.605494532817761000e-01
2.582795250989377081e-02 1.542163562009071232e+00 1.188032213007799154e+00 1.010086419738221331e+00
2.624453238908560845e-02 2.035147274091174019e+00 1.000476076895730371e+00 7.026061534906241635e-01
2.666111226827744263e-02 1.647275103034994803e+00 1.448872216638030563e+00 6.870432762733550414e-01
