# z, u, v, w, u_mag
0.000000000000000000e+00 3.917011234352651972e+00 1.385448538760804649e+00 -1.684029619674774769e-02 4.154843951242372491e+00
1.041666700000000034e+01 5.612325817872414468e+00 1.977759202539870254e+00 1.595746770590385222e-02 5.950629142365031932e+00
2.083333299999999966e+01 6.444617255303734638e+00 2.231970872236136660e+00 -1.426923558871550334e-02 6.820189817956203271e+00
3.125000000000000000e+01 6.808963846856143753e+00 2.332378930976464648e+00 1.228262506501525200e-02 7.197369728472716055e+00
4.166666699999999679e+01 7.084512464058502879e+00 2.397983688102735655e+00 -1.040563928666305912e-02 7.479354978815756283e+00
5.208333300000000321e+01 7.306233759117608528e+00 2.442926371945864261e+00 9.011471522749770618e-03 7.703831657573873670e+00
6.250000000000000000e+01 7.494127212980512098e+00 2.473185912705601286e+00 -7.784743928371965459e-03 7.891682447069099382e+00
7.291666700000000390e+01 7.665151543167134207e+00 2.495109080200385243e+00 6.784017835332325705e-03 8.061027448453074840e+00
8.333333299999999610e+01 7.813594890082203648e+00 2.512921938007503186e+00 -5.933976073407534052e-03 8.207744939074931523e+00
9.375000000000000000e+01 7.958246218795320459e+00 2.525780842293443129e+00 5.213727223294119771e-03 8.349447821575877171e+00
1.041666670000000039e+02 8.085705744360671687e+00 2.532854859543284931e+00 -4.583497945091524750e-03 8.473134728797401038e+00
1.145833329999999961e+02 8.210418201319527043e+00 2.538901737113930857e+00 4.041862181510583706e-03 8.594009856168947081e+00
1.250000000000000000e+02 8.327372615643906073e+00 2.542002925432170546e+00 -3.573382299002638568e-03 8.706717310315225333e+00
1.354166669999999897e+02 8.442037542206088929e+00 2.542533270577879367e+00 3.169992903233692649e-03 8.816602709936944393e+00
1.458333330000000103e+02 8.549363426633430407e+00 2.537200652399771883e+00 -2.820313809038617857e-03 8.917903907609968428e+00
1.562500000000000000e+02 8.651337499335967962e+00 2.529274823865807154e+00 2.509589697417590696e-03 9.013483120309183860e+00
1.666666669999999897e+02 8.748669094611280173e+00 2.518710801827457768e+00 -2.238798750288981728e-03 9.104016698274927322e+00
1.770833330000000103e+02 8.842225817757789486e+00 2.507551557028942835e+00 1.998315577777708563e-03 9.190907257536974129e+00
1.875000000000000000e+02 8.933566580558625958e+00 2.493875780678756371e+00 -1.780932710435926061e-03 9.275129725801754432e+00
1.979166669999999897e+02 9.021345776849942766e+00 2.474756470742690340e+00 1.587608246553749974e-03 9.354629962508996144e+00
2.083333330000000103e+02 9.105100912610700092e+00 2.457050137802691214e+00 -1.413936542175162157e-03 9.430798481980037451e+00
2.187500000000000000e+02 9.188505615016191896e+00 2.439712370360928251e+00 1.267739067070783755e-03 9.506883479586702990e+00
2.291666669999999897e+02 9.267462172914253671e+00 2.417491531511154701e+00 -1.144722637007548199e-03 9.577584337489001953e+00
2.395833330000000103e+02 9.344465709201239534e+00 2.395140596936257804e+00 1.034204980408684081e-03 9.646540257476248215e+00
2.500000000000000000e+02 9.419149528068309962e+00 2.369979276772813392e+00 -9.347285944426864937e-04 9.712732904706047776e+00
2.604166670000000181e+02 9.489942336923141042e+00 2.345112940078495356e+00 8.409584913322562874e-04 9.775405923390652063e+00
2.708333329999999819e+02 9.557803912374206234e+00 2.318917704842977212e+00 -7.570393154022151284e-04 9.835090010891534007e+00
2.812500000000000000e+02 9.626184428573759888e+00 2.292147618938098930e+00 6.846157997220134010e-04 9.895320501561245763e+00
2.916666670000000181e+02 9.689754273550494901e+00 2.262461819197004953e+00 -6.203081293413498839e-04 9.950380482669819671e+00
3.020833329999999819e+02 9.754795873440825105e+00 2.231824780934953623e+00 5.587895086306127451e-04 1.000685188745887366e+01
3.125000000000000000e+02 9.816834493230393477e+00 2.200648197930889616e+00 -5.063887649426357948e-04 1.006047176900587026e+01
3.229166670000000181e+02 9.878574536492132907e+00 2.168235484347714959e+00 4.628367299616640293e-04 1.011372731503243472e+01
3.333333329999999819e+02 9.938474200454228580e+00 2.132855349106633547e+00 -4.223909264332941470e-04 1.016475978819574522e+01
3.437500000000000000e+02 9.998117962315211216e+00 2.094757762608294271e+00 3.808192840095927134e-04 1.021520303358680692e+01
3.541666670000000181e+02 1.005825371960322911e+01 2.056054979869160082e+00 -3.433755593598729664e-04 1.026624712765398861e+01
3.645833329999999819e+02 1.011591791907617655e+01 2.014818229031515529e+00 3.088280025458843797e-04 1.031461525879171681e+01
3.750000000000000000e+02 1.017286225473634076e+01 1.974415216635171610e+00 -2.795650559546364431e-04 1.036269472577844830e+01
3.854166670000000181e+02 1.022874575126418328e+01 1.931079111580805918e+00 2.529864487545178324e-04 1.040943352172398129e+01
3.958333329999999819e+02 1.028373740951169069e+01 1.884730416141576326e+00 -2.316095151178372449e-04 1.045502099007756058e+01
4.062500000000000000e+02 1.033591173665316632e+01 1.836862380289446373e+00 2.081039330138002895e-04 1.049786334809681776e+01
4.166666670000000181e+02 1.039016765529536990e+01 1.784143158625605352e+00 -1.944710369260335356e-04 1.054223651572262987e+01
4.270833329999999819e+02 1.043963829656691367e+01 1.728989071572158087e+00 1.794396957248729362e-04 1.058184534969969626e+01
4.375000000000000000e+02 1.049103899635970905e+01 1.670237243613238887e+00 -1.696859085573389951e-04 1.062316298010560445e+01
4.479166670000000181e+02 1.054202380350962542e+01 1.606068922066437255e+00 1.540204210095702704e-04 1.066366368936649778e+01
4.583333329999999819e+02 1.059081732229677897e+01 1.536155256611406950e+00 -1.490104374202721614e-04 1.070164401150031175e+01
4.687500000000000000e+02 1.064012264452345136e+01 1.460914326480758696e+00 1.312083124291949367e-04 1.073994788521029520e+01
4.791666670000000181e+02 1.068799916759903823e+01 1.371824953553266946e+00 -1.315372865225257417e-04 1.077567770152259286e+01
4.895833329999999819e+02 1.072902730369732005e+01 1.271316901028223034e+00 1.031619276059286030e-04 1.080408596582630665e+01
5.000000000000000000e+02 1.076226607236039712e+01 1.152648997786271723e+00 -1.169098411346354148e-04 1.082381498077481474e+01
5.104166670000000181e+02 1.077924565812690716e+01 1.012997410361659023e+00 6.560547258732638844e-05 1.082674007797136007e+01
5.208333330000000387e+02 1.076818182661358314e+01 8.559722087518844003e-01 -1.221374712468035963e-04 1.080214924392753417e+01
5.312500000000000000e+02 1.071501399742433946e+01 6.834029249110699089e-01 1.423492390765579946e-05 1.073678557683719248e+01
5.416666669999999613e+02 1.060110592772647387e+01 5.057608165516374044e-01 -1.408565542598370229e-04 1.061316356767749625e+01
5.520833330000000387e+02 1.043069645158132097e+01 3.502472241382916240e-01 -6.674385043593438116e-06 1.043657518456568667e+01
5.625000000000000000e+02 1.026235596554699825e+01 2.371110775764135037e-01 -8.782889302938023512e-05 1.026509481857919504e+01
5.729166669999999613e+02 1.012946898618033131e+01 1.629089286337886133e-01 5.499827575180994704e-05 1.013077890707534046e+01
5.833333330000000387e+02 1.003619352756986238e+01 1.157942497533686471e-01 -1.772933790732877647e-06 1.003686150303541247e+01
5.937500000000000000e+02 9.982088103338753626e+00 8.692504673759920975e-02 9.087450858026410890e-05 9.982466572687613393e+00
6.041666669999999613e+02 9.960497947429503895e+00 6.865756298069269903e-02 2.579203663941742817e-05 9.960734572428231459e+00
6.145833330000000387e+02 9.960250789484078382e+00 5.471223221520530450e-02 7.391227996935263939e-05 9.960401057348805764e+00
6.250000000000000000e+02 9.970419839479257362e+00 4.187093254047108415e-02 1.043459985956248793e-05 9.970507757911944324e+00
6.354166669999999613e+02 9.982731464368850283e+00 2.946550745871599070e-02 4.214269178115921622e-05 9.982774950263360481e+00
6.458333330000000387e+02 9.992295380313896302e+00 1.825166140973505033e-02 -5.892719597114503788e-06 9.992312049301771637e+00
6.562500000000000000e+02 9.997419292896090326e+00 9.339426189268373174e-03 2.085748851540300615e-05 9.997423655286771904e+00
6.666666669999999613e+02 9.998682187870258531e+00 3.463121954535154038e-03 -1.346962899958777778e-05 9.998682787619031842e+00
6.770833330000000387e+02 9.997692942023460816e+00 6.541580513345494115e-04 9.843164704067950592e-06 9.997692963429381408e+00
6.875000000000000000e+02 9.996080630204485118e+00 2.727554590030953113e-04 -1.434515378746404665e-05 9.996080633936013982e+00
6.979166669999999613e+02 9.994902211044164986e+00 1.330903935376179974e-03 5.932831599209539154e-06 9.994902299656361677e+00
7.083333330000000387e+02 9.994548803400180148e+00 2.873441651285971784e-03 -1.131416688775245481e-05 9.994549216465086872e+00
7.187500000000000000e+02 9.994886910910176780e+00 4.240307412014967733e-03 5.728046897418901219e-06 9.994887810382032001e+00
7.291666669999999613e+02 9.995550053645869681e+00 5.131158982907775383e-03 -7.333526741918424782e-06 9.995551370674167657e+00
7.395833330000000387e+02 9.996162308267697583e+00 5.533112452268183594e-03 6.253722660158736918e-06 9.996163839623893210e+00
7.500000000000000000e+02 9.996495556997546217e+00 5.579603769747496465e-03 -4.409314224584214087e-06 9.996497114143000573e+00
7.604166669999999613e+02 9.996489890197842954e+00 5.431234034227716209e-03 6.064323989952415910e-06 9.996491365632623527e+00
7.708333330000000387e+02 9.996223568567629059e+00 5.209996652737518275e-03 -2.881245963193362391e-06 9.996224926283939993e+00
7.812500000000000000e+02 9.995829234242314953e+00 4.987189158533932021e-03 5.231364277330505815e-06 9.995830478365284932e+00
7.916666669999999613e+02 9.995441153228053821e+00 4.800990248677557484e-03 -2.207388935130247856e-06 9.995442306229234575e+00
8.020833330000000387e+02 9.995146755816204376e+00 4.674525834089253082e-03 4.135220854728225004e-06 9.995147848907091515e+00
8.125000000000000000e+02 9.994986195116052130e+00 4.625427381604430010e-03 -2.024578577745880869e-06 9.994987265381732655e+00
8.229166669999999613e+02 9.994950822062650175e+00 4.666018737986333577e-03 2.924107325964127081e-06 9.994951911199486005e+00
8.333333330000000387e+02 9.994997800706222790e+00 4.792855360324153706e-03 -2.127998392163073629e-06 9.994998949854334569e+00
8.437500000000000000e+02 9.995061639686117161e+00 4.982933157134608430e-03 1.765422192890599980e-06 9.995062881780729214e+00
8.541666669999999613e+02 9.995071730588357184e+00 5.190530674134088453e-03 -2.233917432325773143e-06 9.995073078333154726e+00
8.645833330000000387e+02 9.994975111184631444e+00 5.361471156303357008e-03 9.134230091282190225e-07 9.994976549175792258e+00
8.750000000000000000e+02 9.994747298931871526e+00 5.447421853659501628e-03 -2.088391526626140894e-06 9.994748783431985473e+00
8.854166669999999613e+02 9.994402628009806833e+00 5.422378299119962573e-03 4.728878721053856733e-07 9.994404098942366588e+00
8.958333330000000387e+02 9.993980119953981500e+00 5.287092330592360959e-03 -1.673136248613366528e-06 9.993981518463174396e+00
9.062500000000000000e+02 9.993535613562006148e+00 5.067573274557715668e-03 3.565832991251360785e-07 9.993536898407448632e+00
9.166666669999999613e+02 9.993121292364236297e+00 4.809536037597126473e-03 -1.072360561432678060e-06 9.993122449742198654e+00
9.270833330000000387e+02 9.992783342556453618e+00 4.568057602473342416e-03 4.189055142879578664e-07 9.992784386667420193e+00
9.375000000000000000e+02 9.992550348678658878e+00 4.392220947153494155e-03 -4.550949703813491189e-07 9.992551313977980243e+00
9.479166669999999613e+02 9.992439543037257010e+00 4.308267567264143817e-03 4.375320590968761431e-07 9.992440471797879198e+00
9.583333330000000387e+02 9.992457664186177979e+00 4.314955127338383420e-03 -2.138381367617529910e-08 9.992458595830699508e+00
9.687500000000000000e+02 9.992610008134741761e+00 4.389209698114680466e-03 2.410197517875632606e-07 9.992610972105159917e+00
9.791666669999999613e+02 9.992890560827733637e+00 4.497589289752254062e-03 1.722196001255748789e-07 9.992891572962726343e+00
9.895833330000000387e+02 9.993273518462206795e+00 4.603261972595444271e-03 -1.210798364004310508e-07 9.993274578676341946e+00
1.000000000000000000e+03 9.993705556454969496e+00 4.674468074439656895e-03 2.943249776710234773e-07 9.993706649675624831e+00
1.010416666999999961e+03 9.994119411127414310e+00 4.691746057136175242e-03 -4.673790469609768522e-07 9.994120512399030432e+00
1.020833333000000039e+03 9.994453126616964056e+00 4.654865597390691820e-03 5.068033605332601510e-07 9.994454210606880551e+00
1.031250000000000000e+03 9.994672244595124155e+00 4.579625324048424741e-03 -7.331989998597988946e-07 9.994673293802494030e+00
1.041666666999999961e+03 9.994775894194665611e+00 4.489009754364750755e-03 8.074804573755435369e-07 9.994776902281710562e+00
1.052083333000000039e+03 9.994790290155153301e+00 4.398342548840236677e-03 -9.988773938764509585e-07 9.994791257930197403e+00
1.062500000000000000e+03 9.994749401147345225e+00 4.308308379979832597e-03 1.135465050171334681e-06 9.994750329710972991e+00
1.072916666999999961e+03 9.994680371776158978e+00 4.208071524955006408e-03 -1.301874132960406141e-06 9.994681257640749550e+00
1.083333333000000039e+03 9.994596920994204936e+00 4.089405042683699407e-03 1.526488146247308955e-06 9.994597757607996513e+00
1.093750000000000000e+03 9.994507620485540755e+00 3.956517371832562677e-03 -1.637942167735565940e-06 9.994508403617254899e+00
1.104166666999999961e+03 9.994424543201242628e+00 3.827443262553779750e-03 1.955590384059633892e-06 9.994425276076114528e+00
1.114583333000000039e+03 9.994368356326221559e+00 3.724958882194722223e-03 -2.090967291449613567e-06 9.994369050483273398e+00
1.125000000000000000e+03 9.994361748030065939e+00 3.665869595610456774e-03 2.400796344480945973e-06 9.994362420339390596e+00
1.135416666999999961e+03 9.994421916911122139e+00 3.651098487936513867e-03 -2.659166351214702000e-06 9.994422583809463134e+00
1.145833333000000039e+03 9.994551955057110249e+00 3.666276039778383709e-03 2.921531148985832654e-06 9.994552627502866216e+00
1.156250000000000000e+03 9.994738495680733692e+00 3.689610199862344841e-03 -3.313566473694504927e-06 9.994739176700749184e+00
1.166666666999999961e+03 9.994949761060347271e+00 3.704365589585323967e-03 3.573083317982779803e-06 9.994950447523864412e+00
1.177083333000000039e+03 9.995142739842249213e+00 3.702916282447231509e-03 -4.045848506899143117e-06 9.995143425755660616e+00
