# z, uu, uv, uw, vv, vw, ww, tke
5.208333333329999704e+00 5.579820719452567301e-01 1.060308382248868614e-01 -6.159903050406188157e-02 2.070744903930021308e-01 -1.442840675551661754e-02 4.684442882564458094e-02 4.059504955819532857e-01
1.562500000000000000e+01 7.670564343960255549e-01 1.501432662940688223e-01 -8.936020613782579003e-02 2.848319369473141238e-01 -2.162377282644257007e-02 6.243196480029776507e-02 5.571601680718181182e-01
2.604166666669999941e+01 6.340227751626971164e-01 1.114864227580951994e-01 -9.551419629969637448e-02 2.616962497651755259e-01 -2.110903004544651199e-02 1.026753633488370204e-01 4.991971941383551159e-01
3.645833333329999704e+01 5.690318814165618022e-01 9.131909623063796944e-02 -9.842622480929941187e-02 2.517879970242964394e-01 -2.023714060257922331e-02 1.096345821454855207e-01 4.652272302931712566e-01
4.687500000000000000e+01 5.006547711962899827e-01 7.192822600699790014e-02 -9.871316188264013525e-02 2.360532234798309870e-01 -1.779577449145127582e-02 1.220243551443277730e-01 4.293661749102239411e-01
5.729166666670000296e+01 4.583918087322834678e-01 5.794250992247507864e-02 -9.745946087585184714e-02 2.248179902803335017e-01 -1.581292210502867335e-02 1.243590674068173058e-01 4.037844332097175193e-01
6.770833333330000414e+01 4.209236523941903840e-01 4.675561143649249046e-02 -9.630788683948461604e-02 2.131919902437715009e-01 -1.340496642670455270e-02 1.272409058101369173e-01 3.806782742240504280e-01
7.812500000000000000e+01 3.944007168599494295e-01 3.882001054253222949e-02 -9.411123548518630921e-02 2.034049064584871336e-01 -1.170689673926177642e-02 1.268958451889081462e-01 3.623507342536720910e-01
8.854166666669999586e+01 3.713549434752006495e-01 3.219172623899503594e-02 -9.226772377886395538e-02 1.943518310319917453e-01 -9.706576790597182952e-03 1.265956170237356737e-01 3.461511957654651583e-01
9.895833333330000414e+01 3.522220808481852927e-01 2.703957442589404250e-02 -8.980587338876235004e-02 1.871541952292788136e-01 -7.747591084465091892e-03 1.250962146993507551e-01 3.322362453884076805e-01
1.093750000000000000e+02 3.354406475215198635e-01 2.187509726762432161e-02 -8.764633149530706713e-02 1.792138850159798458e-01 -6.305992136659290502e-03 1.237802321111157317e-01 3.192173823243080188e-01
1.197916666670000012e+02 3.197681999923555618e-01 1.740815075944028567e-02 -8.522618125994760319e-02 1.720289189894610715e-01 -4.276310549250510705e-03 1.219873175414609157e-01 3.068922182616375394e-01
1.302083333330000130e+02 3.073518523777309941e-01 1.419779772818686135e-02 -8.300216531319623559e-02 1.659282175218530220e-01 -2.811176658208951618e-03 1.198468232678875922e-01 2.965634465837364009e-01
1.406250000000000000e+02 2.965276830431745614e-01 1.111575382278437267e-02 -8.074165035701134918e-02 1.606508831389939496e-01 -1.335456622047666254e-03 1.174746236658786858e-01 2.873265949240249584e-01
1.510416666669999870e+02 2.862556637686763938e-01 9.303820949301003229e-03 -7.832622305794004203e-02 1.557265423007314908e-01 -6.122284587307327689e-05 1.152525923797546314e-01 2.786173992245812858e-01
1.614583333330000130e+02 2.761810956367647951e-01 7.396157527482669948e-03 -7.618449383471563585e-02 1.514920235776960333e-01 1.374871971306770640e-03 1.125974564127078109e-01 2.701352878135849234e-01
1.718750000000000000e+02 2.660652810787723643e-01 5.320819497251139639e-03 -7.372691717040294468e-02 1.476971219459986273e-01 2.607843066250851039e-03 1.101987434981144404e-01 2.619805732614430838e-01
1.822916666669999870e+02 2.575797698533971447e-01 2.377777647830618332e-03 -7.164130540087766674e-02 1.446622767922981223e-01 3.852329019602667836e-03 1.075522343754468091e-01 2.548971405105720511e-01
1.927083333330000130e+02 2.484748051241698341e-01 4.055030367273558946e-04 -6.900082238406241020e-02 1.416183983064909502e-01 4.848553580014651997e-03 1.049227045077624348e-01 2.475079539692117692e-01
2.031250000000000000e+02 2.406039549647275011e-01 -1.646900843361838668e-03 -6.669265563429145616e-02 1.379876668473389023e-01 5.888493745471777042e-03 1.022834704598756528e-01 2.404375461359699040e-01
2.135416666669999870e+02 2.328134857121794132e-01 -3.297150320513628219e-03 -6.433265639929428015e-02 1.347620856229082009e-01 6.936964533766814059e-03 9.960927225051055545e-02 2.335924217927988489e-01
2.239583333330000130e+02 2.240857000152402523e-01 -4.455138407735054901e-03 -6.197769452261551321e-02 1.315196704627890067e-01 7.697828280794726322e-03 9.686274839040069640e-02 2.262340594342145683e-01
2.343750000000000000e+02 2.143773664076843721e-01 -5.253398889693242091e-03 -5.969459582655313457e-02 1.280433809746108487e-01 8.456216143689500309e-03 9.402044079889514128e-02 2.182205940905956043e-01
2.447916666669999870e+02 2.059318761963570277e-01 -6.786166899283864115e-03 -5.740512402078369603e-02 1.247163271528980710e-01 9.083030619251858742e-03 9.113667063831443205e-02 2.108924369937852372e-01
2.552083333330000130e+02 1.976163555225883550e-01 -8.212924296273106661e-03 -5.505262522880428194e-02 1.218922104034456805e-01 9.924349192865042357e-03 8.839645726959352579e-02 2.039525115978143288e-01
2.656250000000000000e+02 1.902522905913267559e-01 -9.121996254141409577e-03 -5.264198415832926220e-02 1.188917143692795469e-01 1.022122987747852742e-02 8.580284925466620527e-02 1.974734271076358794e-01
2.760416666670000154e+02 1.832309321855738748e-01 -9.886668700502393436e-03 -5.035371294702415540e-02 1.158664554679031261e-01 1.070769824100537525e-02 8.304851157319777244e-02 1.910729496133372618e-01
2.864583333329999846e+02 1.758622833482214598e-01 -1.056633423124994468e-02 -4.789833652361444316e-02 1.132175864077998861e-01 1.099076422950693264e-02 8.021668558221183021e-02 1.846482776691166783e-01
2.968750000000000000e+02 1.695644497460382094e-01 -1.146500029427486786e-02 -4.575470797409750268e-02 1.109674786016064257e-01 1.125742082822678639e-02 7.725192413978751449e-02 1.788919262437155822e-01
3.072916666670000154e+02 1.622580437151990018e-01 -1.206124720109748479e-02 -4.347076581809802137e-02 1.084815949629161919e-01 1.147460631769493984e-02 7.430183492097482134e-02 1.725207367995451324e-01
3.177083333329999846e+02 1.554241633099503472e-01 -1.256823381413363187e-02 -4.127885087011789328e-02 1.051546278326794676e-01 1.159052571964814919e-02 7.122192762692566848e-02 1.659003593847780123e-01
3.281250000000000000e+02 1.489221502798051544e-01 -1.336011363718259300e-02 -3.898535451653673684e-02 1.019031934711367854e-01 1.163566282726811833e-02 6.819709020912287367e-02 1.595112169800323998e-01
3.385416666670000154e+02 1.423766203302288258e-01 -1.441166441682328360e-02 -3.673248693008273474e-02 9.795530048602062168e-02 1.166453488759973921e-02 6.509409572288134271e-02 1.527130082695646041e-01
3.489583333329999846e+02 1.354805631076761441e-01 -1.541233979916340271e-02 -3.468428826177213237e-02 9.345084186879365484e-02 1.161927084662877328e-02 6.207017455989422700e-02 1.455007897681817874e-01
3.593750000000000000e+02 1.289348089161162225e-01 -1.640367554999864336e-02 -3.245899853631004084e-02 8.905078961317693109e-02 1.161321315778571055e-02 5.883784299448321237e-02 1.384117207618883738e-01
3.697916666670000154e+02 1.231304800480827188e-01 -1.694547820130662755e-02 -3.049163772386558058e-02 8.477238807110748509e-02 1.141908884189575882e-02 5.566257406993307261e-02 1.317827210945617111e-01
3.802083333329999846e+02 1.168824624856104194e-01 -1.716439366584180531e-02 -2.835127522547709403e-02 8.075064568177449387e-02 1.131939430372022951e-02 5.227325898683717748e-02 1.249531835771109795e-01
3.906250000000000000e+02 1.112051106889564434e-01 -1.769650061653235337e-02 -2.636820151539553958e-02 7.720529896704241002e-02 1.115305773325989125e-02 4.907094758769259268e-02 1.187406786218454940e-01
4.010416666670000154e+02 1.056695134327276242e-01 -1.786942498408010740e-02 -2.436891457725673393e-02 7.441097832251163113e-02 1.086195508980946668e-02 4.603213347585972948e-02 1.130563126155492842e-01
4.114583333329999846e+02 1.006148670755938890e-01 -1.770049444924700136e-02 -2.239150001757865202e-02 7.207903222291521528e-02 1.066725838947506569e-02 4.313139283268284385e-02 1.079126460655956965e-01
4.218750000000000000e+02 9.650897638509550736e-02 -1.732322465534221964e-02 -2.050441912482174611e-02 7.006584540809188133e-02 1.040261315547570155e-02 4.032320709351014387e-02 1.034490144433485997e-01
4.322916666670000154e+02 9.151487097696106576e-02 -1.687615687709894882e-02 -1.863582642099242265e-02 6.814173509842247345e-02 1.011564637029440002e-02 3.750741314158948653e-02 9.858200960848682859e-02
4.427083333329999846e+02 8.602567107008216030e-02 -1.692992813290433371e-02 -1.674547000794240903e-02 6.606394713606815461e-02 9.668112291285248933e-03 3.477167126528001029e-02 9.343064473571494055e-02
4.531250000000000000e+02 8.097101587570600112e-02 -1.712342007371826791e-02 -1.491501482171184861e-02 6.426587286426700685e-02 9.218166161758169219e-03 3.212334830227982913e-02 8.868011852112595017e-02
4.635416666670000154e+02 7.612983308563411877e-02 -1.746906524660386817e-02 -1.315089835394025325e-02 6.279725785127908411e-02 8.727060538596934439e-03 2.967492725166916839e-02 8.430100909429120992e-02
4.739583333329999846e+02 7.154015469237950953e-02 -1.795272537097998902e-02 -1.152217493197326206e-02 6.158338284773170329e-02 8.229325456611667755e-03 2.750760701060582167e-02 8.031557227535861265e-02
4.843750000000000000e+02 6.688397326331937953e-02 -1.868588541989312998e-02 -9.791848148950434150e-03 6.089191725151532619e-02 7.660511532811735760e-03 2.566769524011470668e-02 7.672179287747460386e-02
4.947916666670000154e+02 6.121866649577228231e-02 -1.994964324553197971e-02 -8.257555140659874129e-03 6.182837789230038322e-02 7.061276503847129828e-03 2.439122979784752107e-02 7.371913709295990769e-02
5.052083333329999846e+02 5.459264834709906533e-02 -1.984294917817022719e-02 -6.786560988554378622e-03 6.396003443556100287e-02 6.468401554594868652e-03 2.379285897582865406e-02 7.117277087924434031e-02
5.156250000000000000e+02 4.707268275358483800e-02 -1.922958146451999445e-02 -5.453905659285783296e-03 6.849355302468680684e-02 5.792048665600723137e-03 2.433415817488905272e-02 6.995019697658021174e-02
5.260416666669999586e+02 3.917436624055275346e-02 -1.654175077289934959e-02 -4.236956148452953111e-03 7.570426940691084294e-02 5.074174200071076765e-03 2.616815621822654245e-02 7.052339593284562280e-02
5.364583333330000414e+02 3.167903077429137099e-02 -9.427623145580925346e-03 -3.228847823938871958e-03 8.437508064441219535e-02 4.889887375052038784e-03 2.946746526574498329e-02 7.276078834222411695e-02
5.468750000000000000e+02 2.868324118794277761e-02 3.401270580187170951e-03 -2.188791514478517341e-03 9.016244052958477528e-02 4.616269118494499037e-03 3.411090719480817934e-02 7.647829445616805000e-02
5.572916666669999586e+02 3.341879217552121834e-02 1.860078772917772225e-02 -1.057770286057670801e-03 8.687692809920952164e-02 5.249677962983724348e-03 3.940102570106222141e-02 7.984837298789675131e-02
5.677083333330000414e+02 4.361918229906373845e-02 2.742178440412162271e-02 -9.428011698231386802e-04 6.873147828470943521e-02 4.519877623652111126e-03 4.231739888677938516e-02 7.733402973527636615e-02
5.781250000000000000e+02 5.067437103524913972e-02 2.430749121613683811e-02 -9.957727353378917259e-04 4.413514237277078173e-02 2.774649126834498759e-03 4.294574722775892223e-02 6.887763031788950163e-02
5.885416666669999586e+02 4.874047716675522501e-02 1.221030960535690602e-02 -6.691765207665303266e-04 2.386911049838134902e-02 1.562801783062507579e-03 4.055226213073970243e-02 5.658092489793792312e-02
5.989583333330000414e+02 3.985244889357327652e-02 6.679200517351844028e-04 -5.969051278774889849e-04 1.486612236609609339e-02 8.925417813711027538e-04 3.649930143449266889e-02 4.560893634708091532e-02
6.093750000000000000e+02 3.047664967420915874e-02 -5.183404671173123118e-03 -4.727972591026423973e-04 1.276775945015553096e-02 4.955540931116520073e-04 3.345922223912856791e-02 3.835181568174649003e-02
6.197916666669999586e+02 2.311299633090516809e-02 -7.492128944286569753e-03 -3.419224719606228017e-04 1.312718190882371239e-02 3.279377730527527129e-04 2.989029782602680568e-02 3.306523803287806512e-02
6.302083333330000414e+02 1.632190463926624577e-02 -6.291221820106301064e-03 -4.210615315008693301e-04 1.235549851273888729e-02 3.335849528073454970e-04 2.544971745523750412e-02 2.706356030362132639e-02
6.406250000000000000e+02 1.111506811597289500e-02 -4.379363304434153933e-03 -3.730197288510696545e-04 1.041549972229169861e-02 3.028834983349608552e-04 2.170248063923683676e-02 2.161652423875077417e-02
6.510416666669999586e+02 8.231353349888293966e-03 -3.388316300392209528e-03 -3.036288372567563440e-04 9.113784018477975868e-03 2.463369635830467896e-04 1.811898442531182166e-02 1.773206089683906569e-02
6.614583333330000414e+02 6.868314676851095500e-03 -3.043191179705267806e-03 -1.836503031134814363e-04 8.395257106149458734e-03 1.847849804058853394e-04 1.541422040070730866e-02 1.533889609185397872e-02
6.718750000000000000e+02 6.142519089787479465e-03 -2.930793966688978111e-03 -1.833332281111214239e-04 7.833540248272123294e-03 1.111608038317237986e-04 1.376757046562170766e-02 1.387181490184060013e-02
6.822916666669999586e+02 5.767789739357941786e-03 -2.971124637883661157e-03 -2.303495283274201427e-04 7.607266960307847679e-03 1.596015591169829559e-04 1.214747627377765933e-02 1.276126648672177080e-02
6.927083333330000414e+02 5.561734594031585675e-03 -2.983575576401105260e-03 -2.527057855347862396e-04 7.325377833250710721e-03 1.474921918429036947e-04 1.078109291845217622e-02 1.183410267286722460e-02
7.031250000000000000e+02 5.306968274935573021e-03 -2.855371685597964029e-03 -2.655548772359437020e-04 6.807103727174986137e-03 1.627636015862292775e-04 9.692655599308489661e-03 1.090336380070958990e-02
7.135416666669999586e+02 4.868696270478766602e-03 -2.514960830771048421e-03 -2.644772065790505734e-04 6.050750047128672197e-03 1.639491936221310628e-04 8.844073110525691936e-03 9.881759714066535444e-03
7.239583333330000414e+02 4.450749687485415322e-03 -2.176112220387940114e-03 -2.727834006171808885e-04 5.438322727152441333e-03 1.916086793700957013e-04 8.271470076357536130e-03 9.080271245497713306e-03
7.343750000000000000e+02 4.241591367219979536e-03 -1.985679507654364469e-03 -2.307066057316521841e-04 5.113653540179254747e-03 1.594262468973049024e-04 7.830858686794608600e-03 8.593051797096898023e-03
7.447916666669999586e+02 4.079839788214483301e-03 -1.842386908945118067e-03 -2.413702631785997641e-04 4.816406219642595417e-03 1.713285194848614286e-04 7.486219861090097349e-03 8.191232934473593671e-03
7.552083333330000414e+02 3.962084606285522920e-03 -1.776168906893098873e-03 -2.501145802151149514e-04 4.555473818999886994e-03 1.805523469957052019e-04 7.154528731771479626e-03 7.836043578528458647e-03
7.656250000000000000e+02 3.811988482125728325e-03 -1.698949313400568897e-03 -2.497876405591969518e-04 4.300664080857791866e-03 1.848948900596744909e-04 6.825683412657809757e-03 7.469167987820644374e-03
7.760416666669999586e+02 3.656257373120377907e-03 -1.653185581079900067e-03 -2.489422838256344253e-04 4.146126632519536725e-03 1.878043919731488644e-04 6.570027318217657071e-03 7.186205661928803633e-03
7.864583333330000414e+02 3.536474017978141066e-03 -1.610707567186082240e-03 -2.619399380497502224e-04 3.998020215660254111e-03 1.974557254949491363e-04 6.345515164023741127e-03 6.940004698831081162e-03
7.968750000000000000e+02 3.486959240590522743e-03 -1.571561015080345141e-03 -2.443628284022775774e-04 3.871420400361506951e-03 1.956303459216452193e-04 6.136382213129959115e-03 6.747380927040978575e-03
8.072916666669999586e+02 3.509610489992798319e-03 -1.556224491426421840e-03 -2.508690939963509857e-04 3.783257126202727461e-03 1.942834120873746504e-04 5.973661410488145113e-03 6.633264513341861901e-03
8.177083333330000414e+02 3.589975318812843770e-03 -1.566916686541681807e-03 -2.247859453995449145e-04 3.661377131732694579e-03 1.897136922513702586e-04 5.822993024320120836e-03 6.537172737432836098e-03
8.281250000000000000e+02 3.694018982092922478e-03 -1.575809235158071898e-03 -2.344892569241620371e-04 3.583132474489940118e-03 1.878858788871609056e-04 5.685566498309283998e-03 6.481358977446074164e-03
8.385416666669999586e+02 3.778691745800183584e-03 -1.611825303284899038e-03 -2.170603687310908390e-04 3.530288328930562824e-03 1.832986297327912281e-04 5.559870592851057051e-03 6.434425333790910403e-03
8.489583333330000414e+02 3.868190493469009228e-03 -1.643447868350612472e-03 -2.020180768303376541e-04 3.501821633412141328e-03 1.754046827329850452e-04 5.463872088223363337e-03 6.416942107552319613e-03
8.593750000000000000e+02 3.885807296209306452e-03 -1.666657838637473476e-03 -2.064009904640057367e-04 3.515498251434503573e-03 1.713243106998782483e-04 5.367707197142677390e-03 6.384506372393261922e-03
8.697916666669999586e+02 3.942467219792540785e-03 -1.706438329608926533e-03 -1.814344772132303965e-04 3.527645079252465527e-03 1.758523586191096920e-04 5.292642824863754737e-03 6.381377561954404594e-03
8.802083333330000414e+02 3.942064283280235538e-03 -1.718635055278123916e-03 -1.772204746267194513e-04 3.524072415957676344e-03 1.640520063898804129e-04 5.230646297431269971e-03 6.348391498334594180e-03
8.906250000000000000e+02 3.981353164763831894e-03 -1.743058201512456482e-03 -1.706803954194974779e-04 3.501521128034375697e-03 1.677712044966159471e-04 5.173149720390174747e-03 6.328012006594180977e-03
9.010416666669999586e+02 4.000021715846794473e-03 -1.779496489732466154e-03 -1.502878675970929431e-04 3.462679206444965047e-03 1.598211964014296385e-04 5.143109568725941216e-03 6.302905245508848633e-03
9.114583333330000414e+02 4.003904373476567351e-03 -1.833454017115166042e-03 -1.588065508692488681e-04 3.433855123782880627e-03 1.548622542410576456e-04 5.103990811093566532e-03 6.270875154176509640e-03
9.218750000000000000e+02 4.061789402565816297e-03 -1.926478990349248703e-03 -1.408251614228664959e-04 3.422651096598919480e-03 1.534509449017136388e-04 5.094037273477239162e-03 6.289238886320981832e-03
9.322916666669999586e+02 4.129489600073564699e-03 -2.018019735290949458e-03 -1.520618245514281596e-04 3.432808675054043780e-03 1.470556025387583833e-04 5.079780037429997355e-03 6.321039156278811591e-03
9.427083333330000414e+02 4.252847936653347469e-03 -2.114083844904934752e-03 -1.439392701938762707e-04 3.491245353293425790e-03 1.455564130324470302e-04 5.074822831195652771e-03 6.409458060571208461e-03
9.531250000000000000e+02 4.376633134347168372e-03 -2.162642176984409543e-03 -1.467030583293956294e-04 3.534915084005051632e-03 1.362059241426970475e-04 5.076255027905124395e-03 6.493901623128644010e-03
9.635416666669999586e+02 4.459313861173650091e-03 -2.160139863878533534e-03 -1.461803145852116805e-04 3.554893014323450354e-03 1.406031851398487596e-04 5.085550254353371144e-03 6.549878564925249239e-03
9.739583333330000414e+02 4.515884439566407102e-03 -2.138405490584948873e-03 -1.280125585671570390e-04 3.522682033507960799e-03 1.342495839486736176e-04 5.098409853565501193e-03 6.568488163319936499e-03
9.843750000000000000e+02 4.457016043980250274e-03 -2.066416857964800940e-03 -1.477892836365074329e-04 3.457653888514484412e-03 1.407458142093125834e-04 5.112031507582139034e-03 6.513350720038440546e-03
