# f, Suu, Svv, Sww
0.000000000000000000e+00 9.538049516671427419e-01 1.237523708820004731e-01 2.934386466721488132e-02
5.555555555555555551e-04 5.354363012483092632e+01 8.985609533022710593e+00 7.086447869756762330e-01
1.111111111111111110e-03 3.401605398641502376e+01 7.548305396658717470e+00 9.099885014798926308e-01
1.666666666666666774e-03 2.514477415145810113e+01 4.749530303099035677e+00 6.563281808354191060e-01
2.222222222222222220e-03 2.844524069654170617e+01 3.825907387766141809e+00 7.244166926475741342e-01
2.777777777777777884e-03 2.527644503921315078e+01 4.116974704814733599e+00 8.354573837046842533e-01
3.333333333333333547e-03 1.221552858755421234e+01 2.219655972573773006e+00 3.291806163646593397e-01
3.888888888888888777e-03 2.356888130003947879e+01 7.529858585598766751e+00 6.717627344123853206e-01
4.444444444444444441e-03 1.416523203369707673e+01 4.566409069505446894e+00 6.395031151903614042e-01
5.000000000000000104e-03 6.534636143195514890e+00 4.333653242867404387e+00 4.193602277087236097e-01
5.555555555555555768e-03 1.240131095012710816e+01 3.156240758635512123e+00 5.887895380534117207e-01
6.111111111111111431e-03 1.155677893395207079e+01 2.359537080484525262e+00 7.277540674590319281e-01
6.666666666666667095e-03 1.827884961183861634e+01 5.811548306714514389e+00 5.637854353008626695e-01
7.222222222222221891e-03 1.338708117938233677e+01 3.591935080462055119e+00 6.726827195727840270e-01
7.777777777777777554e-03 7.634030274467535904e+00 1.717920597800859595e+00 7.872452232294091523e-01
8.333333333333333218e-03 8.027611776727653137e+00 2.142986471617485122e+00 4.161059150178572641e-01
8.888888888888888881e-03 8.740418717858494446e+00 2.474622429585436656e+00 4.747652047678824760e-01
9.444444444444444545e-03 6.147977179550770721e+00 1.798296704028226944e+00 5.441289642511579761e-01
1.000000000000000021e-02 6.680480752468534789e+00 2.569805151397469789e+00 5.820141937454244019e-01
1.055555555555555587e-02 6.482385833842197798e+00 3.271632791332414580e+00 4.951171939164651370e-01
1.111111111111111154e-02 8.020087642743302325e+00 1.658294175435065743e+00 5.644418539703578430e-01
1.166666666666666720e-02 5.616544635218364334e+00 2.166306397398663375e+00 3.424562665304988207e-01
1.222222222222222286e-02 6.807684579683881410e+00 3.336606587583858197e+00 3.673726490901592090e-01
1.277777777777777853e-02 7.966900868706185079e+00 1.064074835291292764e+00 7.696841200042510156e-01
1.333333333333333419e-02 8.034311981197221897e+00 2.536488904452324888e+00 6.190811086788139406e-01
1.388888888888888812e-02 6.052468972377235801e+00 1.026321643456809207e+00 6.195528598783386354e-01
