# z, uT, vT, wT
5.208333333329999704e+00 1.487390007140347342e-04 3.591012308105230816e-05 -5.943960491114131876e-06
1.562500000000000000e+01 2.066251656017766708e-04 4.430962793356938453e-05 -1.445460845793103504e-05
2.604166666669999941e+01 2.384878449719689763e-04 4.575069588292260251e-05 -3.423871829150549831e-05
3.645833333329999704e+01 2.726305980252027058e-04 4.647609029586641271e-05 -5.232602208767446299e-05
4.687500000000000000e+01 2.932702611222528784e-04 4.244969820562000828e-05 -7.242452071601462849e-05
5.729166666670000296e+01 3.160220123299232737e-04 3.942781225744209993e-05 -8.974086449883518014e-05
6.770833333330000414e+01 3.327569926019483047e-04 3.554938015906717756e-05 -1.090186694208657777e-04
7.812500000000000000e+01 3.514604734676721859e-04 3.270233164648557613e-05 -1.263134323867561417e-04
8.854166666669999586e+01 3.670820847369104340e-04 2.750114269699344924e-05 -1.445010783561449276e-04
9.895833333330000414e+01 3.843296779967191913e-04 2.306256481864934745e-05 -1.616140740695668333e-04
1.093750000000000000e+02 4.000699305305786108e-04 1.686574494582242752e-05 -1.788966878809738917e-04
1.197916666670000012e+02 4.172693383431323798e-04 7.981565741842501404e-06 -1.966153390789990914e-04
1.302083333330000130e+02 4.351197478726512649e-04 1.713621034697752556e-06 -2.132708899464300491e-04
1.406250000000000000e+02 4.556944088893075356e-04 -2.770399309296016958e-06 -2.306959317455835735e-04
1.510416666669999870e+02 4.751267057223533086e-04 -8.998173730641122504e-06 -2.471582174524766329e-04
1.614583333330000130e+02 4.951377462857636412e-04 -1.596298755913460091e-05 -2.648032696407288315e-04
1.718750000000000000e+02 5.148478263228088150e-04 -2.323769036514066250e-05 -2.808565302152460125e-04
1.822916666669999870e+02 5.331850880572387317e-04 -3.465008478025130952e-05 -2.983936881297067950e-04
1.927083333330000130e+02 5.511413256123747374e-04 -4.576272960887835923e-05 -3.143096255897874676e-04
2.031250000000000000e+02 5.698499947890391061e-04 -5.752677083568941846e-05 -3.305730039722209568e-04
2.135416666669999870e+02 5.896785837406615495e-04 -6.882771226447386543e-05 -3.471627153099060689e-04
2.239583333330000130e+02 6.056923788276865738e-04 -8.096490641607783474e-05 -3.625545778446344044e-04
2.343750000000000000e+02 6.186981562172789040e-04 -9.321933718819055297e-05 -3.779028551454524437e-04
2.447916666669999870e+02 6.349933330034818147e-04 -1.026936480301665161e-04 -3.933961012163738366e-04
2.552083333330000130e+02 6.544729118287618197e-04 -1.151395867386463941e-04 -4.087602995657680077e-04
2.656250000000000000e+02 6.718713110188481458e-04 -1.302961069196774445e-04 -4.246630858596683704e-04
2.760416666670000154e+02 6.883537261910595978e-04 -1.518387279967612952e-04 -4.393754601992542336e-04
2.864583333329999846e+02 7.113624112280982287e-04 -1.662436735171826457e-04 -4.540340747667717908e-04
2.968750000000000000e+02 7.398810863020868550e-04 -1.838447820678170655e-04 -4.688321131339950377e-04
3.072916666670000154e+02 7.641138006831140698e-04 -1.971238505916768759e-04 -4.844834636335500796e-04
3.177083333329999846e+02 7.853007678157897416e-04 -2.170455145720367204e-04 -4.982394103975493161e-04
