# z, u, v, w, u_mag
5.208333333329999704e+00 5.006160184058630946e+00 1.567876093939559512e+00 -1.535543857134588352e-01 5.245938927818461828e+00
1.562500000000000000e+01 6.422201509211368453e+00 2.004925500633397029e+00 3.633845082461932552e-02 6.727882169598903950e+00
2.604166666669999941e+01 6.925945826564633201e+00 2.142447554935327236e+00 -8.469769279150964753e-03 7.249745314020101361e+00
3.645833333329999704e+01 7.290702704582051830e+00 2.223770115859535323e+00 8.274945527637750028e-03 7.622302765883153697e+00
4.687500000000000000e+01 7.535238089502593439e+00 2.263533499249696934e+00 -1.612534931675163553e-03 7.867871183980852834e+00
5.729166666670000296e+01 7.739425301345843167e+00 2.292064808776686835e+00 2.408874358996599893e-03 8.071695304131884185e+00
6.770833333330000414e+01 7.903887860824418077e+00 2.309968474415895923e+00 -2.921329977849694082e-04 8.234524738519089837e+00
7.812500000000000000e+01 8.047862510680555914e+00 2.322095164020288038e+00 1.072411982475750605e-03 8.376169586486650331e+00
8.854166666669999586e+01 8.176050119214622214e+00 2.329849484918598446e+00 -1.071227084291602325e-04 8.501528931567833069e+00
9.895833333330000414e+01 8.291376531269522232e+00 2.333738653397672280e+00 5.714320331713804374e-04 8.613551003253501648e+00
1.093750000000000000e+02 8.398835841059284490e+00 2.335060761157147446e+00 -7.761174799018529533e-04 8.717393661144241079e+00
1.197916666670000012e+02 8.501442784244884976e+00 2.335330886060458244e+00 1.789981710074289574e-04 8.816365450749948707e+00
1.302083333330000130e+02 8.594361760061044464e+00 2.334560138269491159e+00 4.426482215284350489e-04 8.905797274921344098e+00
1.406250000000000000e+02 8.682568571418860515e+00 2.331625902697463282e+00 -4.233919459238894684e-04 8.990187781549410673e+00
1.510416666669999870e+02 8.768519234769197368e+00 2.326925072520182436e+00 1.640181736035171487e-05 9.072017959838948542e+00
1.614583333330000130e+02 8.852031751696895157e+00 2.320631796642046663e+00 1.621652285298715978e-04 9.151163754880364820e+00
1.718750000000000000e+02 8.932554810927429756e+00 2.311129368966665432e+00 -5.721214006651380773e-06 9.226692495706304342e+00
1.822916666669999870e+02 9.011446473347689334e+00 2.301186695936244586e+00 -1.917843365351876758e-04 9.300625126923698360e+00
1.927083333330000130e+02 9.087507057774622865e+00 2.290883948215489685e+00 2.090499416288276965e-05 9.371815928052308564e+00
2.031250000000000000e+02 9.160780561413398360e+00 2.278150505006882209e+00 -6.992094986693622662e-05 9.439802445911285034e+00
2.135416666669999870e+02 9.230734225683544736e+00 2.264557405980166305e+00 -3.263493889909701608e-04 9.504455512557528962e+00
2.239583333330000130e+02 9.298731267329630512e+00 2.249978876487364055e+00 5.764076810513035949e-05 9.567068941251184455e+00
2.343750000000000000e+02 9.363150328682673162e+00 2.235570889370753100e+00 2.808938277956239812e-04 9.626336856713065160e+00
2.447916666669999870e+02 9.426304200501451902e+00 2.220562796661196714e+00 -1.172421571052009765e-05 9.684322899114171435e+00
2.552083333330000130e+02 9.485829059849406164e+00 2.206242796171361320e+00 -2.111124018708582673e-04 9.739017415958423740e+00
2.656250000000000000e+02 9.545907190209135251e+00 2.190688988560493655e+00 -5.105955748283142609e-04 9.794052395647405262e+00
2.760416666670000154e+02 9.605476422681499926e+00 2.173601049628201665e+00 7.135149769932362304e-05 9.848335840619723669e+00
2.864583333329999846e+02 9.665207223200289022e+00 2.154475555412604049e+00 -7.355471475139933673e-05 9.902423722820261176e+00
2.968750000000000000e+02 9.723047236504807955e+00 2.134790824775383733e+00 2.708916241220825122e-04 9.954646122733290525e+00
3.072916666670000154e+02 9.778875671843191952e+00 2.115333291684766248e+00 -8.259080302518353328e-05 1.000505094141336926e+01
3.177083333329999846e+02 9.833803170312391373e+00 2.095592999956523705e+00 -6.989111091382718016e-05 1.005461062467924904e+01
3.281250000000000000e+02 9.889046949004207221e+00 2.074972227850266915e+00 -2.436714104071242110e-04 1.010439306964843453e+01
3.385416666670000154e+02 9.942672813882833083e+00 2.052358212451385278e+00 3.663021421383319109e-04 1.015228629009945749e+01
3.489583333329999846e+02 9.996022363655336918e+00 2.026858059887612473e+00 -4.672953945859330510e-04 1.019944197932558438e+01
3.593750000000000000e+02 1.004582942867806139e+01 2.001149635232933210e+00 -1.408241702154082345e-04 1.024320695742730258e+01
3.697916666670000154e+02 1.009558577937960600e+01 1.974295319239198321e+00 2.850517841186438000e-04 1.028682138643330113e+01
3.802083333329999846e+02 1.014270297207817073e+01 1.945310299958823208e+00 5.169647610402647352e-04 1.032756775542669914e+01
3.906250000000000000e+02 1.018943779370556335e+01 1.916150061835543150e+00 -4.419055816386689588e-06 1.036804097268464986e+01
4.010416666670000154e+02 1.023418183323184039e+01 1.885675374002668825e+00 -2.770933442839985657e-04 1.040645229709783237e+01
4.114583333329999846e+02 1.027837199448337380e+01 1.852986989680894148e+00 -3.627838464261196635e-04 1.044406490026305789e+01
