# z, uu, uv, uw, vv, vw, ww, tke
0.000000000000000000e+00 9.961432961984804102e-01 1.453265575842490609e-01 -9.772777660404159683e-02 4.728432666956058905e-01 -1.836935037263979706e-02 9.457571119078073130e-02 7.817811370424335715e-01
1.041666700000000034e+01 1.107778049517057939e+00 1.615259597906485156e-01 -9.849256765500218058e-02 4.822766413341448288e-01 -1.703384977540945908e-02 7.472894930463239160e-02 8.323918200779175658e-01
2.083333299999999966e+01 1.079024696825517715e+00 1.464229971084311521e-01 -1.523970085706647659e-01 4.918869127539000075e-01 -2.495406565881675906e-02 1.442206489459133267e-01 8.575661292626655108e-01
3.125000000000000000e+01 9.296370052410256601e-01 1.166349542224728586e-01 -1.461502261906330591e-01 4.499994592058316201e-01 -2.206589435765307639e-02 1.699770636980607597e-01 7.748067640724589644e-01
4.166666699999999679e+01 8.652397054440287283e-01 9.665761114424384348e-02 -1.531515464524008108e-01 4.210095441799297511e-01 -2.080987303400643959e-02 1.751643568106690252e-01 7.307068032173138494e-01
5.208333300000000321e+01 8.016690935146021380e-01 7.935030566591508294e-02 -1.471076102960148790e-01 3.905251596555177063e-01 -1.874829997489466452e-02 1.746926056514271353e-01 6.834434294107734065e-01
6.250000000000000000e+01 7.603545233955887328e-01 6.983242976509528022e-02 -1.495623959261130342e-01 3.678891483355420378e-01 -1.689314359473607224e-02 1.722064279610322768e-01 6.502250498460815376e-01
7.291666700000000390e+01 7.287286824592762446e-01 6.366502767063335344e-02 -1.446683058632061425e-01 3.455388071657558569e-01 -1.528881852947990873e-02 1.672655158241901918e-01 6.207665027246112022e-01
8.333333299999999610e+01 7.021683026431907448e-01 6.045256970167563193e-02 -1.458282599892463949e-01 3.265485559851196706e-01 -1.387608780323549944e-02 1.642015871904380919e-01 5.964592229093742537e-01
9.375000000000000000e+01 6.798668477275729982e-01 5.592394337842673119e-02 -1.418156455354668000e-01 3.071206127104735839e-01 -1.271028251779244417e-02 1.585184681344874724e-01 5.727529642862670967e-01
1.041666670000000039e+02 6.606734960576529092e-01 5.506208880453346971e-02 -1.420498828408246206e-01 2.898182647305758142e-01 -1.146625171442058368e-02 1.556867637678135963e-01 5.530892622780211321e-01
1.145833329999999961e+02 6.472344198177897301e-01 5.434248422173969945e-02 -1.385533764609466201e-01 2.728348667370156799e-01 -1.047399910804236445e-02 1.505065264189895669e-01 5.352879064868975023e-01
1.250000000000000000e+02 6.330190087540010779e-01 5.369815657010940102e-02 -1.385187896348012149e-01 2.573360007489187695e-01 -9.352030622084317110e-03 1.486081211872599395e-01 5.194815653450898241e-01
1.354166669999999897e+02 6.235066673653985037e-01 5.172136867057165743e-02 -1.353925256260908871e-01 2.417898188145039540e-01 -8.621265999698961985e-03 1.447780106301622127e-01 5.050372484050322797e-01
1.458333330000000103e+02 6.130695601792329752e-01 4.931916517115227799e-02 -1.352209500195387382e-01 2.275414071013497630e-01 -7.829346663227513756e-03 1.436300119526963404e-01 4.921204896166395115e-01
1.562500000000000000e+02 6.062776612836339174e-01 4.714673753452162941e-02 -1.321252329150663374e-01 2.159161000209347259e-01 -6.946020788484338383e-03 1.401816049137563081e-01 4.811876831091624895e-01
1.666666669999999897e+02 5.964892571001707555e-01 4.387767519015212114e-02 -1.315763239183438960e-01 2.035221031468743280e-01 -6.218650023521786994e-03 1.395468564434103609e-01 4.697791083452277361e-01
1.770833330000000103e+02 5.880140102026250037e-01 4.163686337972857116e-02 -1.287055813834796780e-01 1.925477522405812936e-01 -5.558202571543319551e-03 1.370886885755745466e-01 4.588252255093904219e-01
1.875000000000000000e+02 5.777933686016413217e-01 3.934574179118602300e-02 -1.278683742112781407e-01 1.827160428439617013e-01 -4.848325047668864199e-03 1.368793241167300945e-01 4.486943677811665587e-01
1.979166669999999897e+02 5.721473313451403975e-01 3.728433543394778227e-02 -1.251643135530332018e-01 1.726960247348733879e-01 -4.286152424536318964e-03 1.346170208168486759e-01 4.397301884484312584e-01
2.083333330000000103e+02 5.651253524641900450e-01 3.478666586096756941e-02 -1.240727688962093844e-01 1.631299130179427737e-01 -3.651161390995782616e-03 1.341165300708868080e-01 4.311858977765098411e-01
