# z, Tu, Tv, Tw
0.000000000000000000e+00 -2.576120058013963388e-19 2.898185395376158668e-18 3.758173329950924724e-03
1.041666700000000034e+01 -1.473567551832712807e-05 -5.753780954738838063e-06 2.989813895801531063e-03
2.083333299999999966e+01 -1.398210827895201685e-05 -7.349194150317549303e-06 1.394553055518002503e-03
3.125000000000000000e+01 -9.652858025144280240e-06 -5.751000215807238611e-06 7.220129089833611947e-04
4.166666699999999679e+01 -7.268737438764199935e-06 -5.028287885573208146e-06 4.401848808241490101e-04
5.208333300000000321e+01 -5.757323425999801775e-06 -4.722661934203953562e-06 3.001260959455142891e-04
6.250000000000000000e+01 -4.749422183158824083e-06 -4.513818510453558512e-06 2.202163839647916228e-04
7.291666700000000390e+01 -4.031150288785147583e-06 -4.344144044589023899e-06 1.683660704168646208e-04
8.333333299999999610e+01 -3.482187965730278937e-06 -4.121672243065134364e-06 1.328671189663514188e-04
9.375000000000000000e+01 -3.059183952083564132e-06 -3.917251167826218971e-06 1.074119873140682891e-04
1.041666670000000039e+02 -2.690333283539210191e-06 -3.735353903973558094e-06 8.830722255951136801e-05
1.145833329999999961e+02 -2.401794397819565288e-06 -3.582447227634039419e-06 7.312024419935171681e-05
1.250000000000000000e+02 -2.159250997034895884e-06 -3.419990457110416546e-06 6.060774253951593560e-05
1.354166669999999897e+02 -1.945993290129288244e-06 -3.242875670082398466e-06 5.066889541492885211e-05
1.458333330000000103e+02 -1.757501196620509449e-06 -3.059533742402662413e-06 4.293831461535224496e-05
1.562500000000000000e+02 -1.600957976875191737e-06 -2.882320694699527474e-06 3.692752956815590888e-05
1.666666669999999897e+02 -1.472556571595558819e-06 -2.721205424110052102e-06 3.180430374150422057e-05
1.770833330000000103e+02 -1.349899504478705420e-06 -2.567578645891288011e-06 2.711904908805828356e-05
1.875000000000000000e+02 -1.236238465677893386e-06 -2.431603795765289230e-06 2.313496603311216614e-05
1.979166669999999897e+02 -1.142678117367955993e-06 -2.299524035757220998e-06 1.995999463676806568e-05
2.083333330000000103e+02 -1.054395325632143548e-06 -2.179046017181886109e-06 1.731121828953272794e-05
2.187500000000000000e+02 -9.724155319222866462e-07 -2.066382480669975322e-06 1.489566281067371385e-05
2.291666669999999897e+02 -9.074706593106810647e-07 -1.959849378093693316e-06 1.276055099890270479e-05
2.395833330000000103e+02 -8.446933436039429937e-07 -1.849196875682067571e-06 1.092443559782712367e-05
2.500000000000000000e+02 -7.922410177512045519e-07 -1.738924077382570241e-06 9.421250042416767897e-06
2.604166670000000181e+02 -7.470879122408836742e-07 -1.635797128451152016e-06 8.057332919232127269e-06
2.708333329999999819e+02 -7.046620371230732939e-07 -1.550449847536031557e-06 6.671996805901863063e-06
2.812500000000000000e+02 -6.607940761348313319e-07 -1.477606734328893277e-06 5.512359980967375189e-06
2.916666670000000181e+02 -6.176195874122973419e-07 -1.400175361407914168e-06 4.670407129659159476e-06
3.020833329999999819e+02 -5.766805432315408607e-07 -1.326395600460321583e-06 3.981940384893576458e-06
3.125000000000000000e+02 -5.373090776737856180e-07 -1.261285704694564814e-06 3.288759145415306281e-06
3.229166670000000181e+02 -5.017352158449481327e-07 -1.193734752760405368e-06 2.596437362162600297e-06
3.333333329999999819e+02 -4.726132595734944679e-07 -1.121557210874065563e-06 1.987096454517305521e-06
3.437500000000000000e+02 -4.456410364054521310e-07 -1.059585817607588903e-06 1.431298459310125636e-06
3.541666670000000181e+02 -4.216244457534039008e-07 -1.004956907496163072e-06 9.352529418200614476e-07
3.645833329999999819e+02 -4.011544058999331261e-07 -9.493620082536399964e-07 5.081999954504036746e-07
3.750000000000000000e+02 -3.762131873082658078e-07 -8.953374407879153416e-07 6.910209434254407034e-08
3.854166670000000181e+02 -3.536429467799442072e-07 -8.408637629203851683e-07 -3.121261372631810173e-07
3.958333329999999819e+02 -3.329945013105710769e-07 -7.910608418048105495e-07 -6.503290842746296675e-07
4.062500000000000000e+02 -3.152664204813134760e-07 -7.474878988400165268e-07 -1.020041993159689584e-06
4.166666670000000181e+02 -2.964554017099811524e-07 -7.131889333630641455e-07 -1.458455434175065834e-06
4.270833329999999819e+02 -2.822639287906811645e-07 -6.855484694947543791e-07 -1.859807876795975442e-06
4.375000000000000000e+02 -2.693086169498397478e-07 -6.556463387439288960e-07 -2.240717171334637437e-06
4.479166670000000181e+02 -2.607918097297463520e-07 -6.275576907028768078e-07 -2.699557078495390504e-06
4.583333329999999819e+02 -2.469834392601139049e-07 -5.984273011442582829e-07 -3.187575903736027718e-06
4.687500000000000000e+02 -2.302432256755410699e-07 -5.689623865153658745e-07 -3.679820450138947043e-06
4.791666670000000181e+02 -2.143570529238149702e-07 -5.412453423540795152e-07 -4.210023538239834809e-06
4.895833329999999819e+02 -1.938805310527772004e-07 -5.222863141867696762e-07 -4.752673181378516424e-06
5.000000000000000000e+02 -1.762122795035066085e-07 -5.098813587650794521e-07 -5.343323083528220048e-06
5.104166670000000181e+02 -1.587855785234570517e-07 -5.027674582242913451e-07 -6.001951431916396459e-06
5.208333330000000387e+02 -1.401576190806743803e-07 -4.968819939016507597e-07 -6.775581702715298876e-06
5.312500000000000000e+02 -1.224300340257594724e-07 -4.969631362794031002e-07 -7.648030809218473233e-06
5.416666669999999613e+02 -1.038057556714801622e-07 -5.030259771012981425e-07 -8.674012202213118877e-06
5.520833330000000387e+02 -8.631779383587882956e-08 -5.179855390377307771e-07 -9.850146663299578091e-06
5.625000000000000000e+02 -6.815583967898750329e-08 -5.373340503406252821e-07 -1.103048179426817859e-05
5.729166669999999613e+02 -4.998976347493317366e-08 -5.615994510210325361e-07 -1.239953381897143593e-05
5.833333330000000387e+02 -3.258084009587483311e-08 -5.848992086942898141e-07 -1.407486453596882645e-05
5.937500000000000000e+02 -1.623735464058286286e-08 -6.136503759828415807e-07 -1.595454961487905679e-05
6.041666669999999613e+02 -3.535410649102475634e-09 -6.578925759976046413e-07 -1.806973935287609507e-05
6.145833330000000387e+02 2.449995640053020327e-08 -7.161186528506956401e-07 -2.061876688817954474e-05
6.250000000000000000e+02 5.453547667844397405e-08 -7.821563639927376483e-07 -2.355457912839736291e-05
6.354166669999999613e+02 7.825612368428385703e-08 -8.409990966405964892e-07 -2.682323805032023337e-05
6.458333330000000387e+02 1.007006919339160684e-07 -8.986610942926480564e-07 -3.069320856485204701e-05
6.562500000000000000e+02 1.191312221960095859e-07 -9.500296900206651999e-07 -3.539637673511586609e-05
6.666666669999999613e+02 1.358018224716104785e-07 -1.024206698914648011e-06 -4.129962379324887217e-05
6.770833330000000387e+02 1.684933438726108265e-07 -1.117002969486327917e-06 -4.875235732831352791e-05
6.875000000000000000e+02 2.177383620475844351e-07 -1.229575178801071041e-06 -5.774994342905927268e-05
6.979166669999999613e+02 2.805253368552972957e-07 -1.331771252395372119e-06 -6.839021251094424040e-05
7.083333330000000387e+02 3.258640039051564505e-07 -1.462055954170464578e-06 -8.096137209200628116e-05
7.187500000000000000e+02 3.791531002683574276e-07 -1.614884619548494695e-06 -9.563858107379880004e-05
7.291666669999999613e+02 4.564072074504289090e-07 -1.790703637158586404e-06 -1.128038336950227367e-04
7.395833330000000387e+02 5.286891648972340386e-07 -1.946598404456277439e-06 -1.326727896697455747e-04
7.500000000000000000e+02 5.759988275790162142e-07 -2.104369682420111031e-06 -1.546817360953896031e-04
7.604166669999999613e+02 5.725632874565080351e-07 -2.212262564306878047e-06 -1.776628094643302892e-04
7.708333330000000387e+02 4.427462655610430405e-07 -2.258822433722623115e-06 -1.999398048192068550e-04
7.812500000000000000e+02 1.674778165813077070e-07 -2.257894449237104529e-06 -2.194968288419600318e-04
7.916666669999999613e+02 -1.651238400454955611e-07 -2.235210415678663112e-06 -2.338294347708783029e-04
8.020833330000000387e+02 -5.217237821764006434e-07 -2.007434622526259513e-06 -2.396454580634162722e-04
8.125000000000000000e+02 -7.499650669567525465e-07 -1.777512953929774730e-06 -2.352211898876319617e-04
8.229166669999999613e+02 -8.977211964264373792e-07 -1.388904416534030431e-06 -2.212365406705660786e-04
8.333333330000000387e+02 -8.851511464474458258e-07 -1.079652882295358677e-06 -1.933240504190764466e-04
