# z, Tu, Tv, Tw
0.000000000000000000e+00 -1.105802199458605362e-02 -1.680721616830081625e-03 9.628650385099780072e-04
1.041666700000000034e+01 -1.719288393633531739e-02 -2.583303119045739314e-03 1.752654389303020784e-03
2.083333299999999966e+01 -1.913813247886846786e-02 -2.473033996206990947e-03 3.565513995503553045e-03
3.125000000000000000e+01 -1.825050657656169736e-02 -1.900103375528251065e-03 3.887770080578387306e-03
4.166666699999999679e+01 -1.752933158460712876e-02 -1.355299523049831225e-03 4.224887824869758522e-03
5.208333300000000321e+01 -1.658482777119527421e-02 -8.869170825969163729e-04 4.130077289525979807e-03
6.250000000000000000e+01 -1.577820819634745755e-02 -6.009174648760130842e-04 4.225639462572888631e-03
7.291666700000000390e+01 -1.503570612018633075e-02 -4.007630746588120084e-04 4.098904812270163026e-03
8.333333299999999610e+01 -1.439950605370708160e-02 -3.299138539624301043e-04 4.130067308264219125e-03
9.375000000000000000e+01 -1.382171979204495534e-02 -2.638985088968897295e-04 3.995782172064717315e-03
1.041666670000000039e+02 -1.328368985738124890e-02 -2.371046319247464428e-04 3.995744646926721252e-03
1.145833329999999961e+02 -1.283856098058148813e-02 -2.152308051299279895e-04 3.864498278504056254e-03
1.250000000000000000e+02 -1.240083598702802423e-02 -2.430025811914681094e-04 3.845482784688881040e-03
1.354166669999999897e+02 -1.203357413255269452e-02 -2.241205698812523113e-04 3.723670199379357747e-03
1.458333330000000103e+02 -1.166889973514549303e-02 -2.261819040198137011e-04 3.688867559595307346e-03
1.562500000000000000e+02 -1.136739445799558185e-02 -2.279005700185779220e-04 3.567315935395840368e-03
1.666666669999999897e+02 -1.103144451187372706e-02 -2.099415211499828431e-04 3.517435730104201668e-03
1.770833330000000103e+02 -1.072788313157508992e-02 -2.015179807045718204e-04 3.403084192093749124e-03
1.875000000000000000e+02 -1.039644300546086614e-02 -1.925848773932712212e-04 3.344820348097852711e-03
1.979166669999999897e+02 -1.013042322172784220e-02 -1.874332582807151535e-04 3.233738070266051982e-03
2.083333330000000103e+02 -9.862468733402036253e-03 -1.820580192771517310e-04 3.164800659173787334e-03
2.187500000000000000e+02 -9.587093146147999609e-03 -1.779307075224225928e-04 3.059194155079525499e-03
2.291666669999999897e+02 -9.325866058581482043e-03 -1.679218347305540672e-04 2.985241660223095835e-03
2.395833330000000103e+02 -9.067802485045951127e-03 -1.521300638976757472e-04 2.881268199776037923e-03
2.500000000000000000e+02 -8.807607483860712197e-03 -1.482262751223433644e-04 2.801588206762186187e-03
2.604166670000000181e+02 -8.557120471709917311e-03 -1.246695462270411053e-04 2.698188045065123743e-03
2.708333329999999819e+02 -8.294806064193159523e-03 -9.274950279913380573e-05 2.617041407326308605e-03
2.812500000000000000e+02 -8.039770377074673471e-03 -4.591719588058632896e-05 2.513894219932660649e-03
2.916666670000000181e+02 -7.786320911550445589e-03 -6.180345123891268641e-06 2.428216665705851957e-03
3.020833329999999819e+02 -7.537254034772900013e-03 4.361651612556884854e-05 2.324506283589865621e-03
3.125000000000000000e+02 -7.272772826166986650e-03 9.327185560152094295e-05 2.238047765994086689e-03
3.229166670000000181e+02 -7.005475522012779080e-03 1.438975058336290603e-04 2.134009247226857555e-03
3.333333329999999819e+02 -6.734063711736363624e-03 1.831416280009060796e-04 2.044343129804210898e-03
3.437500000000000000e+02 -6.468257524313558542e-03 2.297781804709981255e-04 1.941425224586623699e-03
3.541666670000000181e+02 -6.205391698944929917e-03 2.673884990372322958e-04 1.849213992682027016e-03
3.645833329999999819e+02 -5.953759297840722012e-03 3.107345155669665707e-04 1.746561964484786948e-03
3.750000000000000000e+02 -5.694271005601700408e-03 3.470770659057364864e-04 1.651633938172925422e-03
3.854166670000000181e+02 -5.449866987286687559e-03 3.785988906430206614e-04 1.547899362604621609e-03
3.958333329999999819e+02 -5.212528718596255543e-03 4.036499234517363136e-04 1.451422823954071593e-03
4.062500000000000000e+02 -4.977097550584832705e-03 4.385061805135926998e-04 1.346993970589692707e-03
4.166666670000000181e+02 -4.724260216581544457e-03 4.639401409797253776e-04 1.249503188595030116e-03
4.270833329999999819e+02 -4.488693810873738144e-03 4.893714699003719236e-04 1.145946732314779897e-03
4.375000000000000000e+02 -4.259527775679209163e-03 5.053138822243931133e-04 1.046383233901965843e-03
4.479166670000000181e+02 -4.005689035238743992e-03 5.171496303563729528e-04 9.437559673258801018e-04
4.583333329999999819e+02 -3.738420375741087660e-03 5.131738169232846758e-04 8.429110654749745165e-04
4.687500000000000000e+02 -3.474942996960837631e-03 5.044558338385959429e-04 7.406774038202217515e-04
4.791666670000000181e+02 -3.211988387171831744e-03 4.925367721409735708e-04 6.396140885583985079e-04
4.895833329999999819e+02 -2.951367292504680079e-03 4.749770135341593782e-04 5.376963333092184922e-04
5.000000000000000000e+02 -2.687115804369916063e-03 4.503409830426048123e-04 4.368333858957689766e-04
5.104166670000000181e+02 -2.423338217343484931e-03 4.399226883945080440e-04 3.376345624848612194e-04
5.208333330000000387e+02 -2.157556805967809996e-03 4.239018533317957067e-04 2.364544756872207973e-04
5.312500000000000000e+02 -1.877291524957374561e-03 4.088076463663270705e-04 1.377108454068829617e-04
5.416666669999999613e+02 -1.587987972297071320e-03 3.911508416493031967e-04 3.624746173487625910e-05
5.520833330000000387e+02 -1.278824427772665183e-03 3.611128073824687373e-04 -6.097052921522665489e-05
5.625000000000000000e+02 -9.572763502798567296e-04 3.505696134762577602e-04 -1.637494667060247994e-04
5.729166669999999613e+02 -6.134537758287529358e-04 3.388620220062913703e-04 -2.623885991574482200e-04
5.833333330000000387e+02 -2.446962559141891216e-04 3.311612082859009603e-04 -3.647931227701234694e-04
5.937500000000000000e+02 1.618168541598505534e-04 2.956375665240390136e-04 -4.641453426424011148e-04
6.041666669999999613e+02 5.681695649084872717e-04 2.604722648290665903e-04 -5.677622439631222493e-04
6.145833330000000387e+02 1.006819642128359976e-03 2.103404429063715400e-04 -6.672466276248269212e-04
6.250000000000000000e+02 1.469378704940393519e-03 1.302559383861200213e-04 -7.704710494323018964e-04
6.354166669999999613e+02 1.924746766196581841e-03 2.073822270380295315e-05 -8.691531192643388607e-04
6.458333330000000387e+02 2.374956572113767934e-03 -1.053430860089261208e-04 -9.726905728001922734e-04
6.562500000000000000e+02 2.835756003259651270e-03 -2.394051427008116054e-04 -1.065064020798460074e-03
6.666666669999999613e+02 3.343026992191527099e-03 -4.133236011122597402e-04 -1.165235798417428668e-03
6.770833330000000387e+02 3.834584240710733286e-03 -6.365570344503624278e-04 -1.252138646326454675e-03
6.875000000000000000e+02 4.321766757745864641e-03 -8.809048911066873081e-04 -1.347692370089585007e-03
6.979166669999999613e+02 4.792431438913872035e-03 -1.143282657090946564e-03 -1.437921894939465841e-03
7.083333330000000387e+02 5.284457460593740448e-03 -1.541595857864892826e-03 -1.521993289179149941e-03
7.187500000000000000e+02 5.668787396193156192e-03 -2.084924056261669954e-03 -1.606551630459695850e-03
7.291666669999999613e+02 5.936619093449577687e-03 -2.868022568039718580e-03 -1.681244298683838437e-03
7.395833330000000387e+02 5.978576001041504759e-03 -3.965882283521011790e-03 -1.749245566193317241e-03
7.500000000000000000e+02 5.939513773019232390e-03 -5.527963621440170477e-03 -1.796209165176239657e-03
7.604166669999999613e+02 5.654529633023849637e-03 -7.743774171792535202e-03 -1.817680367632880638e-03
7.708333330000000387e+02 5.091315741200932998e-03 -1.093162547081150127e-02 -1.814921591692574649e-03
7.812500000000000000e+02 3.871447555159729902e-03 -1.549194972913839861e-02 -1.761965385211788568e-03
7.916666669999999613e+02 1.747249930059840322e-03 -2.185496770552346202e-02 -1.677234564410002779e-03
8.020833330000000387e+02 -1.594207390691937832e-03 -2.996177583756537768e-02 -1.534271148171626256e-03
8.125000000000000000e+02 -5.704545936967551391e-03 -3.895332740202928773e-02 -1.364055674308180775e-03
8.229166669999999613e+02 -1.021876188806689588e-02 -4.703928906030103302e-02 -1.147487972138712614e-03
8.333333330000000387e+02 -1.416493213313420492e-02 -5.148399754586615445e-02 -9.098601812876176958e-04
8.437500000000000000e+02 -1.626133540781646986e-02 -4.950429371675486162e-02 -6.858651314826063987e-04
8.541666669999999613e+02 -1.565495714996397239e-02 -4.066207559500884666e-02 -4.997650279992850702e-04
8.645833330000000387e+02 -1.259458509807883687e-02 -2.795883788785654897e-02 -3.555454615606016677e-04
8.750000000000000000e+02 -8.563203647829090853e-03 -1.529293437737113889e-02 -2.701961270091712461e-04
8.854166669999999613e+02 -4.995150318954826377e-03 -5.608332704864007166e-03 -2.079106757651822356e-04
8.958333330000000387e+02 -2.541244589106067975e-03 3.402363584119403174e-04 -1.617071677638316372e-04
9.062500000000000000e+02 -1.196508024557153393e-03 3.235348787202003539e-03 -1.269789340230093836e-04
9.166666669999999613e+02 -6.320214904468142089e-04 4.123578409342236462e-03 -1.035128492367071011e-04
9.270833330000000387e+02 -4.961232468855946570e-04 4.011263487624020310e-03 -8.693693435597565618e-05
9.375000000000000000e+02 -5.479525609986366386e-04 3.569012191942339506e-03 -7.476579112854154965e-05
9.479166669999999613e+02 -6.513962226855103807e-04 3.097443460072583400e-03 -6.557150371206313497e-05
9.583333330000000387e+02 -7.333928272025976806e-04 2.676671820595384003e-03 -5.869340048874629404e-05
9.687500000000000000e+02 -7.621342149880029095e-04 2.306060464029817143e-03 -5.268370516375063751e-05
9.791666669999999613e+02 -7.333008566421186664e-04 1.971293974889925995e-03 -4.734323729879180611e-05
9.895833330000000387e+02 -6.615054149409616393e-04 1.662370605596812535e-03 -4.193503604496601385e-05
1.000000000000000000e+03 -5.671629580238699399e-04 1.375982873104126961e-03 -3.687536719197921018e-05
1.010416666999999961e+03 -4.682596349466115683e-04 1.112181331365346901e-03 -3.189143872643436972e-05
1.020833333000000039e+03 -3.748219549825964822e-04 8.714067090531401206e-04 -2.744361302186393785e-05
1.031250000000000000e+03 -2.903981987368651064e-04 6.527902842599688513e-04 -2.344270376596641888e-05
1.041666666999999961e+03 -2.135280365790650733e-04 4.544773902704107209e-04 -2.009619254588636188e-05
1.052083333000000039e+03 -1.410356832353285234e-04 2.747942271049402395e-04 -1.722132745868834900e-05
1.062500000000000000e+03 -6.961393192233976586e-05 1.131394162420555415e-04 -1.472952989960183247e-05
1.072916666999999961e+03 1.062183733072035641e-06 -3.032463292734229434e-05 -1.252823158557629187e-05
1.083333333000000039e+03 6.768843498921089041e-05 -1.555080212308240133e-04 -1.062480853200174525e-05
1.093750000000000000e+03 1.236130121330663450e-04 -2.633331007330876506e-04 -9.085438709138983702e-06
1.104166666999999961e+03 1.619635322875170630e-04 -3.561112206944232325e-04 -7.914037151821863933e-06
1.114583333000000039e+03 1.780838692436266990e-04 -4.375108890142907899e-04 -6.989736340579270875e-06
1.125000000000000000e+03 1.710135690988876141e-04 -5.117245335424648427e-04 -6.075008672500401206e-06
1.135416666999999961e+03 1.425640504724709826e-04 -5.820520696469110716e-04 -4.771429973243969158e-06
1.145833333000000039e+03 9.581625417540509410e-05 -6.498475475643462418e-04 -2.684926418457072767e-06
1.156250000000000000e+03 3.374087877555590999e-05 -7.142626761481409622e-04 6.187547412238821876e-07
1.166666666999999961e+03 -4.198006781586451107e-05 -7.734526026552384238e-04 5.345337849999704560e-06
1.177083333000000039e+03 -1.312045485491037365e-04 -8.260262393660352349e-04 1.152959857162455520e-05
1.187500000000000000e+03 -2.333462750814558489e-04 -8.717649337765842913e-04 1.882383059105258697e-05
1.197916666999999961e+03 -3.443804584163167128e-04 -9.106465823042962345e-04 2.657182430348187707e-05
1.208333333000000039e+03 -4.552166648577503296e-04 -9.422871837423463020e-04 3.381243299320606932e-05
1.218750000000000000e+03 -5.526989356065175121e-04 -9.659760972285837003e-04 3.956883417970938257e-05
1.229166666999999961e+03 -6.223650407134566354e-04 -9.814076195240487108e-04 4.300116367291028469e-05
1.239583333000000039e+03 -6.519603024713029266e-04 -9.890661014143539449e-04 4.362189085544060564e-05
1.250000000000000000e+03 -6.347701717273758048e-04 -9.906296740342050017e-04 4.124154961346044972e-05
1.260416666999999961e+03 -5.719246881494654926e-04 -9.887104781053795716e-04 3.609126128237707905e-05
1.270833333000000039e+03 -4.726071966407138000e-04 -9.859091289648725092e-04 2.849894148750412208e-05
1.281250000000000000e+03 -3.513624374176376754e-04 -9.834497295409939770e-04 1.905609408010656446e-05
1.291666666999999961e+03 -2.238175872365862507e-04 -9.805432116327299566e-04 8.152593089180266726e-06
1.302083333000000039e+03 -1.033688201600410953e-04 -9.747354559788469226e-04 -3.573967203912369402e-06
1.312500000000000000e+03 3.839934457674745197e-07 -9.632293452335457607e-04 -1.580591320758437639e-05
1.322916666999999961e+03 8.204886832869659572e-05 -9.442008696214815614e-04 -2.777386141409890906e-05
1.333333333000000039e+03 1.400972998097750393e-04 -9.173354989714583609e-04 -3.913207943799906346e-05
1.343750000000000000e+03 1.761483150868849092e-04 -8.836216933178847816e-04 -4.903641487025628870e-05
1.354166666999999961e+03 1.942327547057390042e-04 -8.449986287237122150e-04 -5.736028663506975088e-05
1.364583333000000039e+03 2.001389887023050454e-04 -8.041675191841420219e-04 -6.338583066200939543e-05
1.375000000000000000e+03 2.002569067706379616e-04 -7.640595774839927922e-04 -6.728417343842258802e-05
1.385416666999999961e+03 2.002137176445886410e-04 -7.269926389861313494e-04 -6.850222667233521467e-05
1.395833333000000039e+03 2.037138538803952162e-04 -6.937976109766248820e-04 -6.755897127399557720e-05
1.406250000000000000e+03 2.110847888707212427e-04 -6.634767821837665161e-04 -6.416685324154762862e-05
1.416666666999999961e+03 2.186720385440960523e-04 -6.328615595421832824e-04 -5.926422943887837855e-05
1.427083333000000039e+03 2.202230438296244955e-04 -5.971633259798281475e-04 -5.285900541597461112e-05
1.437500000000000000e+03 2.095679602406145560e-04 -5.515738131443020812e-04 -4.610195908956035910e-05
1.447916666999999961e+03 1.827915381749297427e-04 -4.936734628979871139e-04 -3.902572851934781414e-05
1.458333333000000039e+03 1.396529700343131122e-04 -4.241972921684281951e-04 -3.269860977689240225e-05
1.468750000000000000e+03 8.316593034246958784e-05 -3.464887065840050037e-04 -2.699474828300086905e-05
1.479166666999999961e+03 1.868545221191829684e-05 -2.647260682230640925e-04 -2.272740582262731474e-05
1.489583333000000039e+03 -4.740382387637964847e-05 -1.830357232750438456e-04 -1.943869667702394100e-05
1.500000000000000000e+03 -1.082543572006658124e-04 -1.042444906198697634e-04 -1.762516078856281770e-05
1.510416666999999961e+03 -1.579310839574077471e-04 -2.997085515564447403e-05 -1.664774951624218739e-05
1.520833333000000039e+03 -1.929760435986496508e-04 3.967093294990672582e-05 -1.699452953042816653e-05
1.531250000000000000e+03 -2.142613554302228113e-04 1.048307984816928857e-04 -1.812278506799811195e-05
1.541666666999999961e+03 -2.262351778196602871e-04 1.663101945753779707e-04 -2.026254709566008581e-05
1.552083333000000039e+03 -2.343677861426840460e-04 2.245484478069294828e-04 -2.274637559593152545e-05
1.562500000000000000e+03 -2.425285805755568881e-04 2.803777607848560141e-04 -2.524295527177391498e-05
1.572916666999999961e+03 -2.520681399830474920e-04 3.339735963921778802e-04 -2.736162543611911851e-05
1.583333333000000039e+03 -2.619280634552170230e-04 3.864433517907661002e-04 -2.852556045433164814e-05
1.593750000000000000e+03 -2.674395900821953582e-04 4.387429228594251582e-04 -2.894350486177408446e-05
1.604166666999999961e+03 -2.605049040483385756e-04 4.926835827731013140e-04 -2.778609349041292234e-05
1.614583333000000039e+03 -2.301429478631512697e-04 5.491871778011610814e-04 -2.558997797243788377e-05
