# z, uu, uv, uw, vv, vw, ww, tke
0.000000000000000000e+00 9.678539719705580024e-01 1.453578941999200680e-01 -9.595020893053021749e-02 4.473188668143097679e-01 -1.954074166335496507e-02 9.296478014179171412e-02 7.540688094633297700e-01
1.041666700000000034e+01 1.075332325327006400e+00 1.725702749406052561e-01 -9.744860700156283972e-02 4.419042193996060020e-01 -1.851576564569641301e-02 7.350187156898037311e-02 7.953692081477963249e-01
2.083333299999999966e+01 1.048696560501852115e+00 1.696352723001088025e-01 -1.486525558670313274e-01 4.468897054440184591e-01 -2.851271825103678104e-02 1.406197128775071026e-01 8.181029894116887968e-01
3.125000000000000000e+01 8.931380722071950995e-01 1.483939886203868297e-01 -1.437075689986092031e-01 4.074816694291987229e-01 -2.595610195196237924e-02 1.663554861027276011e-01 7.334876138695607395e-01
4.166666699999999679e+01 8.158639990151230759e-01 1.339851379181453417e-01 -1.489464881862929968e-01 3.769207312922075448e-01 -2.578870473630070700e-02 1.716011004724013467e-01 6.821929153898660392e-01
5.208333300000000321e+01 7.487416533804861496e-01 1.209962998842273041e-01 -1.441815089905482961e-01 3.489318434647971645e-01 -2.397774242536530181e-02 1.722676735328570463e-01 6.349705851890701247e-01
6.250000000000000000e+01 7.028079508745418424e-01 1.131268969147350700e-01 -1.451336600038311553e-01 3.291159690024550444e-01 -2.332313468433776238e-02 1.708584983755158382e-01 6.013912091262564319e-01
7.291666700000000390e+01 6.684155671245911590e-01 1.072064699918329755e-01 -1.401785778756424183e-01 3.119054721569689548e-01 -2.168645286494868402e-02 1.670815500742088566e-01 5.737012946778844436e-01
8.333333299999999610e+01 6.374582352092933446e-01 1.024962103108684464e-01 -1.401092810221119811e-01 2.971421786337031246e-01 -2.092869286113464497e-02 1.658556806876821665e-01 5.502280472653392485e-01
9.375000000000000000e+01 6.098502968250553158e-01 9.755359606841274012e-02 -1.361171549731056418e-01 2.841059578550658160e-01 -1.976104790621901683e-02 1.624841508345841734e-01 5.282202027573527081e-01
1.041666670000000039e+02 5.862505920238972879e-01 9.190009287572964425e-02 -1.354494505000205795e-01 2.725262605404155658e-01 -1.908955108303838147e-02 1.617663440232364747e-01 5.102715982937746642e-01
1.145833329999999961e+02 5.657773782125207207e-01 8.779426455671303364e-02 -1.316044794462377654e-01 2.622188741577482496e-01 -1.812549788032120912e-02 1.585143796454413501e-01 4.932553160078551602e-01
1.250000000000000000e+02 5.461414692113184532e-01 8.402374617907551468e-02 -1.307878243259179285e-01 2.530671653425508039e-01 -1.764214681286594560e-02 1.581286512618698958e-01 4.786686429078695904e-01
1.354166669999999897e+02 5.296399791996910800e-01 8.017663626082806305e-02 -1.272888627466996214e-01 2.446621319651003656e-01 -1.690180464856112091e-02 1.554217043412625399e-01 4.648619077530269927e-01
1.458333330000000103e+02 5.132915241159397013e-01 7.611234258682057774e-02 -1.259438647589583571e-01 2.359263161636498407e-01 -1.626033492875773520e-02 1.553086333896106508e-01 4.522632368346000686e-01
1.562500000000000000e+02 4.999267908657545334e-01 7.268395305483778268e-02 -1.227652843298476792e-01 2.271584025339505319e-01 -1.566737361282498006e-02 1.535113579678992479e-01 4.402982756838021983e-01
1.666666669999999897e+02 4.862022222108661751e-01 6.975908876552557036e-02 -1.213448780647604919e-01 2.187491717982098238e-01 -1.510077934044426473e-02 1.529554180744915337e-01 4.289534060417837802e-01
1.770833330000000103e+02 4.735978612148382672e-01 6.723931024916313115e-02 -1.179465796165311692e-01 2.117176068530481625e-01 -1.450808111205575263e-02 1.504711459675099616e-01 4.178933070176982234e-01
1.875000000000000000e+02 4.616275489322581027e-01 6.370307265607623448e-02 -1.164079294497200601e-01 2.035272195670014550e-01 -1.388231474104201571e-02 1.499537436594275686e-01 4.075542560793435909e-01
1.979166669999999897e+02 4.497437887090353636e-01 6.116786032537113726e-02 -1.130646999942794551e-01 1.957360857848859381e-01 -1.342120120122295562e-02 1.471200575347022810e-01 3.962999660143117775e-01
2.083333330000000103e+02 4.395151875713792511e-01 5.968585041064843055e-02 -1.111652172371964814e-01 1.897579855825049233e-01 -1.285434054338988226e-02 1.461207806094063921e-01 3.876969768816452833e-01
